target,run_dir,epoch,optimizer_updates,nll,rmse
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,10,1000,2.553,2.908
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,20,2000,2.505,2.7146
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,30,3000,2.5092,2.6471
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,40,4000,2.4961,2.6263
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,50,5000,2.5105,2.6721
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,60,6000,2.4996,2.6417
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,70,7000,2.4854,2.5138
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,80,8000,2.4827,2.5317
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,90,9000,2.4789,2.5274
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,100,10000,2.4907,2.56
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,110,11000,2.4916,2.5593
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,120,12000,2.4905,2.5805
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,130,13000,2.4883,2.5894
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,140,14000,2.4931,2.6075
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,150,15000,2.4749,2.5433
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,160,16000,2.4887,2.6142
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,170,17000,2.481,2.571
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,180,18000,2.4836,2.5839
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,190,19000,2.4892,2.6132
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,200,20000,2.4856,2.5964
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,210,21000,2.4802,2.576
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,220,22000,2.488,2.6179
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,230,23000,2.4825,2.589
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,240,24000,2.4796,2.5629
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,250,25000,2.4737,2.5448
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,260,26000,2.4745,2.542
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,270,27000,2.4688,2.5283
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,280,28000,2.4804,2.578
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,290,29000,2.4878,2.6351
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,300,30000,2.4802,2.5836
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,310,31000,2.4835,2.5538
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,320,32000,2.4743,2.5417
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,330,33000,2.488,2.5988
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,340,34000,2.4841,2.5943
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,350,35000,2.4785,2.5615
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,360,36000,2.4669,2.5104
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,370,37000,2.4862,2.6054
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,380,38000,2.4828,2.592
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,390,39000,2.4919,2.6283
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,400,40000,2.4815,2.5887
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,410,41000,2.488,2.6153
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,420,42000,2.4804,2.5912
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,430,43000,2.4751,2.5576
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,440,44000,2.4817,2.6017
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,450,45000,2.4853,2.6074
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,460,46000,2.4768,2.5497
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,470,47000,2.4802,2.6006
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,480,48000,2.4862,2.6301
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,490,49000,2.4901,2.628
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,500,50000,2.4854,2.6112
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,510,51000,2.4805,2.5777
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,520,52000,2.4809,2.5758
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,530,53000,2.4785,2.5877
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,540,54000,2.4804,2.606
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,550,55000,2.4766,2.5731
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,560,56000,2.485,2.6098
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,570,57000,2.4833,2.6029
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,580,58000,2.4821,2.5977
Bnn_boston,Bnn_boston/2026-04-08_16-57-04,590,59000,2.4816,2.5974
