method,seed,epochs,batch_size,flow_layers,vi_parameters,auxiliary_parameters,total_parameters,training_time_sec,elbo,elbo_std,elbo_std_q,elbo_ci_half,w2,modes_covered_1pct,near_mode_mass,mode_entropy,mode_masses,run_dir
DIVI,42,10000,128,,17412,8642,26054,308.58011536486447,-0.11983129382133484,0.6373856663703918,0.12611864507198334,0.017667429521679878,0.09415635466575623,8,0.9661999940872192,0.9991288353526874,"[0.13770000000000002,0.11910000000000001,0.1125,0.1168,0.117,0.12440000000000001,0.11560000000000001,0.1231]",/root/autodl-tmp/dsivi_results/results/nfvi_rebuttal_8_gaussians/results/DSIVI/8_gaussians/20260726_205104
DIVI,43,10000,128,,17412,8642,26054,306.7914371229708,-0.11424478143453598,0.6555808186531067,0.11879044026136398,0.018171774223446846,0.061925120651721954,8,0.9644999504089355,0.9993194070976439,"[0.11570000000000001,0.1198,0.12380000000000001,0.11850000000000001,0.1292,0.1105,0.1305,0.1165]",/root/autodl-tmp/dsivi_results/results/nfvi_rebuttal_8_gaussians/results/DSIVI/8_gaussians/20260726_205614
DIVI,44,10000,128,,17412,8642,26054,300.94472349248827,-1.1615164279937744,1.5981639623641968,0.34494009613990784,0.044298846274614334,0.43755754828453064,8,0.9422000050544739,0.9889068591070966,"[0.11720000000000001,0.1457,0.0795,0.1267,0.1078,0.0979,0.1032,0.1642]",/root/autodl-tmp/dsivi_results/results/nfvi_rebuttal_8_gaussians/results/DSIVI/8_gaussians/20260726_210121
DIVI,45,10000,128,,17412,8642,26054,307.9679747391492,-0.1667299121618271,0.7678126096725464,0.126795694231987,0.021282680332660675,0.21353965997695923,8,0.9562000036239624,0.9967252203491104,"[0.09530000000000001,0.12990000000000002,0.1405,0.10450000000000001,0.11720000000000001,0.1136,0.12760000000000002,0.12760000000000002]",/root/autodl-tmp/dsivi_results/results/nfvi_rebuttal_8_gaussians/results/DSIVI/8_gaussians/20260726_210623
DIVI,46,10000,128,,17412,8642,26054,316.047292156145,-1.4154231548309326,1.74159574508667,0.32681846618652344,0.04827457293868065,0.5071919560432434,8,0.9537999629974365,0.9795300353659393,"[0.0685,0.1452,0.12430000000000001,0.11320000000000001,0.0801,0.18080000000000002,0.09910000000000001,0.1426]",/root/autodl-tmp/dsivi_results/results/nfvi_rebuttal_8_gaussians/results/DSIVI/8_gaussians/20260726_211131
NFVI-16,42,10000,128,16,548932,0,548932,384.38069063425064,-0.20649713277816772,0.7294334173202515,0.0,0.0202188640832901,0.518111526966095,8,0.9842999577522278,0.98387018295417,"[0.13570000000000002,0.1039,0.1193,0.1081,0.20850000000000002,0.10490000000000001,0.1042,0.09970000000000001]",/root/autodl-tmp/dsivi_results/results/nfvi_rebuttal_8_gaussians/results/NFVI/8_gaussians/20260726_220908
NFVI-16,43,10000,128,16,548932,0,548932,385.01926763541996,-0.2843036353588104,0.871600329875946,0.0,0.02415953017771244,0.3305983543395996,8,0.979699969291687,0.9941369432569961,"[0.1272,0.1165,0.1336,0.1192,0.1627,0.1223,0.0927,0.10550000000000001]",/root/autodl-tmp/dsivi_results/results/nfvi_rebuttal_8_gaussians/results/NFVI/8_gaussians/20260726_221533
NFVI-16,44,10000,128,16,548932,0,548932,380.479702739045,-0.3146454095840454,1.3801263570785522,0.0,0.038255151361227036,0.6606783866882324,8,0.9756999611854553,0.9800940463031855,"[0.078,0.1615,0.1293,0.0999,0.0876,0.0969,0.1375,0.185]",/root/autodl-tmp/dsivi_results/results/nfvi_rebuttal_8_gaussians/results/NFVI/8_gaussians/20260726_222158
NFVI-16,45,10000,128,16,548932,0,548932,385.70139233767986,-0.3001110255718231,0.8447060585021973,0.0,0.02341405861079693,0.3839142322540283,8,0.979699969291687,0.9867073931767804,"[0.1263,0.1168,0.15280000000000002,0.09620000000000001,0.12610000000000002,0.17850000000000002,0.0983,0.0847]",/root/autodl-tmp/dsivi_results/results/nfvi_rebuttal_8_gaussians/results/NFVI/8_gaussians/20260726_222819
NFVI-16,46,10000,128,16,548932,0,548932,389.6624184548855,-0.29076623916625977,0.8625063300132751,0.0,0.023907456547021866,0.3932269513607025,8,0.9765999913215637,0.9916572018510164,"[0.1369,0.09720000000000001,0.1441,0.12040000000000001,0.16010000000000002,0.1255,0.0994,0.093]",/root/autodl-tmp/dsivi_results/results/nfvi_rebuttal_8_gaussians/results/NFVI/8_gaussians/20260726_223445
NFVI-4,42,10000,128,4,137236,0,137236,260.20399391651154,-0.40647047758102417,0.993944525718689,0.0,0.02755073830485344,0.2302727848291397,8,0.9663999676704407,0.9947861592422357,"[0.12990000000000002,0.1363,0.12340000000000001,0.1211,0.098,0.1527,0.1048,0.10020000000000001]",/root/autodl-tmp/dsivi_results/results/nfvi_rebuttal_8_gaussians/results/NFVI/8_gaussians/20260726_211648
NFVI-4,43,10000,128,4,137236,0,137236,257.20878414064646,-0.34901508688926697,0.961184024810791,0.0,0.026642663404345512,0.5947163701057434,8,0.9626999497413635,0.9840320431715927,"[0.10540000000000001,0.11410000000000001,0.11320000000000001,0.14780000000000001,0.0795,0.1797,0.0848,0.13820000000000002]",/root/autodl-tmp/dsivi_results/results/nfvi_rebuttal_8_gaussians/results/NFVI/8_gaussians/20260726_212108
NFVI-4,44,10000,128,4,137236,0,137236,253.33297066017985,-0.37613752484321594,0.9715541005134583,0.0,0.026930106803774834,0.3576768636703491,8,0.973800003528595,0.9919449082797294,"[0.1391,0.1376,0.09920000000000001,0.1263,0.09770000000000001,0.10880000000000001,0.1009,0.1642]",/root/autodl-tmp/dsivi_results/results/nfvi_rebuttal_8_gaussians/results/NFVI/8_gaussians/20260726_212525
