sampler,chain,draw,epsilon_0,epsilon_1
MALA_tail,0,0,0.45356464,0.74241811
MALA_tail,0,1,0.45481837,0.72204983
MALA_tail,0,2,0.43834907,0.69161654
MALA_tail,0,3,0.51429522,0.68949139
MALA_tail,0,4,0.45082450,0.70335996
MALA_tail,0,5,0.46383777,0.67686898
MALA_tail,0,6,0.46992743,0.66399753
MALA_tail,0,7,0.45899767,0.70350218
MALA_tail,0,8,0.46363711,0.71777630
MALA_tail,0,9,0.50789106,0.66994596
MALA_tail,0,10,0.49715778,0.64755005
MALA_tail,0,11,0.44690204,0.65250570
MALA_tail,0,12,0.47243986,0.59868437
MALA_tail,0,13,0.44195506,0.68869692
MALA_tail,0,14,0.46097097,0.70372605
MALA_tail,0,15,0.45423523,0.72680187
MALA_tail,0,16,0.48024818,0.72629106
MALA_tail,0,17,0.49129492,0.72151262
MALA_tail,0,18,0.45014012,0.69643027
MALA_tail,0,19,0.48556611,0.72793651
MALA_tail,0,20,0.46899778,0.73849934
MALA_tail,0,21,0.48808604,0.75861186
MALA_tail,0,22,0.47484529,0.71226007
MALA_tail,0,23,0.42444360,0.70591867
MALA_tail,0,24,0.41758671,0.71257764
MALA_tail,0,25,0.48716369,0.69978017
MALA_tail,0,26,0.45352226,0.74801415
MALA_tail,0,27,0.38748935,0.74675262
MALA_tail,0,28,0.41346279,0.76354361
MALA_tail,0,29,0.40550354,0.75520891
MALA_tail,0,30,0.42269140,0.71531844
MALA_tail,0,31,0.40331271,0.68256080
MALA_tail,0,32,0.38895082,0.64785224
MALA_tail,0,33,0.35072011,0.60489631
MALA_tail,0,34,0.32489005,0.60238874
MALA_tail,0,35,0.27222586,0.63229948
MALA_tail,0,36,0.23926233,0.60458410
MALA_tail,0,37,0.22181360,0.59923971
MALA_tail,0,38,0.21532841,0.55839574
MALA_tail,0,39,0.21286596,0.53164935
MALA_tail,0,40,0.19232212,0.52472073
MALA_tail,0,41,0.21987610,0.54360414
MALA_tail,0,42,0.28884548,0.57015467
MALA_tail,0,43,0.31273478,0.56554967
MALA_tail,0,44,0.30428022,0.57170516
MALA_tail,0,45,0.26297179,0.59116954
MALA_tail,0,46,0.27335277,0.49374431
MALA_tail,0,47,0.28172934,0.48528564
MALA_tail,0,48,0.27724776,0.50086719
MALA_tail,0,49,0.22614063,0.44191113
MALA_tail,1,0,2.71546793,2.64253354
MALA_tail,1,1,2.71509337,2.60584140
MALA_tail,1,2,2.73999262,2.65512037
MALA_tail,1,3,2.72989368,2.61318421
MALA_tail,1,4,2.74541092,2.65795875
MALA_tail,1,5,2.74401021,2.67998934
MALA_tail,1,6,2.76174784,2.68094969
MALA_tail,1,7,2.71796727,2.64110947
MALA_tail,1,8,2.71244168,2.67763710
MALA_tail,1,9,2.66332984,2.61577249
MALA_tail,1,10,2.62789893,2.56775212
MALA_tail,1,11,2.65568662,2.54093266
MALA_tail,1,12,2.64420891,2.54855609
MALA_tail,1,13,2.65641284,2.50483656
MALA_tail,1,14,2.67960286,2.50402141
MALA_tail,1,15,2.66844726,2.46864939
MALA_tail,1,16,2.70113802,2.47395110
MALA_tail,1,17,2.66456485,2.45331359
MALA_tail,1,18,2.66471052,2.39756536
MALA_tail,1,19,2.65982962,2.38316870
MALA_tail,1,20,2.72410011,2.35207772
MALA_tail,1,21,2.64562511,2.31746554
MALA_tail,1,22,2.65433002,2.34441662
MALA_tail,1,23,2.65638065,2.30219364
MALA_tail,1,24,2.64758587,2.32057095
MALA_tail,1,25,2.67447233,2.35014558
MALA_tail,1,26,2.67148781,2.38848734
MALA_tail,1,27,2.65238738,2.34185767
MALA_tail,1,28,2.68286562,2.36837697
MALA_tail,1,29,2.69617534,2.30975080
MALA_tail,1,30,2.73061538,2.35481238
MALA_tail,1,31,2.71569180,2.36410236
MALA_tail,1,32,2.75913167,2.39783883
MALA_tail,1,33,2.74512744,2.38644910
MALA_tail,1,34,2.72002435,2.44639349
MALA_tail,1,35,2.74868727,2.49987769
MALA_tail,1,36,2.69436812,2.54253244
MALA_tail,1,37,2.72493362,2.53708911
MALA_tail,1,38,2.67835307,2.56342125
MALA_tail,1,39,2.70423985,2.57891440
MALA_tail,1,40,2.70299530,2.56692410
MALA_tail,1,41,2.69467783,2.60546041
MALA_tail,1,42,2.68562865,2.62950993
MALA_tail,1,43,2.75015926,2.58865714
MALA_tail,1,44,2.75121140,2.50983930
MALA_tail,1,45,2.76899695,2.52779722
MALA_tail,1,46,2.74497890,2.59148574
MALA_tail,1,47,2.78766632,2.60612965
MALA_tail,1,48,2.78131819,2.62140560
MALA_tail,1,49,2.78749251,2.69107795
MALA_tail,2,0,0.73225099,1.29288983
MALA_tail,2,1,0.76391083,1.28544843
MALA_tail,2,2,0.74607009,1.29849231
MALA_tail,2,3,0.75980526,1.31674647
MALA_tail,2,4,0.79217982,1.30008090
MALA_tail,2,5,0.77314031,1.28311992
MALA_tail,2,6,0.78711224,1.29316592
MALA_tail,2,7,0.81162661,1.30400646
MALA_tail,2,8,0.87742871,1.37936401
MALA_tail,2,9,0.81433499,1.39241517
MALA_tail,2,10,0.87592000,1.37650919
MALA_tail,2,11,0.86336458,1.35578036
MALA_tail,2,12,0.81788361,1.37457454
MALA_tail,2,13,0.86638945,1.37971258
MALA_tail,2,14,0.82014513,1.41298568
MALA_tail,2,15,0.82537508,1.43342555
