chain,draw,phase,pc1,pc2,epsilon_0,epsilon_1
0,0,early,0.41110975,0.72107387,0.41110975,0.72107387
0,3,early,0.48556200,0.69695789,0.48556200,0.69695789
0,6,early,0.35868776,0.62389779,0.35868776,0.62389779
0,9,early,0.33078438,0.66252095,0.33078438,0.66252095
0,12,early,0.42959526,0.70259553,0.42959526,0.70259553
0,16,early,0.42189422,0.78134328,0.42189422,0.78134328
0,19,early,0.53798759,0.79927182,0.53798759,0.79927182
0,22,early,0.52769202,0.85516691,0.52769202,0.85516691
0,25,early,0.55600387,0.86532176,0.55600387,0.86532176
0,28,early,0.44802141,0.86366016,0.44802141,0.86366016
0,32,early,0.50476992,0.86192203,0.50476992,0.86192203
0,35,early,0.53909940,0.79067183,0.53909940,0.79067183
0,38,early,0.53202760,0.85481906,0.53202760,0.85481906
0,41,early,0.51527941,0.88176405,0.51527941,0.88176405
0,44,early,0.49177352,0.90211606,0.49177352,0.90211606
0,48,early,0.52909786,0.86243653,0.52909786,0.86243653
0,51,early,0.51219636,0.90801156,0.51219636,0.90801156
0,54,early,0.51480609,0.88169634,0.51480609,0.88169634
0,57,early,0.51685607,0.94015998,0.51685607,0.94015998
0,60,early,0.54126292,0.91843516,0.54126292,0.91843516
0,64,early,0.47662723,0.97705173,0.47662723,0.97705173
0,67,early,0.57967222,0.99744177,0.57967222,0.99744177
0,70,early,0.59290433,0.95185345,0.59290433,0.95185345
0,73,early,0.56264687,1.01039946,0.56264687,1.01039946
0,76,early,0.59508705,0.99648285,0.59508705,0.99648285
0,80,early,0.54195881,1.04449081,0.54195881,1.04449081
0,83,early,0.56042492,1.04503882,0.56042492,1.04503882
0,86,early,0.50466853,1.04840076,0.50466853,1.04840076
0,89,early,0.57619309,1.00501561,0.57619309,1.00501561
0,92,early,0.59448618,0.96048450,0.59448618,0.96048450
0,96,early,0.54835665,1.01988816,0.54835665,1.01988816
0,99,early,0.58126551,1.05499911,0.58126551,1.05499911
0,102,early,0.56006688,0.95118374,0.56006688,0.95118374
0,105,early,0.48997945,0.94134486,0.48997945,0.94134486
0,108,early,0.49676940,0.86130756,0.49676940,0.86130756
0,112,early,0.50140280,0.84087849,0.50140280,0.84087849
0,115,early,0.48714358,0.88594437,0.48714358,0.88594437
0,118,early,0.50198650,0.85887104,0.50198650,0.85887104
0,121,early,0.51626456,0.87440217,0.51626456,0.87440217
0,124,early,0.42494655,0.80039459,0.42494655,0.80039459
0,128,early,0.52321672,0.80241579,0.52321672,0.80241579
0,131,early,0.50717825,0.84078217,0.50717825,0.84078217
0,134,early,0.54951566,0.78656048,0.54951566,0.78656048
0,137,early,0.47867548,0.80358446,0.47867548,0.80358446
0,140,early,0.57932389,0.78355777,0.57932389,0.78355777
0,144,early,0.49916133,0.83685267,0.49916133,0.83685267
0,147,early,0.48307130,0.77691811,0.48307130,0.77691811
0,150,early,0.52555907,0.86839330,0.52555907,0.86839330
0,153,early,0.52902669,0.83858901,0.52902669,0.83858901
0,156,early,0.52502435,0.86666334,0.52502435,0.86666334
0,160,early,0.47697800,0.88052922,0.47697800,0.88052922
0,163,early,0.54235035,0.84621918,0.54235035,0.84621918
0,166,early,0.51056230,0.86547208,0.51056230,0.86547208
0,169,early,0.47958019,0.89221281,0.47958019,0.89221281
0,172,early,0.51524037,0.98072678,0.51524037,0.98072678
0,176,early,0.57980067,0.99955946,0.57980067,0.99955946
0,179,early,0.55882734,1.07232404,0.55882734,1.07232404
0,182,early,0.58808362,1.07460749,0.58808362,1.07460749
0,185,early,0.61544496,0.99071139,0.61544496,0.99071139
0,188,early,0.61858422,1.03097618,0.61858422,1.03097618
0,192,early,0.62125814,1.08694148,0.62125814,1.08694148
