chain,epoch,method,progress,reference_internal_l2,reference_seed,repeat,replication_unit,run_id,runtime_sec,seed,target
0,2000,SIVI,0.2,0.08000017967821729,280897237,0,hmc_chain,seed42_sivi_x_shaped,8.86609396673739,42,x_shaped
1,2000,SIVI,0.2,0.08646315595365407,280897237,1,hmc_chain,seed42_sivi_x_shaped,8.86609396673739,42,x_shaped
2,2000,SIVI,0.2,0.0957978456555483,280897237,2,hmc_chain,seed42_sivi_x_shaped,8.86609396673739,42,x_shaped
3,2000,SIVI,0.2,0.08639953388036246,280897237,3,hmc_chain,seed42_sivi_x_shaped,8.86609396673739,42,x_shaped
4,2000,SIVI,0.2,0.08484485347192469,280897237,4,hmc_chain,seed42_sivi_x_shaped,8.86609396673739,42,x_shaped
5,2000,SIVI,0.2,0.07630090098207837,280897237,5,hmc_chain,seed42_sivi_x_shaped,8.86609396673739,42,x_shaped
6,2000,SIVI,0.2,0.08875664647597778,280897237,6,hmc_chain,seed42_sivi_x_shaped,8.86609396673739,42,x_shaped
7,2000,SIVI,0.2,0.08986287553364428,280897237,7,hmc_chain,seed42_sivi_x_shaped,8.86609396673739,42,x_shaped
8,2000,SIVI,0.2,0.07846563179552518,280897237,8,hmc_chain,seed42_sivi_x_shaped,8.86609396673739,42,x_shaped
9,2000,SIVI,0.2,0.08688292761281982,280897237,9,hmc_chain,seed42_sivi_x_shaped,8.86609396673739,42,x_shaped
0,4000,SIVI,0.4,0.15342305806616136,724971558,0,hmc_chain,seed42_sivi_x_shaped,8.525451251678168,42,x_shaped
1,4000,SIVI,0.4,0.14841995518341394,724971558,1,hmc_chain,seed42_sivi_x_shaped,8.525451251678168,42,x_shaped
2,4000,SIVI,0.4,0.17159083475434928,724971558,2,hmc_chain,seed42_sivi_x_shaped,8.525451251678168,42,x_shaped
3,4000,SIVI,0.4,0.17911981668841825,724971558,3,hmc_chain,seed42_sivi_x_shaped,8.525451251678168,42,x_shaped
4,4000,SIVI,0.4,0.15312422164708395,724971558,4,hmc_chain,seed42_sivi_x_shaped,8.525451251678168,42,x_shaped
5,4000,SIVI,0.4,0.14126306127564986,724971558,5,hmc_chain,seed42_sivi_x_shaped,8.525451251678168,42,x_shaped
6,4000,SIVI,0.4,0.16199385503225994,724971558,6,hmc_chain,seed42_sivi_x_shaped,8.525451251678168,42,x_shaped
7,4000,SIVI,0.4,0.16315347982504702,724971558,7,hmc_chain,seed42_sivi_x_shaped,8.525451251678168,42,x_shaped
8,4000,SIVI,0.4,0.17077258570841342,724971558,8,hmc_chain,seed42_sivi_x_shaped,8.525451251678168,42,x_shaped
9,4000,SIVI,0.4,0.17468824238466313,724971558,9,hmc_chain,seed42_sivi_x_shaped,8.525451251678168,42,x_shaped
0,6000,SIVI,0.6,0.19034375876303034,1882414682,0,hmc_chain,seed42_sivi_x_shaped,8.060874865204095,42,x_shaped
1,6000,SIVI,0.6,0.21377998009203897,1882414682,1,hmc_chain,seed42_sivi_x_shaped,8.060874865204095,42,x_shaped
2,6000,SIVI,0.6,0.20123079910226035,1882414682,2,hmc_chain,seed42_sivi_x_shaped,8.060874865204095,42,x_shaped
3,6000,SIVI,0.6,0.2146977401913731,1882414682,3,hmc_chain,seed42_sivi_x_shaped,8.060874865204095,42,x_shaped
4,6000,SIVI,0.6,0.1992822573825811,1882414682,4,hmc_chain,seed42_sivi_x_shaped,8.060874865204095,42,x_shaped
5,6000,SIVI,0.6,0.20747682610255078,1882414682,5,hmc_chain,seed42_sivi_x_shaped,8.060874865204095,42,x_shaped
6,6000,SIVI,0.6,0.19301043934247086,1882414682,6,hmc_chain,seed42_sivi_x_shaped,8.060874865204095,42,x_shaped
7,6000,SIVI,0.6,0.2025165051592563,1882414682,7,hmc_chain,seed42_sivi_x_shaped,8.060874865204095,42,x_shaped
8,6000,SIVI,0.6,0.2182567514868742,1882414682,8,hmc_chain,seed42_sivi_x_shaped,8.060874865204095,42,x_shaped
9,6000,SIVI,0.6,0.20050575708102536,1882414682,9,hmc_chain,seed42_sivi_x_shaped,8.060874865204095,42,x_shaped
