epoch,method,method_l2_mean,method_l2_sd,method_n_failed,method_n_valid,method_relative_l2_mean,method_relative_l2_sd,method_runtime_sec_mean,method_target_l2_mean,method_target_l2_sd,n_seeds,progress,reference_internal_l2_mean,reference_internal_l2_sd,reference_mean_mcse_l2_mean,reference_mean_mcse_l2_sd,reference_quality_n_pass,reference_quality_n_warning,reference_runtime_sec_mean,reference_target_l2_mean,reference_target_l2_sd,target
2000,AISIVI,7.226751956889865,14.885293899954442,0,5,3.3009550702791954,6.802102473128634,0.07418866865336896,18.49781508863382,16.806236795820944,5,0.2,0.9340530446895119,1.7096653154248127,0.10378367163216799,0.18996281282497918,5,0,99.34922113828361,11.74243388548478,2.3096446263773807,8_gaussians
4000,AISIVI,15.044099245948976,31.703167362818395,0,5,3.1152054749833757,6.5686297861478256,0.07576562352478504,20.380039497370298,32.41408088976456,5,0.4,1.4834266465925718,2.3753626205818423,0.1648251829547302,0.26392918006464916,5,0,100.58547243587672,6.944595289080612,2.1818596583668457,8_gaussians
6000,AISIVI,26.53817862733979,49.88855102018513,1,4,3.911127468096812,7.380745636637883,0.06536090932786465,30.54947813421101,52.245715121633474,5,0.6,2.0921835695206403,3.417639484329894,0.23246484105784893,0.3797377204810993,5,0,101.29158816896378,90.4490722031329,188.52556240380252,8_gaussians
8000,AISIVI,49.19910445059307,94.80383312051232,1,4,7.484170800261565,14.469647683358325,0.06758583262562752,51.867487324787504,95.67053317747632,5,0.8,2.218035146106335,3.660443848151302,0.24644834956737052,0.4067159831279225,3,2,98.01203175224364,92.61250938294441,195.13873875850433,8_gaussians
10000,AISIVI,119.13538700861379,203.1662653819883,2,3,15.497624962087341,26.414850136653424,0.05844751000404358,121.7490001480108,203.98756770105513,5,1.0,2.611486337550759,4.675384233680109,0.2901651486167511,0.5194871370755677,5,0,98.92977762520313,143.07306490483955,188.50166084806705,8_gaussians
2000,DSIVI,81.61258773303125,109.5529562313319,0,5,0.6772235947303841,0.3445844998434381,0.00036090575158596037,14.22894280227545,5.252349051331674,5,0.2,22.204349627978637,29.244682253501917,2.467149958664293,3.249409139277991,5,0,102.37618161328137,95.7272697137341,113.44090860897964,8_gaussians
4000,DSIVI,170.58672298088493,244.789047985741,0,5,0.5841241390181044,0.3877534063263603,0.0009941264986991882,7.64703975921212,2.5887344843940783,5,0.4,22.427503078664348,30.12907535223282,2.4919447865182605,3.3476750391369805,4,1,99.3301283326,176.73315691421817,245.02285946985663,8_gaussians
6000,DSIVI,182.42335411362555,250.54921403269512,0,5,0.5656602784579063,0.3988094315715018,0.0005417205393314362,5.217084426528055,1.8915989253125964,5,0.6,28.636625473893634,37.86763080433511,3.1818472748770703,4.2075145338150115,5,0,99.45159850418568,188.3026957810425,253.1737994904877,8_gaussians
8000,DSIVI,203.80799946483586,279.93446950915444,0,5,0.5327572443513626,0.4154939959893394,0.0008957277983427048,4.223478651492792,1.3933352702610102,5,0.8,38.50457353673483,55.24156115337738,4.278285948526093,6.1379512392641535,5,0,100.07326738499106,208.7539551279699,281.96708371421784,8_gaussians
10000,DSIVI,219.10635155690034,298.4216633740079,0,5,0.5471338006462618,0.40105716983496814,0.0004476413130760193,3.9564105638906804,1.620620507919615,5,1.0,32.624615986932056,45.86506257209467,3.624957331881339,5.096118063566076,5,0,99.80278879068791,223.71921202479092,300.699456887147,8_gaussians
2000,SIVI,0.16862662326423689,0.10963336970126915,0,5,0.07947290629305452,0.04996383621992727,0.0017277501523494721,12.164644553491094,0.927151491384138,5,0.2,0.18210972372091852,0.02836850395620906,0.020234413746768726,0.0031520559951343403,5,0,99.95996482297778,12.311548946149703,0.7987092600652361,8_gaussians
4000,SIVI,0.2635764778735794,0.10131060187338635,0,5,0.060129855593184865,0.024972304125552413,0.002431176230311394,6.765780033423819,0.4590400551389284,5,0.4,0.28490779780322384,0.0450301239368477,0.031656421978135986,0.005003347104094188,5,0,103.5820212174207,6.9472471661405155,0.5091574178863372,8_gaussians
6000,SIVI,0.4920202907684466,0.1399384577521035,0,5,0.08034670607165614,0.02127026931705581,0.0027515582740306856,5.164046738299703,0.5340635251878814,5,0.6,0.42146791169775116,0.04258873979323101,0.046829767966416795,0.00473208219924789,5,0,98.84441279061139,5.4494175775639295,0.6356806605375357,8_gaussians
8000,SIVI,0.7578326843962762,0.17809124762494372,0,5,0.11724170298663131,0.03447941075954362,0.0020612142980098724,4.531282261519126,1.1401573655586636,5,0.8,0.5571644113829477,0.10927344281608377,0.061907156820327526,0.012141493646231533,3,2,99.15763435959816,4.906840674779874,1.1568155534055742,8_gaussians
10000,SIVI,0.7233811523657729,0.10557805768392695,0,5,0.1148815628733594,0.014365640358842234,0.0022005364298820496,3.7319917974833756,0.5737686473204846,5,1.0,0.5595124309885972,0.10057784523075561,0.06216804788762189,0.011175316136750624,4,1,99.59837498478592,4.266253497083246,0.5117493961416808,8_gaussians
2000,UIVI,1.1344818910834835,0.30410876288145555,0,5,0.9745078735287654,0.22335944938364494,0.12139529809355736,18.326229697010024,1.4589892207084727,5,0.2,0.023327917385763598,0.01203915312619433,0.0025919908206403996,0.0013376836806882591,5,0,93.93278715386987,17.395215141110008,1.4321379016912092,8_gaussians
4000,UIVI,1.7420584720441474,0.530593071943147,0,5,0.7937037242355249,0.2057755767922599,0.18282739967107772,14.343275355940396,0.9320745134874758,5,0.4,0.03031735018519512,0.01841598986575557,0.003368594465021679,0.002046221096195063,5,0,92.0089143898338,12.526580182315012,0.6626604105261088,8_gaussians
6000,UIVI,1.999923500028347,0.36404056258794,0,5,0.7570120783882949,0.19825426103790109,0.15124441161751748,13.264712256587808,0.31913417883816897,5,0.6,0.034554278787399154,0.029301799738533477,0.0038393643097110164,0.0032557555265037203,5,0,93.03470105864108,11.240839070429114,0.09446352340389035,8_gaussians
8000,UIVI,2.013314934724804,0.49290536132082113,0,5,0.6713411697250535,0.16118831443397624,0.15369757823646069,12.798573681188689,0.2751134697081487,5,0.8,0.030771182966723036,0.030542315964904643,0.0034190203296358924,0.0033935906627671824,5,0,91.17031277269125,10.780850123844441,0.5273509111371206,8_gaussians
10000,UIVI,2.123698802068027,0.5776849591714402,0,5,0.7348545157550642,0.2125021908842135,0.1857729084789753,12.633889995003363,0.7819529366495387,5,1.0,0.029732190895878176,0.028776106829596904,0.0033035767662086867,0.003197345203288545,5,0,92.67021617665887,10.854104529605083,0.405293828450094,8_gaussians
2000,AISIVI,1984.963611558897,3677.500101007116,0,5,615.8813196759919,1106.203997366224,0.07643533870577812,1961.6153100890592,3621.0902447156022,5,0.2,6.096155179922107,7.978531203161499,0.6773505755469008,0.8865034670179441,5,0,107.01761680617929,20.461171010475503,34.79318463926104,x_shaped
4000,AISIVI,161.44858714334055,323.9734253543013,0,5,46.88757162791707,95.1404370751267,0.0774467509239912,163.52742219961573,327.2528102468303,5,0.4,2.6188459255166556,2.576240549363232,0.29098288061296174,0.286248949929248,5,0,98.7492732346058,1.5007555768260796,1.0959755250719012,x_shaped
6000,AISIVI,125.11364284710808,203.52857295718132,0,5,30.003473679975723,48.86859345405307,0.07836397103965283,125.11178159077114,202.44599907177147,5,0.6,2.094949606239721,1.7622734028177647,0.23277217847108017,0.19580815586864053,5,0,95.08717424422503,1.0048127020921815,0.8664498037473086,x_shaped
8000,AISIVI,200.10713834195963,317.63235772630514,0,5,45.85908926237978,70.94101166229026,0.07673339284956456,199.02557414539314,315.89578064108883,5,0.8,2.4847563328046904,1.9591895837779176,0.276084036978299,0.21768773153087972,5,0,93.00929563455284,0.9663786227913217,0.8478698301450289,x_shaped
10000,AISIVI,38.63838858322223,39.60481336607223,0,5,9.516224426558079,9.852424101161864,0.07732712626457214,37.90876218263744,38.30629107919854,5,1.0,2.5028822685311303,2.015333733339429,0.2780980298367922,0.2239259703710476,5,0,94.49429268613457,1.019459447896398,0.9322752966745647,x_shaped
2000,DSIVI,1.9475873102276808,1.6691938442211578,0,5,0.46518854232783174,0.2314251596016396,0.00034083649516105654,4.021233407162083,0.5361040800957578,5,0.2,5.17118997106257,3.5143648988516776,0.5745766634513967,0.39048498876129756,5,0,108.78124278485775,5.239957448858702,1.7929614523276085,x_shaped
