epoch,method,method_hmc_l2_mean,method_hmc_l2_sd,method_hmc_relative_l2_mean,method_hmc_relative_l2_sd,method_runtime_sec_mean,method_runtime_sec_sd,n_seeds,native_auxiliary_samples,progress,seeds,target,uivi_average_acceptance_rate_mean,uivi_average_acceptance_rate_sd
2000,AISIVI,45.529344664799765,76.90813151355076,12.317677368967264,17.140135098049225,0.10216797590255737,0.007275214961469703,5,1024,0.2,"42,43,45,49,50",x_shaped,,
2000,DSIVI,0.8990443568469051,0.9079318392865363,0.2814103897013925,0.18216100539337385,0.0004741281270980835,4.9091678970033484e-05,5,0,0.2,"42,43,45,49,50",x_shaped,,
2000,SIVI,154.38092082763865,152.64159321564594,49.32841341611247,39.39682731094848,0.0027932614088058473,0.0008583709210451455,5,4097,0.2,"42,43,45,49,50",x_shaped,,
2000,UIVI,1188.7172439481026,1139.4248472032848,390.56616800593247,337.67013177298577,0.17662243843078612,0.026483014889200917,5,5,0.2,"42,43,45,49,50",x_shaped,0.1372656300663948,0.05996004894336299
4000,AISIVI,13.477628853737249,18.378446217009714,2.7378345947386054,3.2595223213356705,0.10295829772949219,0.0040199131092515245,5,1024,0.4,"42,43,45,49,50",x_shaped,,
4000,DSIVI,0.8020579832079247,0.8672220357284846,0.16252905133679116,0.15631295436183731,0.00046847760677337646,7.727963098238744e-05,5,0,0.4,"42,43,45,49,50",x_shaped,,
4000,SIVI,113.30054574738378,60.58882944013073,27.244481734885152,14.912225405646858,0.002616879343986511,0.0005124173891633302,5,4097,0.4,"42,43,45,49,50",x_shaped,,
4000,UIVI,889.8080104885203,535.7111561961324,203.9340429536483,119.3935533702904,0.19327908605337143,0.03442469164345857,5,5,0.4,"42,43,45,49,50",x_shaped,0.12013672143220902,0.07404473837996664
6000,AISIVI,7.248617227452817,4.670906028371482,1.6355018255416929,1.0763972624936549,0.10243809670209884,0.004970665975301591,5,1024,0.6,"42,43,45,49,50",x_shaped,,
6000,DSIVI,0.4071303038652706,0.47134707494517836,0.083945933287048,0.08440603774039375,0.0004951953887939453,3.3206640515227466e-05,5,0,0.6,"42,43,45,49,50",x_shaped,,
6000,SIVI,78.76289748664428,39.973248794802295,17.70224529166176,8.905013802535253,0.002518489956855774,0.0004727562211838875,5,4097,0.6,"42,43,45,49,50",x_shaped,,
6000,UIVI,880.868526543654,703.7614606952153,195.1732231949782,154.48574763849342,0.1668305739760399,0.010004611883907645,5,5,0.6,"42,43,45,49,50",x_shaped,0.17322266064584255,0.13114302927010596
8000,AISIVI,20.202571025512253,15.425501394888773,4.692196134534117,3.8439860783045345,0.10345376878976822,0.00520649335694665,5,1024,0.8,"42,43,45,49,50",x_shaped,,
8000,DSIVI,0.30264435388461186,0.30688010292240614,0.06482550815500199,0.05911511967979944,0.0004998072981834412,4.936761703194432e-05,5,0,0.8,"42,43,45,49,50",x_shaped,,
8000,SIVI,81.90851593366787,61.0604610470695,18.563813775166775,13.9068318149012,0.002682647109031677,0.0002890213489912948,5,4097,0.8,"42,43,45,49,50",x_shaped,,
8000,UIVI,972.443241488479,801.7810847535369,214.5130829044587,171.18508167650901,0.15682414472103118,0.038246796733063644,5,5,0.8,"42,43,45,49,50",x_shaped,0.1756835974752903,0.13032397282419567
10000,AISIVI,6.881012330585672,6.990132965313711,1.5031878863151764,1.5418658506804055,0.15619166493415831,0.003588589007908519,5,1024,1.0,"42,43,45,49,50",x_shaped,,
10000,DSIVI,0.3311596192871722,0.5483947685542959,0.0653743529551721,0.10042121956053297,0.13245438039302826,0.03920621863373048,5,0,1.0,"42,43,45,49,50",x_shaped,,
10000,SIVI,107.79128226523255,49.08771960420256,24.81959417533855,11.734796709107938,0.4249554857611656,0.062064082779544345,5,4097,1.0,"42,43,45,49,50",x_shaped,,
10000,UIVI,899.2358664862344,611.0352654655151,197.2117488696467,121.4956501188649,0.3991694301366806,0.04839186430263659,5,5,1.0,"42,43,45,49,50",x_shaped,0.1716406263411045,0.13133576132642052
