accumulator_dtype,analysis_fingerprint,cell_key,checkpoint_dir,completed_at,device,diagnostic_aisivi_z_chunk_size,diagnostic_hmc_acceptance_rate,diagnostic_hmc_burn_in_steps,diagnostic_hmc_divergence_fraction,diagnostic_hmc_epsilon_rhat_max,diagnostic_hmc_epsilon_rhat_median,diagnostic_hmc_epsilon_rhat_nonfinite_fraction,diagnostic_hmc_epsilon_rhat_p95,diagnostic_hmc_final_step_size_median,diagnostic_hmc_final_step_size_p05,diagnostic_hmc_final_step_size_p95,diagnostic_hmc_leapfrog_steps,diagnostic_hmc_mean_squared_jump_distance,diagnostic_hmc_num_chains,diagnostic_hmc_post_burn_acceptance_min,diagnostic_hmc_post_burn_acceptance_rate,diagnostic_hmc_samples_per_chain,diagnostic_hmc_score_rhat_max,diagnostic_hmc_score_rhat_median,diagnostic_hmc_score_rhat_nonfinite_fraction,diagnostic_hmc_score_rhat_p95,diagnostic_hmc_thinning,diagnostic_hmc_total_samples,diagnostic_importance_clipped_fraction,diagnostic_importance_ess_mean,diagnostic_importance_ess_min,diagnostic_native_auxiliary_samples,diagnostic_nonfinite_reverse_parameter_tensors,epoch,forward_batch_size,forward_seed,gpu_name,method,method_error,method_l2,method_l2_z_sd,method_relative_l2,method_runtime_sec,method_score_sq_norm,method_seed,method_status,method_target_l2,progress,reference_estimator,reference_internal_l2,reference_mean_mcse_l2,reference_mean_score_sq_norm,reference_num_chains,reference_quality_issues,reference_quality_status,reference_repeats,reference_replication_unit,reference_runtime_sec,reference_samples_per_chain,reference_seed,reference_target_l2,reference_total_samples,run_id,seed,target,target_score_sq_norm,total_runtime_sec
torch.float64,2039e966ba63fbe9d2360f0767265fd6137a714705926dfba2820054c9009b84,seed42_sivi_x_shaped|SIVI|x_shaped|42|2000,results/default_config_grid/SIVI/x_shaped/20260428_043837/checkpoints/epoch_2000,2026-07-27T17:40:53.020332+00:00,cuda,,0.9996641845703125,1000,0.0,1.0171054791188434,1.0042321063043644,0.0,1.0104314139815938,0.009999999776482582,0.009999999776482582,0.009999999776482582,20,0.06869920608352932,20,0.9978,0.9996366210937501,5000,1.0083347209800626,1.000553407709213,0.0,1.0026808827134497,1,100000,,,,4097,,2000,1024,1519994601,NVIDIA GeForce RTX 3090,SIVI,,0.01037994098342434,0.027856791163866027,0.005780698622261678,0.14255504310131073,1.8128801535315386,143581502,ok,3.335465313851577,0.2,posterior_hmc,0.009586479641594925,0.0005045515600839434,1.795620505703379,20,[],pass,20,hmc_chain,459.21006298065186,5000,280897237,3.3215834670826725,100000,seed42_sivi_x_shaped,42,x_shaped,9.618026147559256,459.35261802375317
torch.float64,2039e966ba63fbe9d2360f0767265fd6137a714705926dfba2820054c9009b84,seed42_sivi_x_shaped|SIVI|x_shaped|42|4000,results/default_config_grid/SIVI/x_shaped/20260428_043837/checkpoints/epoch_4000,2026-07-27T17:50:06.622395+00:00,cuda,,0.9996556152343751,1000,0.0,1.0220469867571387,1.0044453150620807,0.0,1.0107276896577426,0.009999999776482582,0.009999999776482582,0.009999999776482582,20,0.0687563454203992,20,0.9982000000000001,0.999626083984375,5000,1.0074823645304052,1.0006091553406855,0.0,1.003329816227743,1,100000,,,,4097,,4000,1024,1480712840,NVIDIA GeForce RTX 3090,SIVI,,0.018748348773410604,0.20730085520982805,0.005241041893254579,0.18938329070806503,3.572818091145044,1765956219,ok,0.28332736343852083,0.4,posterior_hmc,0.019129304586858797,0.0010068055045715156,3.5772178805783725,20,[],pass,20,hmc_chain,490.91051077097654,5000,724971558,0.2589006224117849,100000,seed42_sivi_x_shaped,42,x_shaped,5.272099486926065,491.0998940616846
torch.float64,2039e966ba63fbe9d2360f0767265fd6137a714705926dfba2820054c9009b84,seed42_sivi_x_shaped|SIVI|x_shaped|42|6000,results/default_config_grid/SIVI/x_shaped/20260428_043837/checkpoints/epoch_6000,2026-07-27T17:57:49.443343+00:00,cuda,,0.9996924560546875,1000,0.0,1.0329987023744156,1.0046358172246894,0.0,1.0115462643877156,0.009999999776482582,0.009999999776482582,0.009999999776482582,20,0.0693149471322748,20,0.9974000000000001,0.9996661132812502,5000,1.0152566907906129,1.0007124346353473,0.0,1.003873179161979,1,100000,,,,4097,,6000,1024,1035680422,NVIDIA GeForce RTX 3090,SIVI,,0.014145648469515566,0.024955668966636833,0.0035077656589226256,0.0025452077388763428,4.057566286468098,1564196000,ok,0.03913141471056282,0.6,posterior_hmc,0.025001821483590397,0.0013158853412415998,4.032666330925954,20,[],pass,20,hmc_chain,462.80223412811756,5000,1882414682,0.028285471710159216,100000,seed42_sivi_x_shaped,42,x_shaped,3.976686838712066,462.80477933585644
torch.float64,2039e966ba63fbe9d2360f0767265fd6137a714705926dfba2820054c9009b84,seed42_sivi_x_shaped|SIVI|x_shaped|42|8000,results/default_config_grid/SIVI/x_shaped/20260428_043837/checkpoints/epoch_8000,2026-07-27T18:10:54.897174+00:00,cuda,,0.9996952799479166,1000,0.0,1.0420451515027565,1.0046582406881148,0.0,1.0120718606616093,0.009999999776482582,0.009999999776482582,0.009999999776482582,20,0.06931370806301004,20,0.9982000000000001,0.9996683496093749,5000,1.0363660472284886,1.000645705283931,0.0,1.004173333789748,1,100000,,,,4097,,8000,1024,1554131834,NVIDIA GeForce RTX 3090,SIVI,,0.013950690889071048,0.06616102238893211,0.003574939266823137,0.2242618352174759,3.864494019410323,1898580874,ok,0.058041361994214356,0.8,posterior_hmc,0.025553307200587252,0.001344910905294066,3.902357452205979,20,[],pass,20,hmc_chain,562.1007199510932,5000,1831667074,0.03800545439294804,100000,seed42_sivi_x_shaped,42,x_shaped,4.049822690184202,562.3249817863107
torch.float64,2039e966ba63fbe9d2360f0767265fd6137a714705926dfba2820054c9009b84,seed42_sivi_x_shaped|SIVI|x_shaped|42|10000,results/default_config_grid/SIVI/x_shaped/20260428_043837/checkpoints/epoch_10000,2026-07-27T18:20:29.189145+00:00,cuda,,0.9996943033854166,1000,0.0,1.0449570482627482,1.0047653673119337,0.0,1.0118249680673737,0.009999999776482582,0.009999999776482582,0.009999999776482582,20,0.06934690797245162,20,0.9982000000000001,0.9996683789062502,5000,1.011507310058999,1.0006910315400017,0.0,1.0043290326505505,1,100000,,,,4097,,10000,1024,923609180,NVIDIA GeForce RTX 3090,SIVI,,0.01583885987351523,0.0571754331076631,0.004026447955612194,0.0025493279099464417,3.9939534401238044,964732268,ok,0.03611773285087233,1.0,posterior_hmc,0.025907354879491442,0.0013635449936574443,3.933705352241921,20,[],pass,20,hmc_chain,574.2720854058862,5000,651747563,0.01901349824715846,100000,seed42_sivi_x_shaped,42,x_shaped,3.9432777755289687,574.2746347337961
torch.float64,2039e966ba63fbe9d2360f0767265fd6137a714705926dfba2820054c9009b84,seed43_sivi_x_shaped|SIVI|x_shaped|43|2000,results/default_config_grid/SIVI/x_shaped/20260428_070030/checkpoints/epoch_2000,2026-07-27T17:50:57.983043+00:00,cuda,,0.9997051269531249,1000,0.0,1.1546739887266249,1.0035682390307465,0.0,1.0088881901065556,0.009999999776482582,0.009999999776482582,0.009999999776482582,20,0.06939019796721611,20,0.9982000000000001,0.999680830078125,5000,1.068241889336253,1.000755596241157,0.0,1.002618442750848,1,100000,,,,4097,,2000,1024,127349471,NVIDIA GeForce RTX 3090,SIVI,,0.008033350483801398,0.02633475024491166,0.004449712770687162,0.14561279118061066,1.7624542513969916,175362789,ok,3.046286009068244,0.2,posterior_hmc,0.011852937699773436,0.0006238388263038651,1.8053638285872597,20,[],pass,20,hmc_chain,542.1355732753873,5000,263106188,2.995448216662667,100000,seed43_sivi_x_shaped,43,x_shaped,9.07141065097602,542.2811860665679
torch.float64,2039e966ba63fbe9d2360f0767265fd6137a714705926dfba2820054c9009b84,seed43_sivi_x_shaped|SIVI|x_shaped|43|4000,results/default_config_grid/SIVI/x_shaped/20260428_070030/checkpoints/epoch_4000,2026-07-27T18:00:06.816969+00:00,cuda,,0.9996924072265625,1000,0.0,1.1220825211764798,1.0039828487935472,0.0,1.008492617271025,0.009999999776482582,0.009999999776482582,0.009999999776482582,20,0.06926212897415375,20,0.998,0.9996661230468752,5000,1.049772308106239,1.0007539023057332,0.0,1.002569194442438,1,100000,,,,4097,,4000,1024,1359005006,NVIDIA GeForce RTX 3090,SIVI,,0.01259241339600035,0.031230815246871792,0.003926183660420365,0.0019827857613563538,3.186419289730545,1637900253,ok,0.18783744446302966,0.4,posterior_hmc,0.019564356605679064,0.0010297029792462665,3.207290968821392,20,[],pass,20,hmc_chain,548.8203131407499,5000,862205402,0.17397838408251637,100000,seed43_sivi_x_shaped,43,x_shaped,4.418033104996074,548.8222959265113
torch.float64,2039e966ba63fbe9d2360f0767265fd6137a714705926dfba2820054c9009b84,seed43_sivi_x_shaped|SIVI|x_shaped|43|6000,results/default_config_grid/SIVI/x_shaped/20260428_070030/checkpoints/epoch_6000,2026-07-27T18:11:07.438396+00:00,cuda,,0.9997197021484375,1000,0.0,1.2143601599645555,1.0041286831442984,0.0,1.0094850052974995,0.009999999776482582,0.009999999776482582,0.009999999776482582,20,0.06969209154241635,20,0.9984000000000001,0.999694951171875,5000,1.1062777245311652,1.0007816981984257,0.0,1.0028561230391728,1,100000,,,,4097,,6000,1024,78804063,NVIDIA GeForce RTX 3090,SIVI,,0.0169788336911782,0.04870381481109424,0.004208350723309239,0.19504565000534058,4.07388828637125,69479845,ok,0.05980801991760671,0.6,posterior_hmc,0.028653413902151245,0.0015080744159026971,4.034557670570499,20,[],pass,20,hmc_chain,573.5029572173953,5000,1157221491,0.047584443101972275,100000,seed43_sivi_x_shaped,43,x_shaped,4.166034578617312,573.6980028674006
torch.float64,2039e966ba63fbe9d2360f0767265fd6137a714705926dfba2820054c9009b84,seed43_sivi_x_shaped|SIVI|x_shaped|43|8000,results/default_config_grid/SIVI/x_shaped/20260428_070030/checkpoints/epoch_8000,2026-07-27T18:20:12.313092+00:00,cuda,,0.9997247884114583,1000,0.0,1.1107773950142514,1.0040943972333214,0.0,1.009031081118836,0.009999999776482582,0.009999999776482582,0.009999999776482582,20,0.06973822670023593,20,0.9982000000000001,0.9997008300781252,5000,1.0723554029146247,1.0007942774611862,0.0,1.0030016686106942,1,100000,,,,4097,,8000,1024,1333816556,NVIDIA GeForce RTX 3090,SIVI,,0.0158933636985448,0.053338630764105534,0.003910579233673006,0.002678699791431427,4.164153891212232,458207985,ok,0.03627386974017399,0.8,posterior_hmc,0.029296565005756954,0.001541924473987208,4.064196823245793,20,[],pass,20,hmc_chain,544.8546646684408,5000,341413517,0.022795774831264104,100000,seed43_sivi_x_shaped,43,x_shaped,3.9784275963170557,544.8573433682323
torch.float64,2039e966ba63fbe9d2360f0767265fd6137a714705926dfba2820054c9009b84,seed43_sivi_x_shaped|SIVI|x_shaped|43|10000,results/default_config_grid/SIVI/x_shaped/20260428_070030/checkpoints/epoch_10000,2026-07-27T18:29:25.038575+00:00,cuda,,0.9997191406249999,1000,0.0,1.0606641747018755,1.0039167266240494,0.0,1.0088111011608867,0.009999999776482582,0.009999999776482582,0.009999999776482582,20,0.06969914265357872,20,0.9984000000000001,0.9996944921875003,5000,1.0306390104858623,1.0007208548632567,0.0,1.0028283043043984,1,100000,,,,4097,,10000,1024,2002093202,NVIDIA GeForce RTX 3090,SIVI,,0.014663826532629608,0.0557786775824075,0.0038892443261885393,0.003327086567878723,3.789586195865546,1988957141,ok,0.031202179474349907,1.0,posterior_hmc,0.021788797250516145,0.0011467788026587444,3.770353647851217,20,[],pass,20,hmc_chain,552.7000839859247,5000,483180617,0.019199249335910457,100000,seed43_sivi_x_shaped,43,x_shaped,3.842168368616714,552.7034110724926
