chain,epoch,method,progress,reference_internal_l2,reference_seed,repeat,replication_unit,run_id,runtime_sec,seed,target
0,2000,SIVI,0.2,0.008568142853549818,280897237,0,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
1,2000,SIVI,0.2,0.01015748868960974,280897237,1,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
2,2000,SIVI,0.2,0.009719732150564382,280897237,2,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
3,2000,SIVI,0.2,0.010089694278551001,280897237,3,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
4,2000,SIVI,0.2,0.009503126479802199,280897237,4,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
5,2000,SIVI,0.2,0.009321778011607867,280897237,5,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
6,2000,SIVI,0.2,0.009661789176305485,280897237,6,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
7,2000,SIVI,0.2,0.009711626319064297,280897237,7,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
8,2000,SIVI,0.2,0.010494006914610138,280897237,8,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
9,2000,SIVI,0.2,0.008919783456836503,280897237,9,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
10,2000,SIVI,0.2,0.010074590598096818,280897237,10,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
11,2000,SIVI,0.2,0.009950293352572515,280897237,11,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
12,2000,SIVI,0.2,0.009272112751419665,280897237,12,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
13,2000,SIVI,0.2,0.009210227712091575,280897237,13,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
14,2000,SIVI,0.2,0.00887579453817766,280897237,14,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
15,2000,SIVI,0.2,0.009355506811428205,280897237,15,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
16,2000,SIVI,0.2,0.009365637484611982,280897237,16,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
17,2000,SIVI,0.2,0.010383009742104116,280897237,17,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
18,2000,SIVI,0.2,0.009704376474490206,280897237,18,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
19,2000,SIVI,0.2,0.009390875036404334,280897237,19,hmc_chain,seed42_sivi_x_shaped,22.960503149032593,42,x_shaped
0,4000,SIVI,0.4,0.018994704612871702,724971558,0,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
1,4000,SIVI,0.4,0.019187780054783415,724971558,1,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
2,4000,SIVI,0.4,0.019137918735670733,724971558,2,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
3,4000,SIVI,0.4,0.0200915202516447,724971558,3,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
4,4000,SIVI,0.4,0.018468439398606304,724971558,4,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
5,4000,SIVI,0.4,0.019619514796765082,724971558,5,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
6,4000,SIVI,0.4,0.01787879891822625,724971558,6,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
7,4000,SIVI,0.4,0.017977590901060214,724971558,7,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
8,4000,SIVI,0.4,0.018828349405842035,724971558,8,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
9,4000,SIVI,0.4,0.017749279264195176,724971558,9,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
10,4000,SIVI,0.4,0.019420849553523932,724971558,10,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
11,4000,SIVI,0.4,0.019483876369212456,724971558,11,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
12,4000,SIVI,0.4,0.02041881670014855,724971558,12,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
13,4000,SIVI,0.4,0.01963713079005515,724971558,13,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
14,4000,SIVI,0.4,0.01836613572316701,724971558,14,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
15,4000,SIVI,0.4,0.018024594844880858,724971558,15,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
16,4000,SIVI,0.4,0.020953629807488987,724971558,16,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
17,4000,SIVI,0.4,0.018537141232123237,724971558,17,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
18,4000,SIVI,0.4,0.021282970432579387,724971558,18,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
19,4000,SIVI,0.4,0.01852704994433072,724971558,19,hmc_chain,seed42_sivi_x_shaped,24.545525538548826,42,x_shaped
0,6000,SIVI,0.6,0.027283686312990604,1882414682,0,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
1,6000,SIVI,0.6,0.023969523435732217,1882414682,1,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
2,6000,SIVI,0.6,0.028678758555898284,1882414682,2,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
3,6000,SIVI,0.6,0.023386572893191734,1882414682,3,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
4,6000,SIVI,0.6,0.023678505682576602,1882414682,4,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
5,6000,SIVI,0.6,0.02329024910479053,1882414682,5,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
6,6000,SIVI,0.6,0.025658680854305428,1882414682,6,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
7,6000,SIVI,0.6,0.026059150991872924,1882414682,7,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
8,6000,SIVI,0.6,0.023870769878920124,1882414682,8,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
9,6000,SIVI,0.6,0.023871258169640447,1882414682,9,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
10,6000,SIVI,0.6,0.026445288668582603,1882414682,10,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
11,6000,SIVI,0.6,0.024978924423745347,1882414682,11,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
12,6000,SIVI,0.6,0.025590995311153254,1882414682,12,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
13,6000,SIVI,0.6,0.0222708560427392,1882414682,13,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
14,6000,SIVI,0.6,0.02454519345129949,1882414682,14,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
15,6000,SIVI,0.6,0.02538601099665553,1882414682,15,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
16,6000,SIVI,0.6,0.025013591474861627,1882414682,16,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
17,6000,SIVI,0.6,0.025319908204549907,1882414682,17,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
18,6000,SIVI,0.6,0.02460173372249476,1882414682,18,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
19,6000,SIVI,0.6,0.02613677149580738,1882414682,19,hmc_chain,seed42_sivi_x_shaped,23.14011170640588,42,x_shaped
0,8000,SIVI,0.8,0.025154850689014307,1831667074,0,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
1,8000,SIVI,0.8,0.028893281273264775,1831667074,1,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
2,8000,SIVI,0.8,0.026324016423990577,1831667074,2,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
3,8000,SIVI,0.8,0.022734246786983128,1831667074,3,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
4,8000,SIVI,0.8,0.025122237564808643,1831667074,4,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
5,8000,SIVI,0.8,0.02558401255262206,1831667074,5,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
6,8000,SIVI,0.8,0.023599813187806167,1831667074,6,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
7,8000,SIVI,0.8,0.027263074738925197,1831667074,7,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
8,8000,SIVI,0.8,0.024060446872163906,1831667074,8,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
9,8000,SIVI,0.8,0.027258103568007723,1831667074,9,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
10,8000,SIVI,0.8,0.026141309460215305,1831667074,10,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
11,8000,SIVI,0.8,0.025141785983464573,1831667074,11,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
12,8000,SIVI,0.8,0.025276512934902132,1831667074,12,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
13,8000,SIVI,0.8,0.021983168532805873,1831667074,13,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
14,8000,SIVI,0.8,0.02621038656226865,1831667074,14,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
15,8000,SIVI,0.8,0.02420853138052429,1831667074,15,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
16,8000,SIVI,0.8,0.0328322063929975,1831667074,16,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
17,8000,SIVI,0.8,0.02305538864399401,1831667074,17,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
18,8000,SIVI,0.8,0.025381308918197523,1831667074,18,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
19,8000,SIVI,0.8,0.024841461544788643,1831667074,19,hmc_chain,seed42_sivi_x_shaped,28.10503599755466,42,x_shaped
0,10000,SIVI,1.0,0.026828434944971166,651747563,0,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
1,10000,SIVI,1.0,0.023003297361173968,651747563,1,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
2,10000,SIVI,1.0,0.027802236999619548,651747563,2,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
3,10000,SIVI,1.0,0.027365066054867826,651747563,3,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
4,10000,SIVI,1.0,0.023953363534009856,651747563,4,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
5,10000,SIVI,1.0,0.024278661280282738,651747563,5,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
6,10000,SIVI,1.0,0.026624254876697825,651747563,6,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
7,10000,SIVI,1.0,0.02649721698019117,651747563,7,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
8,10000,SIVI,1.0,0.024402566493212027,651747563,8,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
9,10000,SIVI,1.0,0.02599846863179331,651747563,9,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
10,10000,SIVI,1.0,0.029919575488888718,651747563,10,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
11,10000,SIVI,1.0,0.02391856779879719,651747563,11,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
12,10000,SIVI,1.0,0.026385651846000138,651747563,12,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
13,10000,SIVI,1.0,0.023649423814146198,651747563,13,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
14,10000,SIVI,1.0,0.02758278278577324,651747563,14,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
15,10000,SIVI,1.0,0.026360188506839473,651747563,15,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
16,10000,SIVI,1.0,0.025545519826079013,651747563,16,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
17,10000,SIVI,1.0,0.026494074754567668,651747563,17,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
18,10000,SIVI,1.0,0.026084729659106416,651747563,18,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
19,10000,SIVI,1.0,0.025453015952811263,651747563,19,hmc_chain,seed42_sivi_x_shaped,28.713604270294308,42,x_shaped
0,2000,SIVI,0.2,0.01185949669720185,263106188,0,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
1,2000,SIVI,0.2,0.011158530054817024,263106188,1,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
2,2000,SIVI,0.2,0.010936773991528098,263106188,2,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
3,2000,SIVI,0.2,0.015663442934938696,263106188,3,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
4,2000,SIVI,0.2,0.011587566962610003,263106188,4,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
5,2000,SIVI,0.2,0.012061193964541406,263106188,5,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
6,2000,SIVI,0.2,0.011240406215258443,263106188,6,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
7,2000,SIVI,0.2,0.011508205161336979,263106188,7,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
8,2000,SIVI,0.2,0.010869656497503818,263106188,8,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
9,2000,SIVI,0.2,0.011126506033344141,263106188,9,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
10,2000,SIVI,0.2,0.010532206927009709,263106188,10,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
11,2000,SIVI,0.2,0.011250448166879855,263106188,11,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
12,2000,SIVI,0.2,0.018787192709462948,263106188,12,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
13,2000,SIVI,0.2,0.009763520050683828,263106188,13,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
14,2000,SIVI,0.2,0.010909957487683405,263106188,14,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
15,2000,SIVI,0.2,0.010335244782449873,263106188,15,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
16,2000,SIVI,0.2,0.013265549615226517,263106188,16,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
17,2000,SIVI,0.2,0.01086114622427842,263106188,17,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
18,2000,SIVI,0.2,0.011673870730960677,263106188,18,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
19,2000,SIVI,0.2,0.011667838787753036,263106188,19,hmc_chain,seed43_sivi_x_shaped,27.106778663769365,43,x_shaped
0,4000,SIVI,0.4,0.019247384370681055,862205402,0,hmc_chain,seed43_sivi_x_shaped,27.441015657037497,43,x_shaped
1,4000,SIVI,0.4,0.018117042727713646,862205402,1,hmc_chain,seed43_sivi_x_shaped,27.441015657037497,43,x_shaped
2,4000,SIVI,0.4,0.018354811143348783,862205402,2,hmc_chain,seed43_sivi_x_shaped,27.441015657037497,43,x_shaped
3,4000,SIVI,0.4,0.019649945265834273,862205402,3,hmc_chain,seed43_sivi_x_shaped,27.441015657037497,43,x_shaped
4,4000,SIVI,0.4,0.023741043459022365,862205402,4,hmc_chain,seed43_sivi_x_shaped,27.441015657037497,43,x_shaped
5,4000,SIVI,0.4,0.023454899219345883,862205402,5,hmc_chain,seed43_sivi_x_shaped,27.441015657037497,43,x_shaped
6,4000,SIVI,0.4,0.0185567913594343,862205402,6,hmc_chain,seed43_sivi_x_shaped,27.441015657037497,43,x_shaped
7,4000,SIVI,0.4,0.016941293315853305,862205402,7,hmc_chain,seed43_sivi_x_shaped,27.441015657037497,43,x_shaped
8,4000,SIVI,0.4,0.018050916833849476,862205402,8,hmc_chain,seed43_sivi_x_shaped,27.441015657037497,43,x_shaped
