epoch,method,method_l2_mean,method_l2_sd,method_n_failed,method_n_valid,method_relative_l2_mean,method_relative_l2_sd,method_runtime_sec_mean,method_target_l2_mean,method_target_l2_sd,n_seeds,progress,reference_internal_l2_mean,reference_internal_l2_sd,reference_mean_mcse_l2_mean,reference_mean_mcse_l2_sd,reference_quality_n_pass,reference_quality_n_warning,reference_runtime_sec_mean,reference_target_l2_mean,reference_target_l2_sd,target
2000,AISIVI,0.4419507124662675,0.6024469357405189,0,5,0.20944968518772886,0.29995145212598606,0.16079795956611634,11.350585064149374,1.2398980057289568,5,0.2,0.06227027541903063,0.02156724866619752,0.0032773829167910854,0.0011351183508525012,5,0,560.6455697685481,11.060513940028935,0.9755917906292365,8_gaussians
4000,AISIVI,0.7525815190650679,0.37219340009571555,0,5,0.15539302311730158,0.07915325064251488,0.15979849249124528,5.897212051836594,0.6360768125942826,5,0.4,0.16590537819158307,0.040891285938520074,0.00873186201008332,0.0021521729441326353,5,0,557.9205824285746,5.841920489229837,0.3880620869437204,8_gaussians
6000,AISIVI,1.1434615815462519,0.4572967242465754,1,4,0.16371690326421978,0.05006036689420216,0.154086634516716,4.334258536971365,0.5059465512830907,5,0.6,0.2734940751568263,0.05857989872882309,0.014394425008254014,0.0030831525646749,5,0,548.0372329741716,89.1598061919905,188.9278470279991,8_gaussians
8000,AISIVI,1.8768376084802216,0.46276598678568753,2,3,0.2619041273112563,0.05387760765447251,0.12019961178302765,3.8962024967357003,0.7216688079700653,5,0.8,2.8968950176099075,5.793862170019818,0.1524681588215741,0.30494011421156936,4,1,535.9505737036467,12467.545578505044,27625.722343147903,8_gaussians
10000,AISIVI,1.0290125103904937,0.2814367620124376,3,2,0.1477107636950971,0.043540334595037436,0.08318994343280792,3.4394562244833047,0.17302504386801687,5,1.0,3.239382903465706,6.59465278463203,0.17049383702451085,0.3470869886648437,4,1,529.3414450898766,13309.892516399026,29367.81146428889,8_gaussians
2000,DSIVI,1.9056522338839361,2.470251155911562,0,5,0.3477353838864369,0.21361235487958163,0.000624072551727295,10.657685206866006,0.4830185708176431,5,0.2,0.25755445117500597,0.34336221889541074,0.013555497430263469,0.018071695731337406,5,0,552.9554931849241,12.641695741159626,2.3457316952299654,8_gaussians
4000,DSIVI,1.3847089197609848,1.2496989746354554,0,5,0.21904679496483864,0.15923213625755175,0.0007002800703048706,5.488115355090036,0.6827032185816134,5,0.4,0.2875268532619221,0.22025335311654914,0.015132992276943268,0.01159228174297627,5,0,553.8409760087728,6.825425938963512,1.5578094753961595,8_gaussians
6000,DSIVI,1.9971118804374157,1.4075320038507364,0,5,0.23917259881508848,0.13327055008677435,0.0007182151079177856,3.8106236352033798,0.6519636759548557,5,0.6,0.432087274061996,0.23909424049982406,0.022741435476947156,0.01258390739472758,5,0,552.4358464136719,5.937494814541071,1.7961671099290701,8_gaussians
8000,DSIVI,1.4056468202713464,0.6156487247274002,0,5,0.17459003327064565,0.06269284284861115,0.0006912484765052796,3.251991955502281,0.765440935140231,5,0.8,0.405533244090625,0.12880123876971064,0.02134385495213816,0.006779012566826876,5,0,532.889280590415,4.818810340438509,0.6060102110185991,8_gaussians
10000,DSIVI,1.6081951428006012,0.576782660982791,0,5,0.20392408400940193,0.06376284312605242,0.0006171703338623047,2.6848452319314227,0.509446517642823,5,1.0,0.4095209037333669,0.12192984703197911,0.021553731775440368,0.006417360370104163,5,0,522.0713454931974,4.2666812475120235,0.45990984994059136,8_gaussians
2000,SIVI,0.08215240969747999,0.054444398186722635,0,5,0.04179107079842962,0.027201045112950826,0.0032240420579910277,11.922101362279324,0.2565198807641798,5,0.2,0.04032048654787461,0.017593548373851176,0.002122130870940769,0.0009259762302026934,5,0,581.457886993885,12.102027040559904,0.22150721990495295,8_gaussians
4000,SIVI,0.1782033780424067,0.1019358633446082,0,5,0.039884907660278204,0.022602519889472202,0.0035041213035583497,6.785145547170639,0.41075641990577944,5,0.4,0.07778035408259257,0.031508213534574114,0.004093702846452241,0.0016583270281354796,5,0,573.9274293422699,6.912312245522361,0.4638067707493534,8_gaussians
6000,SIVI,0.2843852861358799,0.14222002778951706,0,5,0.048001000301753874,0.021646530724610594,0.0035338565707206727,5.141635724783026,0.6140988611435866,5,0.6,0.15215489839254293,0.05958397683355908,0.008008152546975945,0.0031359987807136358,5,0,578.6306064724922,5.20093019912593,0.5557837482396751,8_gaussians
8000,SIVI,0.42073332344292663,0.19957966506029406,0,5,0.06818970795455996,0.0306796476034076,0.0033439964056015013,4.45981258046776,0.8643359329840548,5,0.8,0.24600746706557083,0.07258047759706215,0.01294776142450373,0.003820025136687482,5,0,574.6085473850369,4.643716132491799,0.8903715307742639,8_gaussians
10000,SIVI,0.47358316723852933,0.3418853452963491,0,5,0.0741724725454052,0.04907511762500421,0.003632722795009613,4.0636191644740265,1.1050342770427173,5,1.0,0.2864655193279929,0.08361232792416015,0.015077132596210152,0.004400648838113692,5,0,571.6751438915729,4.2749409936335825,1.0622821249966126,8_gaussians
2000,UIVI,1.2128549489548206,0.1904655247736797,0,5,1.0562599600147884,0.14616041922145237,0.27540757656097414,18.605696816166713,1.4513668601058447,5,0.2,0.006009971776826799,0.002339532072100963,0.0003163143040435158,0.00012313326695268228,5,0,570.1199008971453,17.538841104993477,1.4395216783423068,8_gaussians
4000,UIVI,1.8516285208028236,0.5243950023403688,0,5,0.887101670119591,0.21183195588963497,0.25920494794845583,14.52989256722812,0.9482686049513032,5,0.4,0.0066478845167384,0.0038950412733206124,0.00034988865877570523,0.00020500217228003223,5,0,561.2209616482257,12.58011231084718,0.7764546557917936,8_gaussians
