method,target,seed,epoch,batch_size,repetition,latency_ms
SIVI,x_shaped,42,10000,1,1,0.894304
SIVI,x_shaped,42,10000,1,2,0.891092
SIVI,x_shaped,42,10000,1,3,0.859988
SIVI,x_shaped,42,10000,1,4,0.846044
SIVI,x_shaped,42,10000,1,5,0.848168
SIVI,x_shaped,42,10000,1,6,0.868105
SIVI,x_shaped,42,10000,1,7,0.8915
SIVI,x_shaped,42,10000,1,8,0.854384
SIVI,x_shaped,42,10000,1,9,0.863728
SIVI,x_shaped,42,10000,1,10,0.86935
SIVI,x_shaped,42,10000,1,11,0.854615
SIVI,x_shaped,42,10000,1,12,0.86754
SIVI,x_shaped,42,10000,1,13,0.873281
SIVI,x_shaped,42,10000,1,14,0.858272
SIVI,x_shaped,42,10000,1,15,0.870589
SIVI,x_shaped,42,10000,1,16,0.87811
SIVI,x_shaped,42,10000,1,17,0.872025
SIVI,x_shaped,42,10000,1,18,0.882208
SIVI,x_shaped,42,10000,1,19,0.868669
SIVI,x_shaped,42,10000,1,20,0.881147
SIVI,x_shaped,42,10000,1,21,0.86636
SIVI,x_shaped,42,10000,1,22,0.863621
SIVI,x_shaped,42,10000,1,23,0.868104
SIVI,x_shaped,42,10000,1,24,0.872827
SIVI,x_shaped,42,10000,1,25,0.874677
SIVI,x_shaped,42,10000,1,26,0.866815
SIVI,x_shaped,42,10000,1,27,0.878475
SIVI,x_shaped,42,10000,1,28,0.875293
SIVI,x_shaped,42,10000,1,29,0.892709
SIVI,x_shaped,42,10000,1,30,0.897571
SIVI,x_shaped,42,10000,1,31,0.896726
SIVI,x_shaped,42,10000,1,32,0.88583
SIVI,x_shaped,42,10000,1,33,0.87728
SIVI,x_shaped,42,10000,1,34,0.910156
SIVI,x_shaped,42,10000,1,35,0.885615
SIVI,x_shaped,42,10000,1,36,0.88696
SIVI,x_shaped,42,10000,1,37,0.880559
SIVI,x_shaped,42,10000,1,38,0.892221
SIVI,x_shaped,42,10000,1,39,0.894833
SIVI,x_shaped,42,10000,1,40,0.876492
SIVI,x_shaped,42,10000,1,41,0.883016
SIVI,x_shaped,42,10000,1,42,0.873674
SIVI,x_shaped,42,10000,1,43,0.889739
SIVI,x_shaped,42,10000,1,44,0.880539
SIVI,x_shaped,42,10000,1,45,0.885295
SIVI,x_shaped,42,10000,1,46,0.881997
SIVI,x_shaped,42,10000,1,47,0.896141
SIVI,x_shaped,42,10000,1,48,0.891133
SIVI,x_shaped,42,10000,1,49,0.885978
SIVI,x_shaped,42,10000,1,50,0.884374
SIVI,x_shaped,42,10000,1,51,0.874353
SIVI,x_shaped,42,10000,1,52,0.894126
SIVI,x_shaped,42,10000,1,53,0.884953
SIVI,x_shaped,42,10000,1,54,0.879024
SIVI,x_shaped,42,10000,1,55,0.88017
SIVI,x_shaped,42,10000,1,56,0.900294
SIVI,x_shaped,42,10000,1,57,0.879023
SIVI,x_shaped,42,10000,1,58,0.880424
SIVI,x_shaped,42,10000,1,59,0.888372
SIVI,x_shaped,42,10000,1,60,0.875765
SIVI,x_shaped,42,10000,1,61,0.901354
SIVI,x_shaped,42,10000,1,62,0.896582
SIVI,x_shaped,42,10000,1,63,0.997447
SIVI,x_shaped,42,10000,1,64,0.994797
SIVI,x_shaped,42,10000,1,65,1.006271
SIVI,x_shaped,42,10000,1,66,0.98868
SIVI,x_shaped,42,10000,1,67,0.990469
SIVI,x_shaped,42,10000,1,68,0.988748
SIVI,x_shaped,42,10000,1,69,1.00505
SIVI,x_shaped,42,10000,1,70,0.988647
SIVI,x_shaped,42,10000,1,71,0.995937
SIVI,x_shaped,42,10000,1,72,0.992536
SIVI,x_shaped,42,10000,1,73,1.005615
SIVI,x_shaped,42,10000,1,74,0.993934
SIVI,x_shaped,42,10000,1,75,1.031809
SIVI,x_shaped,42,10000,1,76,1.036986
SIVI,x_shaped,42,10000,1,77,1.038043
SIVI,x_shaped,42,10000,1,78,1.031901
SIVI,x_shaped,42,10000,1,79,1.031109
SIVI,x_shaped,42,10000,1,80,1.038606
SIVI,x_shaped,42,10000,1,81,1.045443
SIVI,x_shaped,42,10000,1,82,1.039298
SIVI,x_shaped,42,10000,1,83,1.033242
SIVI,x_shaped,42,10000,1,84,1.039727
SIVI,x_shaped,42,10000,1,85,1.037386
SIVI,x_shaped,42,10000,1,86,1.041836
SIVI,x_shaped,42,10000,1,87,1.077202
SIVI,x_shaped,42,10000,1,88,1.090059
SIVI,x_shaped,42,10000,1,89,1.07784
SIVI,x_shaped,42,10000,1,90,1.102309
SIVI,x_shaped,42,10000,1,91,1.119949
SIVI,x_shaped,42,10000,1,92,1.124548
SIVI,x_shaped,42,10000,1,93,1.109926
SIVI,x_shaped,42,10000,1,94,1.107397
SIVI,x_shaped,42,10000,1,95,1.120955
SIVI,x_shaped,42,10000,1,96,1.112732
SIVI,x_shaped,42,10000,1,97,1.118361
SIVI,x_shaped,42,10000,1,98,1.103612
