epoch,gpu_headroom_gib_mean,gpu_headroom_gib_sd,local_target_l2_mean,local_target_l2_sd,method,method_l2_mean,method_l2_sd,method_n_valid,method_relative_l2_mean,method_relative_l2_sd,method_runtime_sec_mean,method_runtime_sec_sd,method_target_l2_mean,method_target_l2_sd,n_seeds,peak_gpu_reserved_bytes_mean,peak_gpu_reserved_bytes_sd,physical_scale_max_mean,physical_scale_max_sd,physical_scale_median_mean,physical_scale_median_sd,physical_scale_min_mean,physical_scale_min_sd,progress,quadrature_boundary_mass_p95_mean,quadrature_boundary_mass_p95_sd,quadrature_epsilon_dim,quadrature_ess_mean_mean,quadrature_ess_mean_sd,quadrature_max_weight_p95_mean,quadrature_max_weight_p95_sd,quadrature_nodes_per_second_mean,quadrature_nodes_per_second_sd,quadrature_runtime_sec_mean,quadrature_runtime_sec_sd,scaling_runtime_sec_mean,scaling_runtime_sec_sd,target,total_runtime_sec_mean,total_runtime_sec_sd
2000,23.31854248046875,,62.21270109569516,,AISIVI,79.50547327247551,,1,1.7267064105870278,,0.08292664773762226,,48.52265500467776,,1,257949696.0,,0.9912868691772124,,0.157160275693489,,0.002668223963439431,,0.2,0.18405778732267747,,2,17.006793961725556,,0.2751823938560887,,1388715.7814563513,,0.1246158517897129,,0.02174866944551468,,8_gaussians,0.22929116897284985,
4000,23.31854248046875,,176.13481595407814,,AISIVI,225.6292394152855,,1,1.3559827929480492,,0.06756067089736462,,78.35586190542166,,1,257949696.0,,0.9992179062650947,,0.12704494142734424,,0.0029205994688281905,,0.4,0.18254801473166862,,2,14.303507624238371,,0.3780660462417023,,1384995.9401679554,,0.12495054677128792,,0.02014157362282276,,8_gaussians,0.2126527912914753,
6000,23.31854248046875,,193.50102382693413,,AISIVI,315.9993575256159,,1,1.7038781089177206,,0.06693767011165619,,108.91527174960464,,1,257949696.0,,0.9999280573506274,,0.11765528270663139,,0.002227865747608254,,0.6,0.18961360046260073,,2,13.763583210680313,,0.42270102461302916,,1376800.1162015588,,0.12569435313344002,,0.020863989368081093,,8_gaussians,0.2134960126131773,
8000,23.31854248046875,,231.98394750307622,,AISIVI,427.50610220766237,,1,1.8867719421757037,,0.06747051142156124,,195.37116964326034,,1,257949696.0,,0.9975208404008699,,0.13505840129189267,,0.0015996668560054961,,0.8,0.20515061870964452,,2,13.538741484600862,,0.442333952748591,,1372650.3096168991,,0.12607435323297977,,0.014315454289317131,,8_gaussians,0.20786031894385815,
10000,23.31854248046875,,253.15889981211848,,AISIVI,575.5836893279466,,1,2.271648214460845,,0.11964528448879719,,357.2930665583267,,1,257949696.0,,0.996141978671859,,0.11361003192652203,,0.0012781395373309178,,1.0,0.2102883182975582,,2,13.728048020366353,,0.4350178705818871,,879351.4035436026,,0.1967995949089527,,0.13019079342484474,,8_gaussians,0.44663567282259464,
2000,23.47088623046875,,401.4932125648772,,DSIVI,388.0549344896143,,1,0.999491724040037,,0.00023843534290790558,,16.65105445654721,,1,94371840.0,,0.967410314622553,,0.047761906594669834,,0.002245411250847519,,0.2,0.15915315262735388,,2,14.90274570330616,,0.27652089655248857,,1390545.5345304213,,0.12445187568664551,,0.010641839355230331,,8_gaussians,0.13533215038478374,
4000,23.47088623046875,,783.7468761916358,,DSIVI,779.6274103064069,,1,0.9904661848442048,,0.00023749656975269318,,9.844635077381614,,1,94371840.0,,0.9757949272354955,,0.027630418176051705,,0.0016372935365505663,,0.4,0.18676078108576127,,2,13.359945572517812,,0.3715699064606767,,1393935.416731417,,0.12414922378957272,,0.010215545073151588,,8_gaussians,0.134602265432477,
6000,23.47088623046875,,827.5072375301212,,DSIVI,821.195041637668,,1,0.9799756097689256,,0.0002514980733394623,,7.547789703585499,,1,94371840.0,,0.9881902642230938,,0.015952486330067888,,0.0015250132192949264,,0.6,0.15950550531166766,,2,13.967438395332113,,0.3710020966624452,,1376018.243651176,,0.12576577439904213,,0.010326618328690529,,8_gaussians,0.13634389080107212,
8000,23.47088623046875,,971.9475675510877,,DSIVI,962.8399888559102,,1,0.9878356567956275,,0.00024065561592578888,,6.0764214495427495,,1,94371840.0,,0.943918042494776,,0.012485256654176545,,0.0013459719277928571,,0.8,0.15261309360221245,,2,13.897633965239873,,0.37060038915357824,,1392666.8240737715,,0.12426231242716312,,0.010167993605136871,,8_gaussians,0.13467096164822578,
10000,23.47088623046875,,829.1032641381361,,DSIVI,823.2743990968092,,1,0.9853320273782116,,0.0002377200871706009,,4.976258439225558,,1,94371840.0,,0.968270502294151,,0.011200848347414546,,0.0011611276424116424,,1.0,0.14967515282677635,,2,14.402534553733183,,0.36701762442497576,,1400055.324067757,,0.12360654398798943,,0.010174194350838661,,8_gaussians,0.1340184584259987,
