accumulator_dtype,analysis_fingerprint,analysis_kind,cell_key,checkpoint_dir,completed_at,device,diagnostic_aisivi_z_chunk_size,diagnostic_fisher_eigenvalue_max,diagnostic_fisher_eigenvalue_median,diagnostic_fisher_eigenvalue_min,diagnostic_hmc_acceptance_rate,diagnostic_importance_clipped_fraction,diagnostic_importance_ess_mean,diagnostic_importance_ess_min,diagnostic_local_log_q_max,diagnostic_local_log_q_mean,diagnostic_local_log_q_min,diagnostic_local_raw_gradient_sq_norm,diagnostic_local_score_sq_norm,diagnostic_log_abs_det_scale_mean,diagnostic_native_auxiliary_samples,diagnostic_physical_scale_max,diagnostic_physical_scale_median,diagnostic_physical_scale_min,diagnostic_quadrature_boundary_mass_max,diagnostic_quadrature_boundary_mass_mean,diagnostic_quadrature_boundary_mass_p95,diagnostic_quadrature_conditional_evaluations,diagnostic_quadrature_ess_mean,diagnostic_quadrature_ess_min,diagnostic_quadrature_ess_p05,diagnostic_quadrature_max_weight_max,diagnostic_quadrature_max_weight_mean,diagnostic_quadrature_max_weight_p95,diagnostic_quadrature_nodes_per_second,diagnostic_quadrature_nodes_per_z,epoch,forward_batch_size,forward_seed,gpu_headroom_gib,gpu_name,local_score_sq_norm,local_target_l2,method,method_error,method_l2,method_l2_z_sd,method_relative_l2,method_runtime_sec,method_score_sq_norm,method_seed,method_status,method_target_l2,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,progress,quadrature_boundary_inner_half_width,quadrature_epsilon_dim,quadrature_estimator,quadrature_nodes_per_z,quadrature_order,quadrature_runtime_sec,quadrature_standardized_half_width,run_id,scaling_runtime_sec,seed,target,target_score_sq_norm,total_gpu_memory_bytes,total_runtime_sec
torch.float64,1974d2f536ed51a0b74ae17412dd14f4bcf1be4dfcdb9842c799c7e7146bfb7f,local_box_score,seed45_sivi_x_shaped|SIVI|x_shaped|45|2000,results/default_config_grid/SIVI/x_shaped/20260428_115832/checkpoints/epoch_2000,2026-07-27T15:51:53.890931+00:00,cuda,,123.61364257067201,10.451366137715487,1.0184170950296878,,,,,-2.8810126247157744,-4.173477389440451,-9.895973247215334,0.000381172842819792,2.064847788842511,-2.322387843795026,4097,0.9909167273011953,0.30931853680165217,0.08994288170403411,0.33591171469680825,0.05144955260152138,0.1396794027235181,173056,14.055683693496992,5.658260772638139,8.591405347977712,0.31455766962205606,0.14094662391190355,0.20535491360013225,1086012.568660864,169,2000,1024,2134509602,23.42401123046875,NVIDIA GeForce RTX 3090,2.064847788842511,3.4204602597852842,SIVI,,0.15550036985308918,0.4183717096396435,0.07530839352582876,0.13528571650385857,1.8033116612124718,560558119,ok,3.4573133507110656,86241280,144703488,0.2,3.5,2,local_fisher_gauss_legendre,169,13,0.15934990532696247,4.0,seed45_sivi_x_shaped,0.1261688731610775,45,x_shaped,9.713243637708644,25296044032,0.42080449499189854
torch.float64,1974d2f536ed51a0b74ae17412dd14f4bcf1be4dfcdb9842c799c7e7146bfb7f,local_box_score,seed45_sivi_x_shaped|SIVI|x_shaped|45|4000,results/default_config_grid/SIVI/x_shaped/20260428_115832/checkpoints/epoch_4000,2026-07-27T15:51:54.049355+00:00,cuda,,128.55171065967212,7.485133282226053,1.010339049175851,,,,,-2.0289251652771085,-3.557322432244571,-9.868173296276911,0.0035180643047935225,3.904204505156458,-2.1617523080856977,4097,0.994870219108734,0.36419646475967526,0.08819847375483926,0.4117272147766634,0.05310718012655983,0.13383083275273097,173056,13.163637275212164,5.740930839829309,8.284222226855062,0.28217980433123796,0.1489747137589171,0.21476377286472695,1320780.2184068325,169,4000,1024,675310175,23.42401123046875,NVIDIA GeForce RTX 3090,3.904204505156458,0.42182786492574675,SIVI,,0.26786712187532846,0.5750879264842226,0.06860991055195606,0.00114409439265728,3.352383436942729,1207667630,ok,0.23693399721758762,86241280,144703488,0.4,3.5,2,local_fisher_gauss_legendre,169,13,0.13102558441460133,4.0,seed45_sivi_x_shaped,0.020329535007476807,45,x_shaped,4.998030077545611,25296044032,0.1524992138147354
torch.float64,1974d2f536ed51a0b74ae17412dd14f4bcf1be4dfcdb9842c799c7e7146bfb7f,local_box_score,seed45_sivi_x_shaped|SIVI|x_shaped|45|6000,results/default_config_grid/SIVI/x_shaped/20260428_115832/checkpoints/epoch_6000,2026-07-27T15:51:54.209398+00:00,cuda,,114.37357154707978,6.080227119693318,1.005817079253225,,,,,-1.7036663437802333,-3.3272565515621246,-11.98858159579783,0.007691297588397756,4.815992108028774,-2.081676446313835,4097,0.9971040885762681,0.4031807901665165,0.09350550034898147,0.3743133654592995,0.05267215627523801,0.12147437555161177,173056,13.261266465690912,5.233959062192351,7.901262171253692,0.3166075909733624,0.1502360840048001,0.2257599945221559,1297123.9119974792,169,6000,1024,1523803715,23.42401123046875,NVIDIA GeForce RTX 3090,4.815992108028774,0.29256098855041857,SIVI,,0.2745138822630469,0.5517720041281585,0.05700048424194942,0.0011239070445299149,4.136891521880965,2115162537,ok,0.04523566695572156,86241280,144703488,0.6,3.5,2,local_fisher_gauss_legendre,169,13,0.13341516442596912,4.0,seed45_sivi_x_shaped,0.020180504769086838,45,x_shaped,4.01285078796668,25296044032,0.15471957623958588
torch.float64,1974d2f536ed51a0b74ae17412dd14f4bcf1be4dfcdb9842c799c7e7146bfb7f,local_box_score,seed45_sivi_x_shaped|SIVI|x_shaped|45|8000,results/default_config_grid/SIVI/x_shaped/20260428_115832/checkpoints/epoch_8000,2026-07-27T15:51:54.367582+00:00,cuda,,116.49477032291105,5.483442371614328,1.0019632643658702,,,,,-1.638526530412238,-3.3587017496101597,-11.433683369837926,0.007776668476161926,4.576918970246322,-2.025153709542992,4097,0.9990198108589777,0.4250414413010804,0.09265029047837797,0.2920697989514207,0.05271263034905918,0.12326079499269325,173056,13.136870865791916,5.555108955413253,8.015016763652248,0.33191187442019526,0.1520275295104967,0.22252892445184325,1323888.4581765875,169,8000,1024,2082476374,23.42401123046875,NVIDIA GeForce RTX 3090,4.576918970246322,0.2788583450634413,SIVI,,0.2757149846143611,0.5500637224991861,0.06024030279031192,0.0011590253561735153,3.886836620092634,1306353032,ok,0.050095221107776616,86241280,144703488,0.8,3.5,2,local_fisher_gauss_legendre,169,13,0.13071796111762524,4.0,seed45_sivi_x_shaped,0.02083912119269371,45,x_shaped,4.115959484258001,25296044032,0.15271610766649246
torch.float64,1974d2f536ed51a0b74ae17412dd14f4bcf1be4dfcdb9842c799c7e7146bfb7f,local_box_score,seed45_sivi_x_shaped|SIVI|x_shaped|45|10000,results/default_config_grid/SIVI/x_shaped/20260428_115832/checkpoints/epoch_10000,2026-07-27T15:51:54.525291+00:00,cuda,,110.42811062169395,5.568243641449853,1.0043551456194397,,,,,-1.7419644922398139,-3.311052233193833,-10.971207627980677,0.00783565326428799,4.630604479891778,-2.0494677326899855,4097,0.997829514209116,0.4184241703201138,0.09516125899733664,0.3298524046074158,0.05206770142165878,0.1291287359443995,173056,12.980571580820834,3.9499813751777055,7.9355299481018635,0.3878135933708446,0.15157097912352824,0.22543603757453048,1323099.5041516498,169,10000,1024,1650895423,23.42401123046875,NVIDIA GeForce RTX 3090,4.630604479891778,0.2885630164422427,SIVI,,0.2754057744079227,0.5585207787636834,0.059475123734679065,0.001118246465921402,3.9131913009395904,521477153,ok,0.04561041219591416,86241280,144703488,1.0,3.5,2,local_fisher_gauss_legendre,169,13,0.1307959072291851,4.0,seed45_sivi_x_shaped,0.020589469000697136,45,x_shaped,3.896549169669166,25296044032,0.15250362269580364
torch.float64,1974d2f536ed51a0b74ae17412dd14f4bcf1be4dfcdb9842c799c7e7146bfb7f,local_box_score,seed45_uivi_x_shaped|UIVI|x_shaped|45|2000,results/default_config_grid/UIVI/x_shaped/20260428_123939/checkpoints/epoch_2000,2026-07-27T15:51:54.929892+00:00,cuda,,85.96305051861536,9.843693823732075,1.0326099445675228,0.9306640625,,,,-2.874859907764142,-4.175112660542965,-10.256501943541595,0.0003718719036562382,1.8257702261365945,-2.140203120474533,5,0.9840832695209563,0.31848773100969274,0.10785594558369002,0.27297338210345695,0.04392536961650045,0.13020269871725146,173056,14.894376522482478,6.428578448622249,9.621181637317038,0.3030826687361076,0.13528699820577195,0.19299266482414884,1066444.2336647348,169,2000,1024,1145916355,23.45135498046875,NVIDIA GeForce RTX 3090,1.8257702261365945,4.568621204358159,UIVI,,1.2369124694703442,1.763937408022177,0.6774743348113975,0.1777404546737671,2.897501487808178,1658169763,ok,5.702983097903481,86241280,115343360,0.2,3.5,2,local_fisher_gauss_legendre,169,13,0.1622738391160965,4.0,seed45_uivi_x_shaped,0.029327860102057457,45,x_shaped,11.288387118002738,25296044032,0.36934215389192104
torch.float64,1974d2f536ed51a0b74ae17412dd14f4bcf1be4dfcdb9842c799c7e7146bfb7f,local_box_score,seed45_uivi_x_shaped|UIVI|x_shaped|45|4000,results/default_config_grid/UIVI/x_shaped/20260428_123939/checkpoints/epoch_4000,2026-07-27T15:51:55.325680+00:00,cuda,,53.895147867542846,7.692899467376188,1.0146406125947989,0.922070324420929,,,,-2.0116465631123184,-3.428564158845801,-10.354598737020195,0.003823420380374333,3.492647981262812,-2.078974466731318,5,0.9927591057477195,0.3581686029537223,0.1362150725680151,0.3312477221920262,0.04774021556453599,0.14080264187158398,173056,15.308990677605795,6.216844330323557,9.494423359129636,0.3018141638262958,0.1325136332845558,0.19017282239129338,1025419.9629604559,169,4000,1024,703484050,23.45135498046875,NVIDIA GeForce RTX 3090,3.492647981262812,0.47378186036598013,UIVI,,2.3111342504132195,3.3724068620276855,0.6617140527221409,0.18843504041433334,5.322693136999442,797894069,ok,2.5508898098800747,86241280,115343360,0.4,3.5,2,local_fisher_gauss_legendre,169,13,0.1687659751623869,4.0,seed45_uivi_x_shaped,0.03222275339066982,45,x_shaped,5.268750061631015,25296044032,0.38942376896739006
torch.float64,1974d2f536ed51a0b74ae17412dd14f4bcf1be4dfcdb9842c799c7e7146bfb7f,local_box_score,seed45_uivi_x_shaped|UIVI|x_shaped|45|6000,results/default_config_grid/UIVI/x_shaped/20260428_123939/checkpoints/epoch_6000,2026-07-27T15:51:55.736417+00:00,cuda,,56.11514153763576,6.954562574954977,1.00816285223362,0.9276367425918579,,,,-1.744607426343622,-3.2848796684639003,-9.078983938923548,0.007236634448861429,4.056445725011068,-2.036769258842742,5,0.9959433921756877,0.3785517248205869,0.1334934535568443,0.32530671555669444,0.0494578438165018,0.14722349782627842,173056,15.753033939698433,5.494605538416789,9.103657201141427,0.33858011260397874,0.13049871578702243,0.19257234338433407,1014847.4341275947,169,6000,1024,917666006,23.45135498046875,NVIDIA GeForce RTX 3090,4.056445725011068,0.2573475713322143,UIVI,,2.5432991116250037,3.910510550495526,0.6269772318026181,0.20191905088722706,6.234604072876918,1142020769,ok,2.5312253566233363,86241280,115343360,0.6,3.5,2,local_fisher_gauss_legendre,169,13,0.17052415385842323,4.0,seed45_uivi_x_shaped,0.031912101432681084,45,x_shaped,4.569269890928803,25296044032,0.4043553061783314
torch.float64,1974d2f536ed51a0b74ae17412dd14f4bcf1be4dfcdb9842c799c7e7146bfb7f,local_box_score,seed45_uivi_x_shaped|UIVI|x_shaped|45|8000,results/default_config_grid/UIVI/x_shaped/20260428_123939/checkpoints/epoch_8000,2026-07-27T15:51:56.156361+00:00,cuda,,50.1428879136097,6.709216207605916,1.0118928273183327,0.9263672232627869,,,,-1.6891596786824303,-3.202796665740622,-10.032252220895844,0.008361362965640625,4.095865574120008,-1.9939726959034239,5,0.9941061058456444,0.3860206637299479,0.14121971429216,0.39402424562904304,0.051275156311321665,0.1587422817743605,173056,15.608005513508429,5.922437455584113,8.4878870373631,0.310120879535867,0.13154246773722145,0.1983914677809854,995728.9445341618,169,8000,1024,1263585002,23.45135498046875,NVIDIA GeForce RTX 3090,4.095865574120008,0.23623578910387716,UIVI,,2.5250751121718795,3.730223186835642,0.6164936486506613,0.20762468688189983,6.297371342346907,1466861623,ok,2.5013334688388875,86241280,115343360,0.8,3.5,2,local_fisher_gauss_legendre,169,13,0.17379830218851566,4.0,seed45_uivi_x_shaped,0.03208103962242603,45,x_shaped,4.264004022011478,25296044032,0.41350402869284153
torch.float64,1974d2f536ed51a0b74ae17412dd14f4bcf1be4dfcdb9842c799c7e7146bfb7f,local_box_score,seed45_uivi_x_shaped|UIVI|x_shaped|45|10000,results/default_config_grid/UIVI/x_shaped/20260428_123939/checkpoints/epoch_10000,2026-07-27T15:51:56.557579+00:00,cuda,,58.79167441257858,6.5016388388696935,1.020835281739809,0.932812511920929,,,,-1.7091208177495596,-3.2080718274468314,-8.800169152952378,0.007855628310317813,3.991592634962344,-2.00097629829693,5,0.989742374078772,0.391674363251385,0.13041936621103645,0.5685674625525741,0.05296653873358301,0.1723183888324716,173056,15.606045818668495,5.342746510256095,9.234471159474625,0.3178797854422911,0.13118740058167308,0.19373809179140192,1020893.8265174344,169,10000,1024,1685514002,23.45135498046875,NVIDIA GeForce RTX 3090,3.991592634962344,0.2632966911223889,UIVI,,2.657568433496051,3.9446897593837176,0.6657914964113371,0.19249183498322964,5.985466196190009,937367550,ok,2.573554052017554,86241280,115343360,1.0,3.5,2,local_fisher_gauss_legendre,169,13,0.16951419971883297,4.0,seed45_uivi_x_shaped,0.03272305987775326,45,x_shaped,4.069190993711608,25296044032,0.39472909457981586
