run_id,phase,seed,target,variant,variant_label,backbone,runner_type,annealing_mode,queue_name,config_path,epochs,batch_size,reverse_batch_size,estimated_cost
official_seed43_on_banana_cg,official,43,banana,cg,ConditionalGaussian,ConditionalGaussian,DSIVI,on,gpu0,configs/generated/dsivi_backbone_seed_repeats_20260419/official_seed43_on_banana_cg.yaml,10000,128,2048,10000.0
official_seed43_on_banana_cg_global,official,43,banana,cg_global,ConditionalGaussianGlobal,ConditionalGaussianGlobal,DSIVI,on,gpu0,configs/generated/dsivi_backbone_seed_repeats_20260419/official_seed43_on_banana_cg_global.yaml,10000,128,2048,9500.0
official_seed43_off_banana_cg,official,43,banana,cg,ConditionalGaussian,ConditionalGaussian,DSIVI,off,gpu0,configs/generated/dsivi_backbone_seed_repeats_20260419/official_seed43_off_banana_cg.yaml,10000,128,2048,10000.0
official_seed43_off_banana_cg_global,official,43,banana,cg_global,ConditionalGaussianGlobal,ConditionalGaussianGlobal,DSIVI,off,gpu0,configs/generated/dsivi_backbone_seed_repeats_20260419/official_seed43_off_banana_cg_global.yaml,10000,128,2048,9500.0
official_seed43_on_multimodal_cg,official,43,multimodal,cg,ConditionalGaussian,ConditionalGaussian,DSIVI,on,gpu0,configs/generated/dsivi_backbone_seed_repeats_20260419/official_seed43_on_multimodal_cg.yaml,10000,128,2048,10000.0
official_seed43_on_multimodal_cg_global,official,43,multimodal,cg_global,ConditionalGaussianGlobal,ConditionalGaussianGlobal,DSIVI,on,gpu0,configs/generated/dsivi_backbone_seed_repeats_20260419/official_seed43_on_multimodal_cg_global.yaml,10000,128,2048,9500.0
official_seed43_off_multimodal_cg,official,43,multimodal,cg,ConditionalGaussian,ConditionalGaussian,DSIVI,off,gpu0,configs/generated/dsivi_backbone_seed_repeats_20260419/official_seed43_off_multimodal_cg.yaml,10000,128,2048,10000.0
official_seed43_off_multimodal_cg_global,official,43,multimodal,cg_global,ConditionalGaussianGlobal,ConditionalGaussianGlobal,DSIVI,off,gpu0,configs/generated/dsivi_backbone_seed_repeats_20260419/official_seed43_off_multimodal_cg_global.yaml,10000,128,2048,9500.0
official_seed43_on_x_shaped_cg,official,43,x_shaped,cg,ConditionalGaussian,ConditionalGaussian,DSIVI,on,gpu0,configs/generated/dsivi_backbone_seed_repeats_20260419/official_seed43_on_x_shaped_cg.yaml,10000,128,2048,10000.0
official_seed43_on_x_shaped_cg_global,official,43,x_shaped,cg_global,ConditionalGaussianGlobal,ConditionalGaussianGlobal,DSIVI,on,gpu0,configs/generated/dsivi_backbone_seed_repeats_20260419/official_seed43_on_x_shaped_cg_global.yaml,10000,128,2048,9500.0
official_seed43_off_x_shaped_cg,official,43,x_shaped,cg,ConditionalGaussian,ConditionalGaussian,DSIVI,off,gpu0,configs/generated/dsivi_backbone_seed_repeats_20260419/official_seed43_off_x_shaped_cg.yaml,10000,128,2048,10000.0
official_seed43_off_x_shaped_cg_global,official,43,x_shaped,cg_global,ConditionalGaussianGlobal,ConditionalGaussianGlobal,DSIVI,off,gpu0,configs/generated/dsivi_backbone_seed_repeats_20260419/official_seed43_off_x_shaped_cg_global.yaml,10000,128,2048,9500.0
official_seed43_on_student_uc_cg,official,43,student_uc,cg,ConditionalGaussian,ConditionalGaussian,DSIVI,on,gpu0,configs/generated/dsivi_backbone_seed_repeats_20260419/official_seed43_on_student_uc_cg.yaml,10000,1024,2048,11000.0
official_seed43_on_student_uc_cg_global,official,43,student_uc,cg_global,ConditionalGaussianGlobal,ConditionalGaussianGlobal,DSIVI,on,gpu0,configs/generated/dsivi_backbone_seed_repeats_20260419/official_seed43_on_student_uc_cg_global.yaml,10000,1024,2048,10450.0
official_seed43_off_student_uc_cg,official,43,student_uc,cg,ConditionalGaussian,ConditionalGaussian,DSIVI,off,gpu0,configs/generated/dsivi_backbone_seed_repeats_20260419/official_seed43_off_student_uc_cg.yaml,10000,1024,2048,11000.0
official_seed43_off_student_uc_cg_global,official,43,student_uc,cg_global,ConditionalGaussianGlobal,ConditionalGaussianGlobal,DSIVI,off,gpu0,configs/generated/dsivi_backbone_seed_repeats_20260419/official_seed43_off_student_uc_cg_global.yaml,10000,1024,2048,10450.0
