run_id,phase,target,variant,variant_label,backbone,runner_type,annealing_mode,queue_name,config_path,epochs,batch_size,reverse_batch_size,estimated_cost
official_on_banana_cg,official,banana,cg,ConditionalGaussian,ConditionalGaussian,DSIVI,on,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_on_banana_cg.yaml,10000,128,2048,10000.0
official_on_banana_cg_uniform,official,banana,cg_uniform,ConditionalGaussianUniform,ConditionalGaussianUniform,DSIVI,on,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_on_banana_cg_uniform.yaml,10000,128,2048,10500.0
official_on_banana_cg_global,official,banana,cg_global,ConditionalGaussianGlobal,ConditionalGaussianGlobal,DSIVI,on,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_on_banana_cg_global.yaml,10000,128,2048,9500.0
official_on_banana_cg_global_uniform,official,banana,cg_global_uniform,ConditionalGaussianGlobalUniform,ConditionalGaussianGlobalUniform,DSIVI,on,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_on_banana_cg_global_uniform.yaml,10000,128,2048,9975.0
official_off_banana_cg,official,banana,cg,ConditionalGaussian,ConditionalGaussian,DSIVI,off,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_off_banana_cg.yaml,10000,128,2048,10000.0
official_off_banana_cg_uniform,official,banana,cg_uniform,ConditionalGaussianUniform,ConditionalGaussianUniform,DSIVI,off,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_off_banana_cg_uniform.yaml,10000,128,2048,10500.0
official_off_banana_cg_global,official,banana,cg_global,ConditionalGaussianGlobal,ConditionalGaussianGlobal,DSIVI,off,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_off_banana_cg_global.yaml,10000,128,2048,9500.0
official_off_banana_cg_global_uniform,official,banana,cg_global_uniform,ConditionalGaussianGlobalUniform,ConditionalGaussianGlobalUniform,DSIVI,off,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_off_banana_cg_global_uniform.yaml,10000,128,2048,9975.0
official_on_multimodal_cg,official,multimodal,cg,ConditionalGaussian,ConditionalGaussian,DSIVI,on,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_on_multimodal_cg.yaml,10000,128,2048,10000.0
official_on_multimodal_cg_uniform,official,multimodal,cg_uniform,ConditionalGaussianUniform,ConditionalGaussianUniform,DSIVI,on,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_on_multimodal_cg_uniform.yaml,10000,128,2048,10500.0
official_on_multimodal_cg_global,official,multimodal,cg_global,ConditionalGaussianGlobal,ConditionalGaussianGlobal,DSIVI,on,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_on_multimodal_cg_global.yaml,10000,128,2048,9500.0
official_on_multimodal_cg_global_uniform,official,multimodal,cg_global_uniform,ConditionalGaussianGlobalUniform,ConditionalGaussianGlobalUniform,DSIVI,on,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_on_multimodal_cg_global_uniform.yaml,10000,128,2048,9975.0
official_off_multimodal_cg,official,multimodal,cg,ConditionalGaussian,ConditionalGaussian,DSIVI,off,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_off_multimodal_cg.yaml,10000,128,2048,10000.0
official_off_multimodal_cg_uniform,official,multimodal,cg_uniform,ConditionalGaussianUniform,ConditionalGaussianUniform,DSIVI,off,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_off_multimodal_cg_uniform.yaml,10000,128,2048,10500.0
official_off_multimodal_cg_global,official,multimodal,cg_global,ConditionalGaussianGlobal,ConditionalGaussianGlobal,DSIVI,off,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_off_multimodal_cg_global.yaml,10000,128,2048,9500.0
official_off_multimodal_cg_global_uniform,official,multimodal,cg_global_uniform,ConditionalGaussianGlobalUniform,ConditionalGaussianGlobalUniform,DSIVI,off,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_off_multimodal_cg_global_uniform.yaml,10000,128,2048,9975.0
official_on_x_shaped_cg,official,x_shaped,cg,ConditionalGaussian,ConditionalGaussian,DSIVI,on,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_on_x_shaped_cg.yaml,10000,128,2048,10000.0
official_on_x_shaped_cg_uniform,official,x_shaped,cg_uniform,ConditionalGaussianUniform,ConditionalGaussianUniform,DSIVI,on,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_on_x_shaped_cg_uniform.yaml,10000,128,2048,10500.0
official_on_x_shaped_cg_global,official,x_shaped,cg_global,ConditionalGaussianGlobal,ConditionalGaussianGlobal,DSIVI,on,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_on_x_shaped_cg_global.yaml,10000,128,2048,9500.0
