checkpoint_dir,checkpoint_epoch,duration_sec,elbo,elbo_runtime_sec,errors,method,run_id,seed,summary_iterations,target,training_time_sec,variant,w2,w2_runtime_sec,wall_clock_sec,warnings
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_003202/checkpoints/epoch_10000,10000,312.2971368711442,-0.004943033680319786,2.405779616907239,{},DSIVI,seed42_dsivi_x_shaped_baseline,42,10000.0,x_shaped,306.029052734375,baseline,0.041390545666217804,0.06925324536859989,312.2971368711442,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_003715/checkpoints/epoch_10000,10000,150.8286394458264,-0.07000298798084259,2.3405973128974438,{},DSIVI,seed42_dsivi_x_shaped_reverse_steps_1,42,10000.0,x_shaped,143.72203063964844,reverse_steps_1,0.156365305185318,0.03741922602057457,150.8286394458264,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_003946/checkpoints/epoch_10000,10000,206.97793509811163,-0.1139536201953888,2.345913266763091,{},DSIVI,seed42_dsivi_x_shaped_reverse_steps_2,42,10000.0,x_shaped,199.65380859375,reverse_steps_2,0.2719941735267639,0.036662960425019264,206.97793509811163,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_004313/checkpoints/epoch_10000,10000,491.3762308675796,-0.011051694862544537,2.347192719578743,{},DSIVI,seed42_dsivi_x_shaped_reverse_steps_10,42,10000.0,x_shaped,484.8522033691406,reverse_steps_10,0.06970381736755371,0.03664343059062958,491.3762308675796,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_005124/checkpoints/epoch_10000,10000,315.1523270867765,-0.04983143135905266,2.335152516141534,{},DSIVI,seed42_dsivi_x_shaped_reverse_batch_512,42,10000.0,x_shaped,307.6180114746094,reverse_batch_512,0.17845577001571655,0.036582889035344124,315.1523270867765,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_005639/checkpoints/epoch_10000,10000,301.1296987757087,-0.014727695845067501,2.330935873091221,{},DSIVI,seed42_dsivi_x_shaped_reverse_batch_1024,42,10000.0,x_shaped,295.10101318359375,reverse_batch_1024,0.07850107550621033,0.03771495074033737,301.1296987757087,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_010140/checkpoints/epoch_10000,10000,309.19333757832646,-0.00399547815322876,2.3275422528386116,{},DSIVI,seed42_dsivi_x_shaped_reverse_batch_4096,42,10000.0,x_shaped,300.8458251953125,reverse_batch_4096,0.03525573015213013,0.03738313727080822,309.19333757832646,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_010650/checkpoints/epoch_10000,10000,315.19426037557423,-0.0047116754576563835,2.3377699106931686,{},DSIVI,seed42_dsivi_x_shaped_reverse_batch_8192,42,10000.0,x_shaped,307.0528869628906,reverse_batch_8192,0.04749529808759689,0.0380893237888813,315.19426037557423,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_011205/checkpoints/epoch_10000,10000,313.246141243726,-0.00828798208385706,2.343693070113659,{},DSIVI,seed43_dsivi_x_shaped_baseline,43,10000.0,x_shaped,307.1452331542969,baseline,0.08835772424936295,0.03673494793474674,313.246141243726,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_011718/checkpoints/epoch_10000,10000,160.9737822432071,-0.01955905184149742,2.345652198418975,{},DSIVI,seed43_dsivi_x_shaped_reverse_steps_1,43,10000.0,x_shaped,152.77735900878906,reverse_steps_1,0.09746619313955307,0.03807987459003925,160.9737822432071,{}
