run_id,status,finalize_status,finalize_attempts,finalize_failure_reason,method,method_slug,target,target_slug,seed,variant,variant_overrides,extra_overrides,config_path,config_hash,config_hash_version,config_staleness,previous_config_hash,artifact_config_hash,expected_epochs,batch_size,runtime_gpu,result_path,tb_path,failure_reason,command_template
seed42_dsivi_x_shaped_baseline,completed,finalize_completed,1,,DSIVI,dsivi,x_shaped,x_shaped,42,baseline,,,configs/dsivi_x_shaped.yaml,d92c69f4bb2f3c4248525afa7e2496e344dcd3a626f13778e541a2c60673bb50,default-grid-effective-v1,fresh,d92c69f4bb2f3c4248525afa7e2496e344dcd3a626f13778e541a2c60673bb50,bbeaf6bbafddc6b39bd067f33a0a5c161408cb70011d1f34b69aa968ab5ddc66,10000,128,0,results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_003202,/root/ruivi/tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_003202,,/root/miniconda3/envs/ruivi/bin/python src.py --config configs/dsivi_x_shaped.yaml seed=42 cuda_visible_devices=0 output.results_dir=results/dsivi_reverse_axis_sweep_x_shaped_20260728 output.tb_dir=tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728
seed42_dsivi_x_shaped_reverse_steps_1,completed,finalize_completed,1,,DSIVI,dsivi,x_shaped,x_shaped,42,reverse_steps_1,train.reverse.epochs=1,train.reverse.epochs=1,configs/dsivi_x_shaped.yaml,2d2d7cdde4b4c5d4a401363db8f9fab36c6f0183c29b1306ef1c70dd380033d3,default-grid-effective-v1,fresh,2d2d7cdde4b4c5d4a401363db8f9fab36c6f0183c29b1306ef1c70dd380033d3,0dec36c865e5a351fc4dff42b18d7fb33bda2e6932b0256f11e877244892f59c,10000,128,0,results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_003715,/root/ruivi/tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_003715,,/root/miniconda3/envs/ruivi/bin/python src.py --config configs/dsivi_x_shaped.yaml seed=42 cuda_visible_devices=0 output.results_dir=results/dsivi_reverse_axis_sweep_x_shaped_20260728 output.tb_dir=tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728 train.reverse.epochs=1
seed42_dsivi_x_shaped_reverse_steps_2,completed,finalize_completed,1,,DSIVI,dsivi,x_shaped,x_shaped,42,reverse_steps_2,train.reverse.epochs=2,train.reverse.epochs=2,configs/dsivi_x_shaped.yaml,f8a98dd02f61cc67c8be8a341495567c73a9cf649100c62adb02d47af1e556b8,default-grid-effective-v1,fresh,f8a98dd02f61cc67c8be8a341495567c73a9cf649100c62adb02d47af1e556b8,3ca41cddad30d7304593252ec83daea5ae4b3043c1e4a44d8c48ad21e408a082,10000,128,0,results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_003946,/root/ruivi/tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_003946,,/root/miniconda3/envs/ruivi/bin/python src.py --config configs/dsivi_x_shaped.yaml seed=42 cuda_visible_devices=0 output.results_dir=results/dsivi_reverse_axis_sweep_x_shaped_20260728 output.tb_dir=tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728 train.reverse.epochs=2
seed42_dsivi_x_shaped_reverse_steps_10,completed,finalize_completed,1,,DSIVI,dsivi,x_shaped,x_shaped,42,reverse_steps_10,train.reverse.epochs=10,train.reverse.epochs=10,configs/dsivi_x_shaped.yaml,f8c66e48c971e132b0dcc6a15744b55fba6812cf97033a6dca39546a637f50fe,default-grid-effective-v1,fresh,f8c66e48c971e132b0dcc6a15744b55fba6812cf97033a6dca39546a637f50fe,6759e27af63f3f04f44c044374006e071615a85ca0b522aeaaf1afad0efa4da5,10000,128,0,results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_004313,/root/ruivi/tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_004313,,/root/miniconda3/envs/ruivi/bin/python src.py --config configs/dsivi_x_shaped.yaml seed=42 cuda_visible_devices=0 output.results_dir=results/dsivi_reverse_axis_sweep_x_shaped_20260728 output.tb_dir=tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728 train.reverse.epochs=10
seed42_dsivi_x_shaped_reverse_batch_512,completed,finalize_completed,1,,DSIVI,dsivi,x_shaped,x_shaped,42,reverse_batch_512,train.reverse.batch_size=512,train.reverse.batch_size=512,configs/dsivi_x_shaped.yaml,af872b8a0713525e9fab47e16f584012f457700dd598688f23924ae035478554,default-grid-effective-v1,fresh,af872b8a0713525e9fab47e16f584012f457700dd598688f23924ae035478554,878f0f99a3de9d21d3c2cf869948a193853b2b6d6f1f8d745f6f21381532904e,10000,128,0,results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_005124,/root/ruivi/tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_005124,,/root/miniconda3/envs/ruivi/bin/python src.py --config configs/dsivi_x_shaped.yaml seed=42 cuda_visible_devices=0 output.results_dir=results/dsivi_reverse_axis_sweep_x_shaped_20260728 output.tb_dir=tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728 train.reverse.batch_size=512
seed42_dsivi_x_shaped_reverse_batch_1024,completed,finalize_completed,1,,DSIVI,dsivi,x_shaped,x_shaped,42,reverse_batch_1024,train.reverse.batch_size=1024,train.reverse.batch_size=1024,configs/dsivi_x_shaped.yaml,7d8ee0c087581a5f9916029ad97ca538a76d7e430143f67dbe2d9f4da039b817,default-grid-effective-v1,fresh,7d8ee0c087581a5f9916029ad97ca538a76d7e430143f67dbe2d9f4da039b817,1391f1acce40eccd01555d61663a7a5949b67fa219788759d03e48d1c5d1593f,10000,128,0,results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_005639,/root/ruivi/tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_005639,,/root/miniconda3/envs/ruivi/bin/python src.py --config configs/dsivi_x_shaped.yaml seed=42 cuda_visible_devices=0 output.results_dir=results/dsivi_reverse_axis_sweep_x_shaped_20260728 output.tb_dir=tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728 train.reverse.batch_size=1024
seed42_dsivi_x_shaped_reverse_batch_4096,completed,finalize_completed,1,,DSIVI,dsivi,x_shaped,x_shaped,42,reverse_batch_4096,train.reverse.batch_size=4096,train.reverse.batch_size=4096,configs/dsivi_x_shaped.yaml,804bb36b2bf18e0f8f4d27eef481e7dd0ac6d72a98ed576dcdead586315ba6a5,default-grid-effective-v1,fresh,804bb36b2bf18e0f8f4d27eef481e7dd0ac6d72a98ed576dcdead586315ba6a5,be00cdbd2852963866e16dd716e734853e093a320a19142eace5c1d67e785ba7,10000,128,0,results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_010140,/root/ruivi/tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_010140,,/root/miniconda3/envs/ruivi/bin/python src.py --config configs/dsivi_x_shaped.yaml seed=42 cuda_visible_devices=0 output.results_dir=results/dsivi_reverse_axis_sweep_x_shaped_20260728 output.tb_dir=tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728 train.reverse.batch_size=4096
seed42_dsivi_x_shaped_reverse_batch_8192,completed,finalize_completed,1,,DSIVI,dsivi,x_shaped,x_shaped,42,reverse_batch_8192,train.reverse.batch_size=8192,train.reverse.batch_size=8192,configs/dsivi_x_shaped.yaml,f51481bba32b1cb2754d05d86ca97762c8eb1ea777f8c7718a51cd78fb4d8823,default-grid-effective-v1,fresh,f51481bba32b1cb2754d05d86ca97762c8eb1ea777f8c7718a51cd78fb4d8823,0a0bbfdf617ba2649041574345740d6899b09637ccf069acfd925fc61422db6d,10000,128,0,results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_010650,/root/ruivi/tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_010650,,/root/miniconda3/envs/ruivi/bin/python src.py --config configs/dsivi_x_shaped.yaml seed=42 cuda_visible_devices=0 output.results_dir=results/dsivi_reverse_axis_sweep_x_shaped_20260728 output.tb_dir=tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728 train.reverse.batch_size=8192
seed43_dsivi_x_shaped_baseline,completed,finalize_completed,1,,DSIVI,dsivi,x_shaped,x_shaped,43,baseline,,,configs/dsivi_x_shaped.yaml,ebed1df452df4c84722b75160c875201c049b9886043bee5a98bd09a46839a7c,default-grid-effective-v1,fresh,ebed1df452df4c84722b75160c875201c049b9886043bee5a98bd09a46839a7c,05bfa110b54c94d245cf9ca31bf4420732de886cef61e8f3c0fcf88d5711649b,10000,128,0,results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_011205,/root/ruivi/tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_011205,,/root/miniconda3/envs/ruivi/bin/python src.py --config configs/dsivi_x_shaped.yaml seed=43 cuda_visible_devices=0 output.results_dir=results/dsivi_reverse_axis_sweep_x_shaped_20260728 output.tb_dir=tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728
seed43_dsivi_x_shaped_reverse_steps_1,completed,finalize_completed,1,,DSIVI,dsivi,x_shaped,x_shaped,43,reverse_steps_1,train.reverse.epochs=1,train.reverse.epochs=1,configs/dsivi_x_shaped.yaml,b422f88d4f18f24501ff7b020db20343e4530028e978c46741e1cb14a39c08f1,default-grid-effective-v1,fresh,b422f88d4f18f24501ff7b020db20343e4530028e978c46741e1cb14a39c08f1,4ea0a2f17d95f39b40efcd1c64b1b8b8c5cb33962501fde390c869e5a3f642b8,10000,128,0,results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_011718,/root/ruivi/tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_011718,,/root/miniconda3/envs/ruivi/bin/python src.py --config configs/dsivi_x_shaped.yaml seed=43 cuda_visible_devices=0 output.results_dir=results/dsivi_reverse_axis_sweep_x_shaped_20260728 output.tb_dir=tb_logs/dsivi_reverse_axis_sweep_x_shaped_20260728 train.reverse.epochs=1
