recipe_id,target,arch,config_path,vi_model_config_path,seeds_complete,n_seeds,status,elbo_final_mean,elbo_final_std,elbo_final_count,elbo_best_mean,elbo_best_std,elbo_best_count,kl_ite_final_mean,kl_ite_final_std,kl_ite_final_count,kl_ite_best_mean,kl_ite_best_std,kl_ite_best_count,w2_final_mean,w2_final_std,w2_final_count,w2_best_mean,w2_best_std,w2_best_count
DSIVI-banana-default,banana,default,configs/dsivi_banana.yaml,default,"0,1,7",3,complete,-0.026657186448574066,0.01704367616961397,3,-0.01862019121957322,0.014643150841316985,3,-0.0004355163694817841,0.010717453799486921,3,-0.016096513026094494,0.003138584952912331,3,0.11373025054732959,0.07054709926870677,3,0.050436741362015404,0.015610597006282423,3
DSIVI-banana-eps32_elu_logstd,banana,eps32_elu_logstd,configs/dsivi_banana.yaml,configs/vi_models/ConditionalGaussian-Eps32-ELU-LogStd.yaml,"0,1,7",3,complete,-0.04475804169972738,0.013770418652785199,3,-0.03106365477045377,0.005788029750736828,3,0.012542821141232188,0.006247580584035329,3,-0.015991936649723995,0.0018708105798535652,3,0.17774388442436853,0.06455409410671874,3,0.08443454404671986,0.01303616582401978,3
DSIVI-x_shaped-default,x_shaped,default,configs/dsivi_x_shaped.yaml,default,"0,1,7",3,complete,-0.030101860562960308,0.013220013641497328,3,-0.022242320701479912,0.009936045175861344,3,0.006450651907969361,0.012059129625456634,3,-0.01473035093345257,0.003986736720797438,3,0.07713337490955989,0.02911055632397057,3,0.04396960884332657,0.013208677604154473,3
DSIVI-x_shaped-eps32_elu_logstd,x_shaped,eps32_elu_logstd,configs/dsivi_x_shaped.yaml,configs/vi_models/ConditionalGaussian-Eps32-ELU-LogStd.yaml,"0,1,7",3,complete,-0.01133529810855786,0.0015808571186087803,3,-0.006397254997864366,0.0036235714287878723,3,0.0057080696543294245,0.012419750663315098,3,-0.017173800984593743,0.0041194308476771085,3,0.057823886473973594,0.005259875996827124,3,0.02614300822218259,0.002272184574421982,3
DSIVI-multimodal-default,multimodal,default,configs/dsivi_multimodal.yaml,default,"0,1,7",3,complete,-0.0009821677037204306,0.00033955499560386264,3,0.0003387722099432722,0.000359063282149618,3,-0.004763062493141011,0.012609368654696885,3,-0.023888402325582998,0.0040096177712015445,3,0.027411840856075287,0.00404435040604239,3,0.01865328972538312,0.0005344145668200483,3
DSIVI-multimodal-eps32_elu_logstd,multimodal,eps32_elu_logstd,configs/dsivi_multimodal.yaml,configs/vi_models/ConditionalGaussian-Eps32-ELU-LogStd.yaml,"0,1,7",3,complete,-0.00732248912875851,0.0027184143669749875,3,-0.002708202227950096,0.0009307589323997639,3,0.007455185451443405,0.006885481078794776,3,-0.020041893287031664,0.0006402174159451976,3,0.05429151033361753,0.006729008764229795,3,0.02678017628689607,0.00027227061052285067,3
DSIVI-8_gaussians-default,8_gaussians,default,configs/dsivi_8_gaussians.yaml,default,"0,1,7",3,complete,-0.23599731922149658,0.14914165005071892,3,-0.19682159274816513,0.129567754265069,3,0.14210609542889688,0.07425237817937773,3,0.1160069324856916,0.06588599896854297,3,0.2398169289032618,0.09214286974099271,3,0.15333449095487595,0.0708426734898367,3
DSIVI-8_gaussians-eps32_elu_logstd,8_gaussians,eps32_elu_logstd,configs/dsivi_8_gaussians.yaml,configs/vi_models/ConditionalGaussian-Eps32-ELU-LogStd.yaml,"0,1,7",3,complete,-0.35035619139671326,0.09420082024118338,3,-0.25694883863131207,0.019498052814716144,3,0.17395244140088997,0.10320430138109758,3,0.06479856408622682,0.005072296892571577,3,0.24113722145557404,0.04192762747982703,3,0.14992840588092804,0.014997700136614535,3
DSIVI-8_gaussians_small-default,8_gaussians_small,default,configs/dsivi_8_gaussians.yaml,default,"0,1,7",3,complete,-0.7649948398272196,0.1477034178420243,3,-0.7087110280990601,0.1517220328146032,3,0.55825468494176,0.18395807105715606,3,0.5291245934323078,0.15969270748501355,3,0.26344742874304455,0.04106464948218426,3,0.07678637901941936,0.014626762444992638,3
DSIVI-8_gaussians_small-eps32_elu_logstd,8_gaussians_small,eps32_elu_logstd,configs/dsivi_8_gaussians.yaml,configs/vi_models/ConditionalGaussian-Eps32-ELU-LogStd.yaml,"0,1,7",3,complete,-3.8253000577290854,4.505435020453277,3,-1.0897766947746277,0.17315638617580603,3,1.0487124033896353,0.3249726065791531,3,0.7900404082837998,0.09639856178952647,3,0.29651616513729095,0.19327879749562366,3,0.12410496920347214,0.029049920191700176,3
DSIVI-student_uc-default,student_uc,default,configs/dsivi_student_uc.yaml,default,"0,1,7",3,complete,-2.683310111363729,0.0026228172295337015,3,-2.678603410720825,0.0021822049055825617,3,0.005607416837620972,0.008701552693574604,3,-0.016565824791157497,0.00827735540843792,3,0.5515786608060201,0.00527832032658848,3,0.5301976402600607,0.0037491013894147864,3
DSIVI-student_uc-eps32_elu_logstd,student_uc,eps32_elu_logstd,configs/dsivi_student_uc.yaml,configs/vi_models/ConditionalGaussian-Eps32-ELU-LogStd.yaml,"0,1,7",3,complete,-2.724949280420939,0.049682721500858125,3,-2.712991952896118,0.0408254329136854,3,0.06232026708595223,0.030308333240320097,3,0.030915353215261024,0.04460126854229737,3,0.6499258279800415,0.040804690825455396,3,0.4778170684973399,0.03634487411903181,3
