run_id,method,method_slug,target,seed,config_path,mcmc_type,mcmc_steps,mcmc_step_size
ivi_default__8_gaussians__seed00,IVI,ivi_default,8_gaussians,0,,,,
ivi_default__8_gaussians__seed01,IVI,ivi_default,8_gaussians,1,,,,
ivi_default__8_gaussians__seed02,IVI,ivi_default,8_gaussians,2,,,,
ivi_default__8_gaussians__seed03,IVI,ivi_default,8_gaussians,3,,,,
ivi_default__8_gaussians__seed04,IVI,ivi_default,8_gaussians,4,,,,
ivi_default__8_gaussians__seed05,IVI,ivi_default,8_gaussians,5,,,,
ivi_default__8_gaussians__seed06,IVI,ivi_default,8_gaussians,6,,,,
ivi_default__8_gaussians__seed07,IVI,ivi_default,8_gaussians,7,,,,
ivi_default__8_gaussians__seed08,IVI,ivi_default,8_gaussians,8,,,,
ivi_default__8_gaussians__seed09,IVI,ivi_default,8_gaussians,9,,,,
ivi_default__8_gaussians_small__seed00,IVI,ivi_default,8_gaussians_small,0,,,,
ivi_default__8_gaussians_small__seed01,IVI,ivi_default,8_gaussians_small,1,,,,
ivi_default__8_gaussians_small__seed02,IVI,ivi_default,8_gaussians_small,2,,,,
ivi_default__8_gaussians_small__seed03,IVI,ivi_default,8_gaussians_small,3,,,,
ivi_default__8_gaussians_small__seed04,IVI,ivi_default,8_gaussians_small,4,,,,
ivi_default__8_gaussians_small__seed05,IVI,ivi_default,8_gaussians_small,5,,,,
ivi_default__8_gaussians_small__seed06,IVI,ivi_default,8_gaussians_small,6,,,,
ivi_default__8_gaussians_small__seed07,IVI,ivi_default,8_gaussians_small,7,,,,
ivi_default__8_gaussians_small__seed08,IVI,ivi_default,8_gaussians_small,8,,,,
ivi_default__8_gaussians_small__seed09,IVI,ivi_default,8_gaussians_small,9,,,,
kdvi_default__8_gaussians__seed00,KDVI,kdvi_default,8_gaussians,0,configs/kdvi_8_gaussians.yaml,,,
kdvi_default__8_gaussians__seed01,KDVI,kdvi_default,8_gaussians,1,configs/kdvi_8_gaussians.yaml,,,
kdvi_default__8_gaussians__seed02,KDVI,kdvi_default,8_gaussians,2,configs/kdvi_8_gaussians.yaml,,,
kdvi_default__8_gaussians__seed03,KDVI,kdvi_default,8_gaussians,3,configs/kdvi_8_gaussians.yaml,,,
kdvi_default__8_gaussians__seed04,KDVI,kdvi_default,8_gaussians,4,configs/kdvi_8_gaussians.yaml,,,
kdvi_default__8_gaussians__seed05,KDVI,kdvi_default,8_gaussians,5,configs/kdvi_8_gaussians.yaml,,,
kdvi_default__8_gaussians__seed06,KDVI,kdvi_default,8_gaussians,6,configs/kdvi_8_gaussians.yaml,,,
kdvi_default__8_gaussians__seed07,KDVI,kdvi_default,8_gaussians,7,configs/kdvi_8_gaussians.yaml,,,
kdvi_default__8_gaussians__seed08,KDVI,kdvi_default,8_gaussians,8,configs/kdvi_8_gaussians.yaml,,,
kdvi_default__8_gaussians__seed09,KDVI,kdvi_default,8_gaussians,9,configs/kdvi_8_gaussians.yaml,,,
kdvi_default__8_gaussians_small__seed00,KDVI,kdvi_default,8_gaussians_small,0,configs/kdvi_8_gaussians_small.yaml,,,
kdvi_default__8_gaussians_small__seed01,KDVI,kdvi_default,8_gaussians_small,1,configs/kdvi_8_gaussians_small.yaml,,,
kdvi_default__8_gaussians_small__seed02,KDVI,kdvi_default,8_gaussians_small,2,configs/kdvi_8_gaussians_small.yaml,,,
kdvi_default__8_gaussians_small__seed03,KDVI,kdvi_default,8_gaussians_small,3,configs/kdvi_8_gaussians_small.yaml,,,
kdvi_default__8_gaussians_small__seed04,KDVI,kdvi_default,8_gaussians_small,4,configs/kdvi_8_gaussians_small.yaml,,,
