recipe_id,lr,scheduler_step_size,scheduler_gamma,seeds_complete,n_seeds,kl_mean,kl_std,w2_mean,w2_std,pareto,status
lr1em3-steplr5000-gamma0p5,1e-3,5000,0.5,"0,1,7",3,0.1759361707257431,0.02811574797130084,0.1411229521036148,0.03584093278219638,False,complete
lr1em3-steplr5000-gamma0p75,1e-3,5000,0.75,"0,1,7",3,0.07336944747782845,0.007761089390853102,0.10169639686743419,0.05109388399536319,False,complete
lr1em3-steplr5000-gamma0p85,1e-3,5000,0.85,"0,1,7",3,0.06418602757308692,0.008883563580444858,0.14456807076931,0.023559794363602445,False,complete
lr1em3-steplr5000-gamma0p9,1e-3,5000,0.9,"0,1,7",3,0.04368698315200034,0.007082589578686082,0.3231962521870931,0.03817812623080768,True,complete
lr1em3-steplr5000-gamma0p95,1e-3,5000,0.95,"0,1,7",3,0.07860904591866048,0.030128413112871746,0.3853309154510498,0.11889205059497583,False,complete
lr1em3-steplr5000-gamma1p0,1e-3,5000,1.0,"0,1,7",3,0.12746539622455846,0.03546902681511012,0.5567971070607504,0.23738617981447688,False,complete
lr1em4-steplr5000-gamma0p5,1e-4,5000,0.5,"0,1,7",3,1.7612081248316431,0.054275011040689644,3.210291783014933,0.04457767309335422,False,complete
lr1em4-steplr5000-gamma0p75,1e-4,5000,0.75,"0,1,7",3,0.6808627460417753,0.2666629599208649,0.6947407523790995,0.2630084661374733,False,complete
lr1em4-steplr5000-gamma0p85,1e-4,5000,0.85,"0,1,7",3,0.9473593976640671,0.03016063609640296,1.1434069871902466,0.04493928128902086,False,complete
lr1em4-steplr5000-gamma0p9,1e-4,5000,0.9,"0,1,7",3,0.3965014496058963,0.44846282865822723,0.5414242396752039,0.53597707779211,False,complete
lr1em4-steplr5000-gamma0p95,1e-4,5000,0.95,"0,1,7",3,0.3957824537476891,0.4671566190317009,0.5043595532576243,0.5496380144291056,False,complete
lr1em4-steplr5000-gamma1p0,1e-4,5000,1.0,"0,1,7",3,0.4093985277006682,0.4223470538173589,0.5042597353458405,0.4832311043134009,False,complete
lr2em3-steplr5000-gamma0p5,2e-3,5000,0.5,"0,1,7",3,0.17086088363385035,0.03259981180128612,0.28591011961301166,0.03396981560710094,False,complete
lr2em3-steplr5000-gamma0p75,2e-3,5000,0.75,"0,1,7",3,0.05747465778894486,0.014112929031454762,0.095086636642615,0.013720958441519483,True,complete
lr2em3-steplr5000-gamma0p85,2e-3,5000,0.85,"0,1,7",3,0.05463567136491997,0.012748740164784582,0.1899045060078303,0.10132325327032912,True,complete
lr2em3-steplr5000-gamma0p9,2e-3,5000,0.9,"0,1,7",3,0.06335620884401552,0.025655693997920018,0.39366833368937176,0.14318997149899135,False,complete
lr2em3-steplr5000-gamma0p95,2e-3,5000,0.95,"0,1,7",3,0.10662792343288789,0.05899389692423232,0.669468363126119,0.2486893658687447,False,complete
lr2em3-steplr5000-gamma1p0,2e-3,5000,1.0,"0,7",2,0.41895421456860393,0.07407274647358393,1.4196935892105103,0.25584165429216343,False,incomplete
lr2em4-steplr5000-gamma0p5,2e-4,5000,0.5,"0,1,7",3,0.7331885320320033,0.3005892989006451,0.4492555658022563,0.35475740576686765,False,complete
lr2em4-steplr5000-gamma0p75,2e-4,5000,0.75,"0,1,7",3,0.45786313883071583,0.4497223405564194,0.4362977271278699,0.5428994270921019,False,complete
lr2em4-steplr5000-gamma0p85,2e-4,5000,0.85,"0,1,7",3,0.4132315968277112,0.46885137277130984,0.48719461262226105,0.49128451539679574,False,complete
lr2em4-steplr5000-gamma0p9,2e-4,5000,0.9,"0,1,7",3,0.3397726470042144,0.3190483131088657,0.5974981387456259,0.7538014637044333,False,complete
lr2em4-steplr5000-gamma0p95,2e-4,5000,0.95,"0,1,7",3,0.2418749663137605,0.24211995207540013,0.6936022937297821,0.8793065012814706,False,complete
lr2em4-steplr5000-gamma1p0,2e-4,5000,1.0,"0,1,7",3,0.2648570781087169,0.29788386346368,0.738087922334671,0.9670280386789115,False,complete
lr5em4-steplr5000-gamma0p5,5e-4,5000,0.5,"0,1,7",3,0.5833288298228284,0.45466551677242706,0.4141167352596919,0.44685249363107943,False,complete
lr5em4-steplr5000-gamma0p75,5e-4,5000,0.75,"0,1,7",3,0.3932355622500394,0.4887938199942305,0.44382619857788086,0.56673175848205,False,complete
lr5em4-steplr5000-gamma0p85,5e-4,5000,0.85,"0,1,7",3,0.36572643375848574,0.4799142042401709,0.47650832931200665,0.5400738426571821,False,complete
lr5em4-steplr5000-gamma0p9,5e-4,5000,0.9,"0,1,7",3,0.37185673217626036,0.5027158443476962,0.4935847322146098,0.5442257666507417,False,complete
lr5em4-steplr5000-gamma0p95,5e-4,5000,0.95,"0,1,7",3,0.22605614269619426,0.2649918500832673,0.7704350153605143,0.8479942018847796,False,complete
lr5em4-steplr5000-gamma1p0,5e-4,5000,1.0,"0,1,7",3,0.36818809786799384,0.4935164138134783,0.5813448578119278,0.4870780312294694,False,complete
