recipe_id,mcmc_type,step_schedule,nominal_step,k_mode,annealing_steps,seeds_complete,n_seeds,kl_mean,kl_std,w2_mean,w2_std,pareto,status
mala-cos1to0p01d100k-k1-ann100k,mala,cosine,NA,k1,100000,"0,1,7",3,0.1547120037063223,0.026312458165660798,0.11942905684312184,0.023242146193173222,False,complete
mala-cos1to0p01d100k-k10-ann100k,mala,cosine,NA,k10,100000,"0,1,7",3,0.15865961734840445,0.021094949583443576,0.14326504866282144,0.0076911712037569975,False,complete
mala-cos1to0p01d100k-k1to20-ann100k,mala,cosine,NA,k1to20,100000,"0,1,7",3,0.13418257895457916,0.011339116541607783,0.09053714821736018,0.013287421197127615,False,complete
mala-cos1to0p01d100k-k2-ann100k,mala,cosine,NA,k2,100000,"0,1,7",3,0.1317831118484139,0.038640602585662126,0.11104922244946162,0.029665875414027727,False,complete
mala-cos1to0p01d100k-k5-ann100k,mala,cosine,NA,k5,100000,"0,1,7",3,0.12373260798808587,0.026259378010182487,0.13456295679012933,0.025764817867898936,False,complete
mala-cos1to0p01d50k-k1-ann50k,mala,cosine,NA,k1,50000,"0,1,7",3,0.1684461021921836,0.02130669166950134,0.16576209664344788,0.08599906288120501,False,complete
mala-cos1to0p01d50k-k10-ann50k,mala,cosine,NA,k10,50000,"0,1,7",3,0.09155142748499304,0.020850357612652384,0.10694426794846852,0.006832198090700599,False,complete
mala-cos1to0p01d50k-k1to20-ann50k,mala,cosine,NA,k1to20,50000,"0,1,7",3,0.07534711613059045,0.028999162956076952,0.10328015933434169,0.03293036858489421,False,complete
mala-cos1to0p01d50k-k2-ann50k,mala,cosine,NA,k2,50000,"0,1,7",3,0.1342358597013159,0.016509288228803258,0.15087076524893442,0.03940102384445687,False,complete
mala-cos1to0p01d50k-k5-ann50k,mala,cosine,NA,k5,50000,"0,1,7",3,0.11350653232951498,0.0049698867406755545,0.11579211056232452,0.021050322285778345,False,complete
mala-coupled-step0p02-k1-ann100k,mala,coupled,0.02,k1,100000,"0,1,7",3,0.24690682254714205,0.03328208508706595,0.30988269050916034,0.05403840268079224,False,complete
mala-coupled-step0p02-k1-ann50k,mala,coupled,0.02,k1,50000,"0,1,7",3,0.18330459005645824,0.018438837309797652,0.35687466462453205,0.03617964852355168,False,complete
mala-coupled-step0p02-k10-ann100k,mala,coupled,0.02,k10,100000,"0,1,7",3,0.11701079787458434,0.003704212005076003,0.12027803808450699,0.017006225977958922,False,complete
mala-coupled-step0p02-k10-ann50k,mala,coupled,0.02,k10,50000,"0,1,7",3,0.07555752030527624,0.009332674064103817,0.09645574788252513,0.0076801802949827995,False,complete
mala-coupled-step0p02-k1to20-ann100k,mala,coupled,0.02,k1to20,100000,"0,1,7",3,0.11604307057079292,0.029592129469788325,0.1953144520521164,0.06563772863437942,False,complete
mala-coupled-step0p02-k1to20-ann50k,mala,coupled,0.02,k1to20,50000,"0,1,7",3,0.09536542124778541,0.025669322155375943,0.2252542277177175,0.04163387686520991,False,complete
mala-coupled-step0p02-k2-ann100k,mala,coupled,0.02,k2,100000,"0,1,7",3,0.16682798933622442,0.04482712119153794,0.23122394333283106,0.12597281185268638,False,complete
mala-coupled-step0p02-k2-ann50k,mala,coupled,0.02,k2,50000,"0,1,7",3,0.1278585236572634,0.00585549059818143,0.2554937203725179,0.09287958249085038,False,complete
