recipe_id,target,loss_label,loss_type,lr,metric_family,seeds_complete,n_seeds,status,pareto,loss_mean,loss_std,loss_count,loss_final_iter_min,loss_final_iter_max,kl_ite_mean,kl_ite_std,kl_ite_count,kl_ite_final_iter_min,kl_ite_final_iter_max,w2_mean,w2_std,w2_count,w2_final_iter_min,w2_final_iter_max,kde_expected_log_marginal_mean,kde_expected_log_marginal_std,kde_expected_log_marginal_count,kde_expected_log_marginal_final_iter_min,kde_expected_log_marginal_final_iter_max
KDVI-banana-L2_loss-lr2e-3,banana,L2_loss,paired_l2,2e-3,kl_w2,0,1,incomplete,False,,,0,,,5.831323697956163,,1,100000,100000,2.691056489944458,,1,100000,100000,,,0,,
KDVI-banana-L2_loss-lr1e-3,banana,L2_loss,paired_l2,1e-3,kl_w2,"0,1,7",3,complete,False,,,0,,,4.257494331307638,0.03097064257264102,3,100000,100000,1.6080691814422607,0.017351243471891566,3,100000,100000,,,0,,
KDVI-banana-L2_loss-lr5e-4,banana,L2_loss,paired_l2,5e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,4.358736270102879,0.08365457053905502,3,100000,100000,1.6081533432006836,0.01744063933409896,3,100000,100000,,,0,,
KDVI-banana-L2_loss-lr2e-4,banana,L2_loss,paired_l2,2e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,4.143289353578575,0.08665554741364422,3,100000,100000,1.6081690390904744,0.017484139970451586,3,100000,100000,,,0,,
KDVI-banana-L2_loss-lr1e-4,banana,L2_loss,paired_l2,1e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,4.264780421622047,0.08174572948177816,3,100000,100000,1.6080456972122192,0.01742745145806213,3,100000,100000,,,0,,
KDVI-banana-sliced_W2-lr2e-3,banana,sliced_W2,sliced_w2,2e-3,kl_w2,"0,1,7",3,complete,False,,,0,,,2.847137784463804,0.21251361831578158,3,100000,100000,1.1694090366363525,0.07326398065604274,3,100000,100000,,,0,,
KDVI-banana-sliced_W2-lr1e-3,banana,sliced_W2,sliced_w2,1e-3,kl_w2,"0,1,7",3,complete,False,,,0,,,2.473782639165459,0.16991916858698292,3,100000,100000,1.1580993135770161,0.3873678928338254,3,100000,100000,,,0,,
KDVI-banana-sliced_W2-lr5e-4,banana,sliced_W2,sliced_w2,5e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,2.180490567677797,0.19517534219878652,3,100000,100000,0.7390890717506409,0.050006870999618064,3,100000,100000,,,0,,
KDVI-banana-sliced_W2-lr2e-4,banana,sliced_W2,sliced_w2,2e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,1.3912296078221669,1.205030454172498,3,100000,100000,0.7135264674822489,0.33073265219057907,3,100000,100000,,,0,,
KDVI-banana-sliced_W2-lr1e-4,banana,sliced_W2,sliced_w2,1e-4,kl_w2,"0,1,7",3,complete,True,,,0,,,0.023191826409681475,0.007266181106148147,3,100000,100000,0.3729611237843831,0.011347134349346822,3,100000,100000,,,0,,
KDVI-banana-mmd_no_detach-lr2e-3,banana,mmd_no_detach,mmd_no_detach,2e-3,kl_w2,"0,1,7",3,complete,False,,,0,,,1.6520490259217537,1.290292479817397,3,100000,100000,7.360547463099162,10.651545390301177,3,100000,100000,,,0,,
KDVI-banana-mmd_no_detach-lr1e-3,banana,mmd_no_detach,mmd_no_detach,1e-3,kl_w2,"0,1,7",3,complete,False,,,0,,,0.6602153753146991,0.9964951448892811,3,100000,100000,0.5877657930056254,0.1579265855985678,3,100000,100000,,,0,,
KDVI-banana-mmd_no_detach-lr5e-4,banana,mmd_no_detach,mmd_no_detach,5e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,0.7506863291569577,1.1257600809259558,3,100000,100000,0.693221906820933,0.26172354286500343,3,100000,100000,,,0,,
KDVI-banana-mmd_no_detach-lr2e-4,banana,mmd_no_detach,mmd_no_detach,2e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,0.6682113546866388,1.0697829589219532,3,100000,100000,0.49088725447654724,0.24451533577246548,3,100000,100000,,,0,,
