recipe_id,target,loss_label,loss_type,metric_family,seeds_complete,n_seeds,status,pareto,loss_mean,loss_std,loss_count,loss_final_iter_min,loss_final_iter_max,kl_ite_mean,kl_ite_std,kl_ite_count,kl_ite_final_iter_min,kl_ite_final_iter_max,w2_mean,w2_std,w2_count,w2_final_iter_min,w2_final_iter_max,kde_expected_log_marginal_mean,kde_expected_log_marginal_std,kde_expected_log_marginal_count,kde_expected_log_marginal_final_iter_min,kde_expected_log_marginal_final_iter_max
KDVI-banana-mmd,banana,mmd,mmd,kl_w2,"0,1,7",3,complete,True,,,0,,,0.0431878615386124,0.006744848855277005,3,100000,100000,0.49033908049265545,0.05551234000155883,3,100000,100000,,,0,,
KDVI-banana-mmd_per_dim,banana,mmd_per_dim,mmd_per_dim,kl_w2,"0,1,7",3,complete,True,,,0,,,0.05343549483677998,0.02661685678524892,3,100000,100000,0.48942652344703674,0.04680844030562724,3,100000,100000,,,0,,
KDVI-banana-l2,banana,l2,paired_l2,kl_w2,"0,1,7",3,complete,False,,,0,,,5.161541758697722,2.928332829547039,3,100000,100000,2301925273528032.0,2069515921964508.2,3,85000,100000,,,0,,
KDVI-x_shaped-mmd,x_shaped,mmd,mmd,kl_w2,"0,1,7",3,complete,True,,,0,,,0.011793461851010132,0.012533351365036883,3,100000,100000,0.07786541432142258,0.025748904450357837,3,100000,100000,,,0,,
KDVI-x_shaped-mmd_per_dim,x_shaped,mmd_per_dim,mmd_per_dim,kl_w2,"0,1,7",3,complete,False,,,0,,,0.02131888213415965,0.01989498653628861,3,100000,100000,0.10681823641061783,0.005562389564574003,3,100000,100000,,,0,,
KDVI-x_shaped-l2,x_shaped,l2,paired_l2,kl_w2,"0,1,7",3,complete,False,,,0,,,4.903012717103375,0.1378525989803317,3,100000,100000,1.36126442750295,0.000481777899964226,3,100000,100000,,,0,,
KDVI-multimodal-mmd,multimodal,mmd,mmd,kl_w2,"0,1,7",3,complete,True,,,0,,,0.01791905658363994,0.012651671560947694,3,100000,100000,0.05476521824796995,0.004785421286483768,3,100000,100000,,,0,,
KDVI-multimodal-mmd_per_dim,multimodal,mmd_per_dim,mmd_per_dim,kl_w2,"0,1,7",3,complete,True,,,0,,,0.010917003271403767,0.006662740171539201,3,100000,100000,0.07235426704088847,0.021666368818262536,3,100000,100000,,,0,,
KDVI-multimodal-l2,multimodal,l2,paired_l2,kl_w2,"1,7",2,incomplete,False,,,0,,,5.690196915521662,0.06163389268864117,2,100000,100000,2.241159439086914,0.03552574719722662,2,100000,100000,,,0,,
KDVI-8_gaussians-mmd,8_gaussians,mmd,mmd,kl_w2,"0,1,7",3,complete,True,,,0,,,0.04952128723687968,0.005434165325101314,3,100000,100000,0.095086636642615,0.013720958441519483,3,100000,100000,,,0,,
KDVI-8_gaussians-mmd_per_dim,8_gaussians,mmd_per_dim,mmd_per_dim,kl_w2,"0,1,7",3,complete,False,,,0,,,0.05185663647804162,0.034868730821535354,3,100000,100000,0.14597870409488678,0.05622636646147992,3,100000,100000,,,0,,
KDVI-8_gaussians-l2,8_gaussians,l2,paired_l2,kl_w2,"0,1,7",3,complete,False,,,0,,,5.819778014745199,0.2605494538502958,3,100000,100000,3.9838356971740723,0.0880873991517264,3,100000,100000,,,0,,
KDVI-8_gaussians_small-mmd,8_gaussians_small,mmd,mmd,kl_w2,"0,1,7",3,complete,True,,,0,,,0.11775795853900148,0.014101117505428024,3,100000,100000,0.08244973048567772,0.029462368765350327,3,100000,100000,,,0,,
KDVI-8_gaussians_small-mmd_per_dim,8_gaussians_small,mmd_per_dim,mmd_per_dim,kl_w2,"0,1,7",3,complete,True,,,0,,,0.11216746623039227,0.008267979278872687,3,100000,100000,0.08337932452559471,0.027509899363644244,3,100000,100000,,,0,,
KDVI-8_gaussians_small-l2,8_gaussians_small,l2,paired_l2,kl_w2,"0,1,7",3,complete,False,,,0,,,4.203702217821805,2.53296308927513,3,100000,100000,26564431446016.656,46010944938679.52,3,90000,100000,,,0,,
KDVI-student_uc-mmd,student_uc,mmd,mmd,kl_w2,,0,incomplete,False,,,0,,,,,0,,,,,0,,,,,0,,
KDVI-student_uc-mmd_per_dim,student_uc,mmd_per_dim,mmd_per_dim,kl_w2,,0,incomplete,False,,,0,,,,,0,,,,,0,,,,,0,,
KDVI-student_uc-l2,student_uc,l2,paired_l2,kl_w2,"1,7",2,incomplete,False,,,0,,,2.6568752110909513,0.029125353422830683,2,100000,100000,0.9714899659156799,0.031006256337706435,2,100000,100000,,,0,,
KDVI-Langevin_post-mmd,Langevin_post,mmd,mmd,elm_w2,"0,1,7",3,complete,True,,,0,,,,,0,,,0.01424880139529705,0.0020064171239095987,3,100000,100000,74.87032572428386,0.1254671284768312,3,100000,100000
KDVI-Langevin_post-mmd_per_dim,Langevin_post,mmd_per_dim,mmd_per_dim,elm_w2,"0,1,7",3,complete,False,,,0,,,,,0,,,717203989.3333334,102666919.39935452,3,100000,100000,-66581.75260416667,15860.387082210267,3,100000,100000
KDVI-Langevin_post-l2,Langevin_post,l2,paired_l2,elm_w2,"0,1,7",3,complete,False,,,0,,,,,0,,,0.10574046274026234,0.0015685153013414016,3,100000,100000,-279707.7604166667,619.7100036361934,3,100000,100000
