recipe_id,method,target,config_path,seeds_complete,n_seeds,status,kl_ite_final_mean,kl_ite_final_std,kl_ite_final_count,kl_ite_best_mean,kl_ite_best_std,kl_ite_best_count,w2_final_mean,w2_final_std,w2_final_count,w2_best_mean,w2_best_std,w2_best_count,elbo_final_mean,elbo_final_std,elbo_final_count,elbo_best_mean,elbo_best_std,elbo_best_count,kde_expected_log_marginal_final_mean,kde_expected_log_marginal_final_std,kde_expected_log_marginal_final_count,kde_expected_log_marginal_best_mean,kde_expected_log_marginal_best_std,kde_expected_log_marginal_best_count
DSIVI-8_gaussians,DSIVI,8_gaussians,configs/dsivi_8_gaussians.yaml,"0,1,7,42,43",5,complete,0.10856642972050802,0.06534715058893391,5,0.08958293158068481,0.05406059778700091,5,0.1833883434534073,0.1010823753571991,5,0.12879325151443483,0.060643502872877085,5,-0.19034963548183442,0.12296024274375976,5,-0.16284751296043395,0.10310341088974727,5,,,0,,,0
KDVI-8_gaussians,KDVI,8_gaussians,configs/kdvi_8_gaussians.yaml,"0,1,7,42,43",5,complete,0.07071936408745792,0.01834687684099926,5,0.050241031820880876,0.0064567233776243035,5,0.12902387082576752,0.0405157687435405,5,0.08928881287574768,0.017700350610269353,5,-0.2632293224334717,0.011241594434422087,5,-0.2500335603952408,0.008049906646893878,5,,,0,,,0
DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,configs/dsivi_8_gaussians.yaml,"0,1,7,42,43",5,complete,0.6594388519049424,0.24575240769696258,5,0.6008967104320828,0.18968628272520455,5,0.24329432249069213,0.040856963238865895,5,0.07694184929132461,0.011192076887322008,5,-0.8397123456001282,0.21995314046348427,5,-0.7873514533042908,0.2065256799289474,5,,,0,,,0
KDVI-8_gaussians_small,KDVI,8_gaussians_small,configs/kdvi_8_gaussians_small.yaml,"0,1,7,42,43",5,complete,2.9647635829148618,0.007358815190040318,5,2.900172456652081,0.019454934289954075,5,0.3063842117786407,0.004402155327021147,5,0.297924143075943,0.003317848061500626,5,-18.229685592651368,0.4626233495405438,5,-17.744587707519532,0.28026490607440363,5,,,0,,,0
DSIVI-Langevin_post,DSIVI,Langevin_post,configs/dsivi_Langevin_post.yaml,"0,1,7,42,43",5,complete,,,0,,,0,0.008801714144647121,0.0001566196473405497,5,0.008302632719278336,0.00021167792660281727,5,-196.7777130126953,1.0243901295293614,5,-189.12347412109375,0.5897575457134249,5,75.17808685302734,0.024222805227819035,5,75.19365234375,0.01039282132675904,5
KDVI-Langevin_post,KDVI,Langevin_post,configs/kdvi_Langevin_post.yaml,"0,1,7,42,43",5,complete,,,0,,,0,498975793610752.0,1032095321959561.9,5,49023126549299.2,97411903520423.12,5,,,0,,,0,-108898.975,238145.03164788373,5,-2377.216845703125,245.62139357185728,5
DSIVI-banana,DSIVI,banana,configs/dsivi_banana.yaml,"0,1,7,42,43",5,complete,-0.006650211707305265,0.006427975208513492,5,-0.02206525483428194,0.006147528238609698,5,0.10770636573433875,0.05214312333045414,5,0.04827249422669411,0.011447654424702202,5,-0.02440729774534702,0.012605827037034976,5,-0.016060113767161967,0.011326734649402644,5,,,0,,,0
KDVI-banana,KDVI,banana,configs/kdvi_banana.yaml,"0,1,7,42,43",5,complete,0.6976167360545142,1.1404044665623125,5,0.668974708140514,1.1169579766372209,5,0.8713322281837463,0.060705884755184486,5,0.7954949855804443,0.09456181329025969,5,-39.92622548043728,88.04070393580423,5,-32.27634571194649,70.95073072271609,5,,,0,,,0
DSIVI-multimodal,DSIVI,multimodal,configs/dsivi_multimodal.yaml,"0,1,7,42,43",5,complete,-0.007689841955990167,0.0073026103157078056,5,-0.019497182490775644,0.005878285004377365,5,0.030482224747538568,0.008188322049196835,5,0.01911642923951149,0.0008325212910191818,5,-0.0009727346710860729,0.00025153057949185226,5,0.00026549809917923993,0.0003056587934619975,5,,,0,,,0
KDVI-multimodal,KDVI,multimodal,configs/kdvi_multimodal.yaml,"0,1,7,42,43",5,complete,0.020315807538312868,0.01938824815363553,5,-0.0027661897189512996,0.004839290500874952,5,0.06379985585808753,0.01117378171340678,5,0.04994491711258888,0.002591001433025182,5,-0.13977850675582887,0.00773713933723563,5,-0.12706197649240494,0.003975242110869117,5,,,0,,,0
DSIVI-student_uc,DSIVI,student_uc,configs/dsivi_student_uc.yaml,"0,1,7,42,43",5,complete,0.011187222533138802,0.0141382534437228,5,-0.017451004735704087,0.003101309113862844,5,0.5551249146461487,0.0067566957139868,5,0.5315861582756043,0.0036392789179141094,5,-2.6851217269897463,0.006588137471975024,5,-2.6798912525177,0.006228501101784057,5,,,0,,,0
KDVI-student_uc,KDVI,student_uc,configs/kdvi_student_uc.yaml,7,1,incomplete,6.7923951493892565,,1,6.768484970127482,,1,,,0,,,0,,,0,,,0,,,0,,,0
DSIVI-x_shaped,DSIVI,x_shaped,configs/dsivi_x_shaped.yaml,"0,1,7,42,43",5,complete,-0.005344055060031658,0.005304690441728923,5,-0.017927630302636246,0.005123071789366859,5,0.07378673329949378,0.030714864653170686,5,0.03973511941730976,0.011472762743373522,5,-0.026654189825057982,0.01047436473685653,5,-0.019630730710923673,0.007984671468632265,5,,,0,,,0
KDVI-x_shaped,KDVI,x_shaped,configs/kdvi_x_shaped.yaml,"0,1,7,42,43",5,complete,0.019321359056321676,0.012523842011345633,5,0.0044929991814968385,0.006734360953739179,5,0.08116084486246108,0.007964275330950999,5,0.06881083771586419,0.012100328167175838,5,-0.13633236289024353,0.006837821043947402,5,-0.12639973759651185,0.005767748373097272,5,,,0,,,0
