recipe_id,target,mcmc_type,mcmc_step_size,metric_family,seeds_complete,n_seeds,status,pareto,kl_ite_mean,kl_ite_std,kl_ite_count,kl_ite_final_iter_min,kl_ite_final_iter_max,w2_mean,w2_std,w2_count,w2_final_iter_min,w2_final_iter_max
KDVI-student_uc-mcmcstep1em1-sgld,student_uc,sgld,1e-1,kl_w2,"0,1,7",3,complete,True,0.2183719771052851,0.020217257117711777,3,100000,100000,0.5793723464012146,0.02174558093357985,3,100000,100000
KDVI-student_uc-mcmcstep5em2-sgld,student_uc,sgld,5e-2,kl_w2,"0,1,7",3,complete,False,0.06449662685564835,0.013145967748223027,3,100000,100000,0.6158172488212585,0.015825540023076127,3,100000,100000
KDVI-student_uc-mcmcstep2em2-sgld,student_uc,sgld,2e-2,kl_w2,"0,1,7",3,complete,False,0.01993552146140419,0.013182240724406559,3,100000,100000,0.6214959820111593,0.01272327255986307,3,100000,100000
KDVI-student_uc-mcmcstep1em2-sgld,student_uc,sgld,1e-2,kl_w2,"0,1,7",3,complete,False,0.032490619531869415,0.0282213417133748,3,100000,100000,0.6474535465240479,0.01802561263982165,3,100000,100000
KDVI-student_uc-mcmcstep5em3-sgld,student_uc,sgld,5e-3,kl_w2,"0,1,7",3,complete,False,0.032133677552572924,0.01659327473276853,3,100000,100000,0.6618627707163492,0.021218945186339915,3,100000,100000
KDVI-student_uc-mcmcstep2em3-sgld,student_uc,sgld,2e-3,kl_w2,"0,1,7",3,complete,False,0.04416122408017676,0.01650534649537557,3,100000,100000,0.6742527286211649,0.02716903895069318,3,100000,100000
KDVI-student_uc-mcmcstep1em3-sgld,student_uc,sgld,1e-3,kl_w2,"0,1,7",3,complete,False,0.0430880900393037,0.003987907217774576,3,100000,100000,0.6909224987030029,0.014061167026338552,3,100000,100000
KDVI-student_uc-mcmcstep1em1-mala,student_uc,mala,1e-1,kl_w2,"0,1,7",3,complete,True,0.01788280180848149,0.013061173582961176,3,100000,100000,0.5945621927579244,0.006381394248602239,3,100000,100000
KDVI-student_uc-mcmcstep5em2-mala,student_uc,mala,5e-2,kl_w2,"0,1,7",3,complete,False,0.0411701786939241,0.01707871063112476,3,100000,100000,0.6227749586105347,0.0203072226293497,3,100000,100000
KDVI-student_uc-mcmcstep2em2-mala,student_uc,mala,2e-2,kl_w2,"0,1,7",3,complete,False,0.03216698765958562,0.011797805592839819,3,100000,100000,0.6275152762730917,0.0348590169781893,3,100000,100000
KDVI-student_uc-mcmcstep1em2-mala,student_uc,mala,1e-2,kl_w2,"0,1,7",3,complete,True,0.01322143492903347,0.00734336261277648,3,100000,100000,0.6518786946932474,0.022304887417095194,3,100000,100000
KDVI-student_uc-mcmcstep5em3-mala,student_uc,mala,5e-3,kl_w2,"0,1,7",3,complete,False,0.03308903476625408,0.004456178622680577,3,100000,100000,0.664059599240621,0.018329556215024866,3,100000,100000
KDVI-student_uc-mcmcstep2em3-mala,student_uc,mala,2e-3,kl_w2,"0,1,7",3,complete,False,0.04199073540361914,0.02378712774574819,3,100000,100000,0.6748430132865906,0.020917587565384893,3,100000,100000
KDVI-student_uc-mcmcstep1em3-mala,student_uc,mala,1e-3,kl_w2,"0,1,7",3,complete,False,0.04189120073753507,0.015843864546865094,3,100000,100000,0.6805381774902344,0.013091656384063477,3,100000,100000
