recipe_id,target,mcmc_step_size,metric_family,seeds_complete,n_seeds,status,pareto,kl_ite_mean,kl_ite_std,kl_ite_count,kl_ite_final_iter_min,kl_ite_final_iter_max,w2_mean,w2_std,w2_count,w2_final_iter_min,w2_final_iter_max,kde_expected_log_marginal_mean,kde_expected_log_marginal_std,kde_expected_log_marginal_count,kde_expected_log_marginal_final_iter_min,kde_expected_log_marginal_final_iter_max
KDVI-banana-mcmcstep1em1,banana,1e-1,kl_w2,"0,1,7",3,complete,False,1.513070824393096,1.4258065243636155,3,100000,100000,10828.706365466118,18751.991146584045,3,100000,100000,,,0,,
KDVI-banana-mcmcstep5em2,banana,5e-2,kl_w2,"0,1,7",3,complete,False,0.7306626987431545,0.8577118370786763,3,100000,100000,603022.961164097,1044464.6674615208,3,100000,100000,,,0,,
KDVI-banana-mcmcstep2em2,banana,2e-2,kl_w2,"0,1,7",3,complete,True,0.046878115354880866,0.017134209525988608,3,100000,100000,0.49033908049265545,0.05551234000155883,3,100000,100000,,,0,,
KDVI-banana-mcmcstep1em2,banana,1e-2,kl_w2,"0,1,7",3,complete,True,0.061669854578417525,0.02472285937192425,3,100000,100000,0.3198704620202382,0.03927548700768079,3,100000,100000,,,0,,
KDVI-banana-mcmcstep5em3,banana,5e-3,kl_w2,"0,1,7",3,complete,True,0.062348528101795093,0.0039086454546616725,3,100000,100000,0.2815215786298116,0.01803807539919573,3,100000,100000,,,0,,
KDVI-banana-mcmcstep2em3,banana,2e-3,kl_w2,"0,1,7",3,complete,True,0.11145572876604538,0.004446522861759144,3,100000,100000,0.27818745374679565,0.022734425515554883,3,100000,100000,,,0,,
KDVI-banana-mcmcstep1em3,banana,1e-3,kl_w2,"0,1,7",3,complete,False,0.08942565782406951,0.0007186995096795603,3,100000,100000,0.34004547198613483,0.07769856876461008,3,100000,100000,,,0,,
KDVI-x_shaped-mcmcstep1em1,x_shaped,1e-1,kl_w2,"0,1,7",3,complete,True,0.009473658637418366,0.013005220792164906,3,100000,100000,0.07786541432142258,0.025748904450357837,3,100000,100000,,,0,,
KDVI-x_shaped-mcmcstep5em2,x_shaped,5e-2,kl_w2,"0,1,7",3,complete,False,0.013671455486090594,0.028411708480433482,3,100000,100000,0.09725155681371689,0.004307032021391761,3,100000,100000,,,0,,
KDVI-x_shaped-mcmcstep2em2,x_shaped,2e-2,kl_w2,"0,1,7",3,complete,False,0.03361589166765323,0.005958524829517543,3,100000,100000,0.10836290071407954,0.019029714557645225,3,100000,100000,,,0,,
KDVI-x_shaped-mcmcstep1em2,x_shaped,1e-2,kl_w2,"0,1,7",3,complete,False,0.04769482671778811,0.018001803868281367,3,100000,100000,0.118488443394502,0.01966224945966215,3,100000,100000,,,0,,
KDVI-x_shaped-mcmcstep5em3,x_shaped,5e-3,kl_w2,"0,1,7",3,complete,False,0.07168398056443748,0.027444022872516093,3,100000,100000,0.16173789650201797,0.037089011588077196,3,100000,100000,,,0,,
KDVI-x_shaped-mcmcstep2em3,x_shaped,2e-3,kl_w2,"0,1,7",3,complete,False,0.0953480561508861,0.008418328835375605,3,100000,100000,0.19681676725546518,0.020484629538454563,3,100000,100000,,,0,,
KDVI-x_shaped-mcmcstep1em3,x_shaped,1e-3,kl_w2,"0,1,7",3,complete,False,0.11021872587850759,0.011945447858264742,3,100000,100000,0.26442114512125653,0.0061005098535830945,3,100000,100000,,,0,,
KDVI-multimodal-mcmcstep1em1,multimodal,1e-1,kl_w2,"0,1,7",3,complete,True,0.008164008473394093,0.009587428569025414,3,100000,100000,0.05476521824796995,0.004785421286483768,3,100000,100000,,,0,,
KDVI-multimodal-mcmcstep5em2,multimodal,5e-2,kl_w2,"0,1,7",3,complete,False,0.012310848606760868,0.010794797118425325,3,100000,100000,0.07430472845832507,0.01334007912203571,3,100000,100000,,,0,,
KDVI-multimodal-mcmcstep2em2,multimodal,2e-2,kl_w2,"0,1,7",3,complete,False,0.029443073688690986,0.012476945639200031,3,100000,100000,0.09182075411081314,0.007167456155239739,3,100000,100000,,,0,,
KDVI-multimodal-mcmcstep1em2,multimodal,1e-2,kl_w2,"0,1,7",3,complete,False,0.03597896750961695,0.01787684991170221,3,100000,100000,0.1118404393394788,0.028315502401281573,3,100000,100000,,,0,,
KDVI-multimodal-mcmcstep5em3,multimodal,5e-3,kl_w2,"0,1,7",3,complete,False,0.04583221917535497,0.02832175818682442,3,100000,100000,0.12589595715204874,0.023998123450347193,3,100000,100000,,,0,,
KDVI-multimodal-mcmcstep2em3,multimodal,2e-3,kl_w2,"0,1,7",3,complete,False,0.07704620555783445,0.006076255749186548,3,100000,100000,0.1817226360241572,0.034036095883535095,3,100000,100000,,,0,,
KDVI-multimodal-mcmcstep1em3,multimodal,1e-3,kl_w2,"0,1,7",3,complete,False,0.08993057005039215,0.008745627315292756,3,100000,100000,0.19127613306045532,0.011266429033858225,3,100000,100000,,,0,,
KDVI-8_gaussians-mcmcstep1em1,8_gaussians,1e-1,kl_w2,"0,1,7",3,complete,False,0.060948742964544264,0.01583900051422617,3,100000,100000,0.13080604374408722,0.026725247276366996,3,100000,100000,,,0,,
