recipe_id,target,mcmc_step_size,metric_family,seeds_complete,n_seeds,status,pareto,kl_ite_mean,kl_ite_std,kl_ite_count,kl_ite_final_iter_min,kl_ite_final_iter_max,w2_mean,w2_std,w2_count,w2_final_iter_min,w2_final_iter_max,kde_expected_log_marginal_mean,kde_expected_log_marginal_std,kde_expected_log_marginal_count,kde_expected_log_marginal_final_iter_min,kde_expected_log_marginal_final_iter_max
KDVI-banana-mcmcstep1em1-mala,banana,1e-1,kl_w2,"1,7",2,incomplete,False,2.31312971236304,3.213296148250226,2,100000,100000,2779769137528832.0,3931187214559435.5,2,35000,100000,,,0,,
KDVI-banana-mcmcstep5em2-mala,banana,5e-2,kl_w2,"0,1,7",3,complete,True,0.06348172818011866,0.0022736337789782393,3,100000,100000,0.3724338511625926,0.036747155534457725,3,100000,100000,,,0,,
KDVI-banana-mcmcstep2em2-mala,banana,2e-2,kl_w2,"0,1,7",3,complete,False,0.07706695584109924,0.007882514909358046,3,100000,100000,0.3243650297323863,0.006092372634635959,3,100000,100000,,,0,,
KDVI-banana-mcmcstep1em2-mala,banana,1e-2,kl_w2,"0,1,7",3,complete,False,0.08474544851006023,0.012576825667740455,3,100000,100000,0.26009997725486755,0.01236260824340165,3,100000,100000,,,0,,
KDVI-banana-mcmcstep5em3-mala,banana,5e-3,kl_w2,"0,1,7",3,complete,True,0.06401666965914501,0.006231654766435398,3,100000,100000,0.25834601124127704,0.016671567567966915,3,100000,100000,,,0,,
KDVI-banana-mcmcstep2em3-mala,banana,2e-3,kl_w2,"0,1,7",3,complete,False,0.08370999920964296,0.013905628675124402,3,100000,100000,0.3177962899208069,0.03109457457621175,3,100000,100000,,,0,,
KDVI-banana-mcmcstep1em3-mala,banana,1e-3,kl_w2,"0,1,7",3,complete,False,0.11643958463035428,0.008210930441164725,3,100000,100000,0.3193849523862203,0.018437808587753735,3,100000,100000,,,0,,
KDVI-x_shaped-mcmcstep1em1-mala,x_shaped,1e-1,kl_w2,"0,1,7",3,complete,True,0.007526137361636265,0.014989034680848754,3,100000,100000,0.09098579237858455,0.010013333710211923,3,100000,100000,,,0,,
KDVI-x_shaped-mcmcstep5em2-mala,x_shaped,5e-2,kl_w2,"0,1,7",3,complete,True,0.02915697500058714,0.014127901238035218,3,100000,100000,0.08442985514799754,0.01588415807192721,3,100000,100000,,,0,,
KDVI-x_shaped-mcmcstep2em2-mala,x_shaped,2e-2,kl_w2,"0,1,7",3,complete,False,0.047836923664313136,0.01451894015789416,3,100000,100000,0.09724404662847519,0.014441918673752715,3,100000,100000,,,0,,
KDVI-x_shaped-mcmcstep1em2-mala,x_shaped,1e-2,kl_w2,"0,1,7",3,complete,False,0.04494536909944176,0.028100197035321604,3,100000,100000,0.11937277267376582,0.021261511793251142,3,100000,100000,,,0,,
KDVI-x_shaped-mcmcstep5em3-mala,x_shaped,5e-3,kl_w2,"0,1,7",3,complete,False,0.06698563712366876,0.00558467536960876,3,100000,100000,0.1465303748846054,0.008145024447423576,3,100000,100000,,,0,,
KDVI-x_shaped-mcmcstep2em3-mala,x_shaped,2e-3,kl_w2,"0,1,7",3,complete,False,0.08956609612384732,0.007648560932640549,3,100000,100000,0.20386759440104166,0.027747417716553837,3,100000,100000,,,0,,
KDVI-x_shaped-mcmcstep1em3-mala,x_shaped,1e-3,kl_w2,"0,1,7",3,complete,False,0.11041053016298576,0.011645260967471685,3,100000,100000,0.241189310948054,0.03330361089658656,3,100000,100000,,,0,,
KDVI-multimodal-mcmcstep1em1-mala,multimodal,1e-1,kl_w2,"0,1,7",3,complete,True,0.010296046296315219,0.00894136743253008,3,100000,100000,0.058660910775264107,0.008350244983260422,3,100000,100000,,,0,,
KDVI-multimodal-mcmcstep5em2-mala,multimodal,5e-2,kl_w2,"0,1,7",3,complete,False,0.022651137359523843,0.00920571547211813,3,100000,100000,0.06855084126194318,0.007633292523984182,3,100000,100000,,,0,,
KDVI-multimodal-mcmcstep2em2-mala,multimodal,2e-2,kl_w2,"0,1,7",3,complete,True,0.010107210718955336,0.012267061483537216,3,100000,100000,0.09514958163102467,0.0012410109300897566,3,100000,100000,,,0,,
KDVI-multimodal-mcmcstep1em2-mala,multimodal,1e-2,kl_w2,"0,1,7",3,complete,False,0.037976797455509664,0.0381132523894135,3,100000,100000,0.10706586142381032,0.008243108499629292,3,100000,100000,,,0,,
KDVI-multimodal-mcmcstep5em3-mala,multimodal,5e-3,kl_w2,"0,1,7",3,complete,False,0.04692880036015082,0.022674057817301318,3,100000,100000,0.13482336699962616,0.0036456897917047943,3,100000,100000,,,0,,
KDVI-multimodal-mcmcstep2em3-mala,multimodal,2e-3,kl_w2,"0,1,7",3,complete,False,0.08771147951346607,0.01859836382873227,3,100000,100000,0.17280297974745432,0.015164254455723567,3,100000,100000,,,0,,
KDVI-multimodal-mcmcstep1em3-mala,multimodal,1e-3,kl_w2,"0,1,7",3,complete,False,0.10149110958486687,0.01670613412089236,3,100000,100000,0.20377478003501892,0.05359819311897506,3,100000,100000,,,0,,
KDVI-8_gaussians-mcmcstep1em1-mala,8_gaussians,1e-1,kl_w2,"0,1,7",3,complete,False,0.07710330852221638,0.003226082178409002,3,100000,100000,0.12467227876186371,0.039891522437152716,3,100000,100000,,,0,,
KDVI-8_gaussians-mcmcstep5em2-mala,8_gaussians,5e-2,kl_w2,"0,1,7",3,complete,True,0.0645548132303422,0.011355579756068157,3,100000,100000,0.14268395056327185,0.07308074476770135,3,100000,100000,,,0,,
KDVI-8_gaussians-mcmcstep2em2-mala,8_gaussians,2e-2,kl_w2,"0,1,7",3,complete,True,0.06593521512254612,0.006088075553916277,3,100000,100000,0.08912968387206395,0.0024273667956811146,3,100000,100000,,,0,,
KDVI-8_gaussians-mcmcstep1em2-mala,8_gaussians,1e-2,kl_w2,"0,1,7",3,complete,False,0.08796639116092302,0.010507238555309818,3,100000,100000,0.18292774011691412,0.05751574935109719,3,100000,100000,,,0,,
KDVI-8_gaussians-mcmcstep5em3-mala,8_gaussians,5e-3,kl_w2,"0,1,7",3,complete,False,0.130588198731612,0.008597442982808795,3,100000,100000,0.13512320816516876,0.02125654690953013,3,100000,100000,,,0,,
KDVI-8_gaussians-mcmcstep2em3-mala,8_gaussians,2e-3,kl_w2,"0,1,7",3,complete,False,0.226717964979287,0.048868550300984005,3,100000,100000,0.19246923426787058,0.05169132639315897,3,100000,100000,,,0,,
KDVI-8_gaussians-mcmcstep1em3-mala,8_gaussians,1e-3,kl_w2,"0,1,7",3,complete,False,0.2940362328655648,0.017678179301347997,3,100000,100000,0.23128039638201395,0.0606338092837333,3,100000,100000,,,0,,
KDVI-8_gaussians_small-mcmcstep1em1-mala,8_gaussians_small,1e-1,kl_w2,"0,1,7",3,complete,False,3.3022544577729125,0.023516648425193108,3,100000,100000,0.2474344571431478,0.0025543818877506565,3,100000,100000,,,0,,
KDVI-8_gaussians_small-mcmcstep5em2-mala,8_gaussians_small,5e-2,kl_w2,"0,1,7",3,complete,False,2.537383724800991,0.053720475401347785,3,100000,100000,0.2697029113769531,0.0007774746127841614,3,100000,100000,,,0,,
KDVI-8_gaussians_small-mcmcstep2em2-mala,8_gaussians_small,2e-2,kl_w2,"0,1,7",3,complete,False,0.8156472760416495,0.5745330297584573,3,100000,100000,0.25294457500179607,0.1810979205790153,3,100000,100000,,,0,,
KDVI-8_gaussians_small-mcmcstep1em2-mala,8_gaussians_small,1e-2,kl_w2,"0,1,7",3,complete,False,0.4369877187583485,0.6013097963529599,3,100000,100000,0.14688989147543907,0.17751149153933435,3,100000,100000,,,0,,
KDVI-8_gaussians_small-mcmcstep5em3-mala,8_gaussians_small,5e-3,kl_w2,"0,1,7",3,complete,True,0.09937273741813675,0.010561170840611898,3,100000,100000,0.07526603216926257,0.027310402625440985,3,100000,100000,,,0,,
KDVI-8_gaussians_small-mcmcstep2em3-mala,8_gaussians_small,2e-3,kl_w2,"0,1,7",3,complete,False,0.12006612587957771,0.00889343911144424,3,100000,100000,0.09892340749502182,0.007314411485243151,3,100000,100000,,,0,,
KDVI-8_gaussians_small-mcmcstep1em3-mala,8_gaussians_small,1e-3,kl_w2,"0,1,7",3,complete,False,0.11156235738227387,0.005560696605160289,3,100000,100000,0.10701885322729747,0.029782320097126353,3,100000,100000,,,0,,
KDVI-student_uc-mcmcstep1em1-mala,student_uc,1e-1,kl_w2,,0,incomplete,False,,,0,,,,,0,,,,,0,,
KDVI-student_uc-mcmcstep5em2-mala,student_uc,5e-2,kl_w2,,0,incomplete,False,,,0,,,,,0,,,,,0,,
KDVI-student_uc-mcmcstep2em2-mala,student_uc,2e-2,kl_w2,,0,incomplete,False,,,0,,,,,0,,,,,0,,
KDVI-student_uc-mcmcstep1em2-mala,student_uc,1e-2,kl_w2,,0,incomplete,False,,,0,,,,,0,,,,,0,,
KDVI-student_uc-mcmcstep5em3-mala,student_uc,5e-3,kl_w2,,0,incomplete,False,,,0,,,,,0,,,,,0,,
KDVI-student_uc-mcmcstep2em3-mala,student_uc,2e-3,kl_w2,,0,incomplete,False,,,0,,,,,0,,,,,0,,
KDVI-student_uc-mcmcstep1em3-mala,student_uc,1e-3,kl_w2,,0,incomplete,False,,,0,,,,,0,,,,,0,,
KDVI-Langevin_post-mcmcstep1em2-mala,Langevin_post,1e-2,elm_w2,"0,1,7",3,complete,True,,,0,,,0.014912414054075876,0.0009232390337181992,3,100000,100000,74.35045623779297,0.21936439920128958,3,100000,100000
KDVI-Langevin_post-mcmcstep5em3-mala,Langevin_post,5e-3,elm_w2,"0,1,7",3,complete,False,,,0,,,0.021296434104442596,0.0007334318945827354,3,100000,100000,71.14517720540364,0.3533825575589437,3,100000,100000
KDVI-Langevin_post-mcmcstep2em3-mala,Langevin_post,2e-3,elm_w2,"0,1,7",3,complete,False,,,0,,,0.025513861949245136,0.008526154436920341,3,100000,100000,70.54290262858073,1.562499808693914,3,100000,100000
