run_id,phase,target,variant,variant_label,method,runner_type,annealing_mode,queue_name,config_path,epochs,batch_size,reverse_batch_size,estimated_cost
official_sivi_banana,official,banana,sivi,SIVI,SIVI,SIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_sivi_banana.yaml,20000,128,,20000.0
official_uivi_banana,official,banana,uivi,UIVI,UIVI,UIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_uivi_banana.yaml,10000,128,,55000.0
official_aisivi_banana,official,banana,aisivi,AISIVI,AISIVI,AISIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_aisivi_banana.yaml,10000,128,1024,30000.0
official_dsivi_banana,official,banana,dsivi,DSIVI,DSIVI,DSIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_dsivi_banana.yaml,10000,128,2048,20000.0
official_ksivi_banana,official,banana,ksivi,KSIVI,KSIVI,KSIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_ksivi_banana.yaml,50000,500,,90000.0
official_sivi_multimodal,official,multimodal,sivi,SIVI,SIVI,SIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_sivi_multimodal.yaml,20000,128,,20000.0
official_uivi_multimodal,official,multimodal,uivi,UIVI,UIVI,UIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_uivi_multimodal.yaml,10000,128,,55000.0
official_aisivi_multimodal,official,multimodal,aisivi,AISIVI,AISIVI,AISIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_aisivi_multimodal.yaml,10000,128,1024,30000.0
official_dsivi_multimodal,official,multimodal,dsivi,DSIVI,DSIVI,DSIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_dsivi_multimodal.yaml,10000,128,2048,20000.0
official_ksivi_multimodal,official,multimodal,ksivi,KSIVI,KSIVI,KSIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_ksivi_multimodal.yaml,50000,500,,90000.0
official_sivi_x_shaped,official,x_shaped,sivi,SIVI,SIVI,SIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_sivi_x_shaped.yaml,20000,128,,20000.0
official_uivi_x_shaped,official,x_shaped,uivi,UIVI,UIVI,UIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_uivi_x_shaped.yaml,10000,128,,55000.0
official_aisivi_x_shaped,official,x_shaped,aisivi,AISIVI,AISIVI,AISIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_aisivi_x_shaped.yaml,10000,128,1024,30000.0
official_dsivi_x_shaped,official,x_shaped,dsivi,DSIVI,DSIVI,DSIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_dsivi_x_shaped.yaml,10000,128,2048,20000.0
official_ksivi_x_shaped,official,x_shaped,ksivi,KSIVI,KSIVI,KSIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_ksivi_x_shaped.yaml,50000,500,,90000.0
official_sivi_student_uc,official,student_uc,sivi,SIVI,SIVI,SIVI,off,gpu0,configs/generated/toy_method_defaults_20260420/official_sivi_student_uc.yaml,20000,128,,22000.0
official_uivi_student_uc,official,student_uc,uivi,UIVI,UIVI,UIVI,off,gpu0,configs/generated/toy_method_defaults_20260420/official_uivi_student_uc.yaml,10000,128,,60500.00000000001
official_aisivi_student_uc,official,student_uc,aisivi,AISIVI,AISIVI,AISIVI,off,gpu0,configs/generated/toy_method_defaults_20260420/official_aisivi_student_uc.yaml,10000,128,1024,33000.0
official_dsivi_student_uc,official,student_uc,dsivi,DSIVI,DSIVI,DSIVI,off,gpu0,configs/generated/toy_method_defaults_20260420/official_dsivi_student_uc.yaml,10000,1024,2048,22000.0
official_ksivi_student_uc,official,student_uc,ksivi,KSIVI,KSIVI,KSIVI,off,gpu0,configs/generated/toy_method_defaults_20260420/official_ksivi_student_uc.yaml,50000,500,,99000.00000000001
official_sivi_8_gaussians,official,8_gaussians,sivi,SIVI,SIVI,SIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_sivi_8_gaussians.yaml,20000,128,,22000.0
official_uivi_8_gaussians,official,8_gaussians,uivi,UIVI,UIVI,UIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_uivi_8_gaussians.yaml,10000,128,,60500.00000000001
official_aisivi_8_gaussians,official,8_gaussians,aisivi,AISIVI,AISIVI,AISIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_aisivi_8_gaussians.yaml,10000,128,1024,33000.0
official_dsivi_8_gaussians,official,8_gaussians,dsivi,DSIVI,DSIVI,DSIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_dsivi_8_gaussians.yaml,10000,128,2048,22000.0
official_ksivi_8_gaussians,official,8_gaussians,ksivi,KSIVI,KSIVI,KSIVI,on,gpu0,configs/generated/toy_method_defaults_20260420/official_ksivi_8_gaussians.yaml,50000,500,,99000.00000000001
