run_id,run_name,group,method,target,seed,metric,value
przwk5hn,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,kl_ite,0.12407011928316344
przwk5hn,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,w2,0.8150845170021057
przwk5hn,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,elbo,-0.1721593588590622
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,kl_ite,0.1485212598760612
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,w2,0.8424329161643982
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,elbo,-0.15383212268352509
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,kl_ite,0.1359412924266389
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,w2,0.8263438940048218
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,elbo,-0.1926562339067459
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,kl_ite,0.34862359550353994
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,w2,0.9475866556167604
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,elbo,-1.6986918449401855
fip0f5tt,KDVI-banana-seed43,KDVI-banana,KDVI,banana,43,kl_ite,2.7309274131831676
fip0f5tt,KDVI-banana-seed43,KDVI-banana,KDVI,banana,43,w2,0.9252131581306458
fip0f5tt,KDVI-banana-seed43,KDVI-banana,KDVI,banana,43,elbo,-197.41378784179688
esx68qcd,DSIVI-banana-seed0,DSIVI-banana,DSIVI,banana,0,kl_ite,-0.0029995350577475626
esx68qcd,DSIVI-banana-seed0,DSIVI-banana,DSIVI,banana,0,w2,0.19073788821697235
esx68qcd,DSIVI-banana-seed0,DSIVI-banana,DSIVI,banana,0,elbo,-0.03127158805727959
i4pin2t8,DSIVI-banana-seed1,DSIVI-banana,DSIVI,banana,1,kl_ite,-0.010491245667170834
i4pin2t8,DSIVI-banana-seed1,DSIVI-banana,DSIVI,banana,1,w2,0.05222075805068016
i4pin2t8,DSIVI-banana-seed1,DSIVI-banana,DSIVI,banana,1,elbo,-0.007781419903039932
34r9hya1,DSIVI-banana-seed7,DSIVI-banana,DSIVI,banana,7,kl_ite,0.002038528275061881
34r9hya1,DSIVI-banana-seed7,DSIVI-banana,DSIVI,banana,7,w2,0.09823210537433624
34r9hya1,DSIVI-banana-seed7,DSIVI-banana,DSIVI,banana,7,elbo,-0.04091855138540268
rr1zpf9k,DSIVI-banana-seed42,DSIVI-banana,DSIVI,banana,42,kl_ite,-0.014476344665938333
rr1zpf9k,DSIVI-banana-seed42,DSIVI-banana,DSIVI,banana,42,w2,0.08064720779657364
rr1zpf9k,DSIVI-banana-seed42,DSIVI-banana,DSIVI,banana,42,elbo,-0.01814380474388599
