run_id,name,group,method,target,seed,state,created_at,url
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,finished,2026-06-25T21:36:54Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/5ht6jq4n
b3e0lb0v,KDVI-x_shaped-seed1,KDVI-x_shaped,KDVI,x_shaped,1,finished,2026-06-25T21:36:54Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/b3e0lb0v
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,finished,2026-06-25T21:36:54Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/dbtzm71m
et8acc3n,KDVI-x_shaped-seed42,KDVI-x_shaped,KDVI,x_shaped,42,finished,2026-06-25T21:36:54Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/et8acc3n
fip0f5tt,KDVI-banana-seed43,KDVI-banana,KDVI,banana,43,finished,2026-06-25T21:36:54Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/fip0f5tt
g5eanpzf,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,finished,2026-06-25T21:36:54Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/g5eanpzf
heus0f70,KDVI-x_shaped-seed43,KDVI-x_shaped,KDVI,x_shaped,43,finished,2026-06-25T21:36:54Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/heus0f70
przwk5hn,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,finished,2026-06-25T21:36:54Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/przwk5hn
pt1v6u77,KDVI-x_shaped-seed7,KDVI-x_shaped,KDVI,x_shaped,7,finished,2026-06-25T21:36:54Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/pt1v6u77
q4banuf1,KDVI-x_shaped-seed0,KDVI-x_shaped,KDVI,x_shaped,0,finished,2026-06-25T21:36:54Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/q4banuf1
oey5ulia,KDVI-multimodal-seed0,KDVI-multimodal,KDVI,multimodal,0,finished,2026-06-25T21:45:57Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/oey5ulia
3huwqjxh,KDVI-multimodal-seed1,KDVI-multimodal,KDVI,multimodal,1,finished,2026-06-25T21:46:08Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/3huwqjxh
s790eds5,KDVI-multimodal-seed7,KDVI-multimodal,KDVI,multimodal,7,finished,2026-06-25T21:47:37Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/s790eds5
vqdtr3af,KDVI-multimodal-seed42,KDVI-multimodal,KDVI,multimodal,42,finished,2026-06-25T21:47:48Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/vqdtr3af
7qlh63s1,KDVI-multimodal-seed43,KDVI-multimodal,KDVI,multimodal,43,finished,2026-06-25T21:48:04Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/7qlh63s1
mt0760j2,KDVI-8_gaussians-seed0,KDVI-8_gaussians,KDVI,8_gaussians,0,finished,2026-06-25T21:48:56Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/mt0760j2
