run_id,name,group,method,target,seed,state,created_at,url
20ced8nb,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,finished,2026-07-02T14:15:27Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/20ced8nb
40czxa5b,KDVI-banana-seed45,KDVI-banana,KDVI,banana,45,finished,2026-07-02T14:15:27Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/40czxa5b
5nni5rcs,KDVI-banana-seed48,KDVI-banana,KDVI,banana,48,finished,2026-07-02T14:15:27Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/5nni5rcs
e5dggwwc,KDVI-banana-seed46,KDVI-banana,KDVI,banana,46,finished,2026-07-02T14:15:27Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/e5dggwwc
g9jvjyq0,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,finished,2026-07-02T14:15:27Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/g9jvjyq0
gzjgod57,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,finished,2026-07-02T14:15:27Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/gzjgod57
n03gckio,KDVI-banana-seed44,KDVI-banana,KDVI,banana,44,finished,2026-07-02T14:15:27Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/n03gckio
qm1gl3uv,KDVI-banana-seed43,KDVI-banana,KDVI,banana,43,finished,2026-07-02T14:15:27Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/qm1gl3uv
twhakml6,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,finished,2026-07-02T14:15:27Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/twhakml6
yzdwdns0,KDVI-banana-seed47,KDVI-banana,KDVI,banana,47,finished,2026-07-02T14:15:27Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/yzdwdns0
r0wso1xj,KDVI-x_shaped-seed0,KDVI-x_shaped,KDVI,x_shaped,0,finished,2026-07-02T14:26:55Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/r0wso1xj
sggnmx4c,KDVI-x_shaped-seed1,KDVI-x_shaped,KDVI,x_shaped,1,finished,2026-07-02T14:27:01Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/sggnmx4c
epyk51ri,KDVI-x_shaped-seed7,KDVI-x_shaped,KDVI,x_shaped,7,finished,2026-07-02T14:27:08Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/epyk51ri
gcpgi6ld,KDVI-x_shaped-seed42,KDVI-x_shaped,KDVI,x_shaped,42,finished,2026-07-02T14:27:15Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/gcpgi6ld
kzrtythr,KDVI-x_shaped-seed43,KDVI-x_shaped,KDVI,x_shaped,43,finished,2026-07-02T14:27:15Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/kzrtythr
ugdoae5k,KDVI-x_shaped-seed44,KDVI-x_shaped,KDVI,x_shaped,44,finished,2026-07-02T14:27:24Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/ugdoae5k
minkcl6q,KDVI-x_shaped-seed45,KDVI-x_shaped,KDVI,x_shaped,45,finished,2026-07-02T14:27:28Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/minkcl6q
qu6s4qhh,KDVI-x_shaped-seed46,KDVI-x_shaped,KDVI,x_shaped,46,finished,2026-07-02T14:27:30Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/qu6s4qhh
ghnahays,KDVI-x_shaped-seed47,KDVI-x_shaped,KDVI,x_shaped,47,finished,2026-07-02T14:27:52Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/ghnahays
