run_id,run_name,group,method,target,seed,metric,value
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,kl_ite,0.03007460884887186
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,w2,0.4478781521320343
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,elbo,-0.048402339220047
cf49ri31,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,kl_ite,0.027416542056148595
cf49ri31,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,w2,0.3932201862335205
cf49ri31,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,elbo,-0.052981894463300705
rr4ese8w,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,kl_ite,0.02238178338218383
rr4ese8w,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,w2,0.4195018410682678
rr4ese8w,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,elbo,-0.030499780550599095
swq2wrtq,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,kl_ite,0.025262170799911575
swq2wrtq,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,w2,0.4253530502319336
swq2wrtq,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,elbo,-0.04532700031995773
oznejyyg,KDVI-banana-seed43,KDVI-banana,KDVI,banana,43,kl_ite,0.03501092232741871
oznejyyg,KDVI-banana-seed43,KDVI-banana,KDVI,banana,43,w2,0.4236353039741516
oznejyyg,KDVI-banana-seed43,KDVI-banana,KDVI,banana,43,elbo,-0.046218954026699066
cz7en1e0,KDVI-banana-seed44,KDVI-banana,KDVI,banana,44,kl_ite,0.02087812299988065
cz7en1e0,KDVI-banana-seed44,KDVI-banana,KDVI,banana,44,w2,0.4264303147792816
cz7en1e0,KDVI-banana-seed44,KDVI-banana,KDVI,banana,44,elbo,-0.042043983936309814
33ocld4m,KDVI-banana-seed45,KDVI-banana,KDVI,banana,45,kl_ite,0.035255764304493696
33ocld4m,KDVI-banana-seed45,KDVI-banana,KDVI,banana,45,w2,0.4260505437850952
33ocld4m,KDVI-banana-seed45,KDVI-banana,KDVI,banana,45,elbo,-0.050792038440704346
0j2pp8hj,KDVI-banana-seed46,KDVI-banana,KDVI,banana,46,kl_ite,0.03196643403517154
0j2pp8hj,KDVI-banana-seed46,KDVI-banana,KDVI,banana,46,w2,0.4444977045059204
0j2pp8hj,KDVI-banana-seed46,KDVI-banana,KDVI,banana,46,elbo,-0.05513437464833259
cqio7j2a,KDVI-banana-seed47,KDVI-banana,KDVI,banana,47,kl_ite,0.0240828967170006
cqio7j2a,KDVI-banana-seed47,KDVI-banana,KDVI,banana,47,w2,0.4159463942050934
cqio7j2a,KDVI-banana-seed47,KDVI-banana,KDVI,banana,47,elbo,-0.044608984142541885
uiy3e7gb,KDVI-banana-seed48,KDVI-banana,KDVI,banana,48,kl_ite,0.03495673138750857
uiy3e7gb,KDVI-banana-seed48,KDVI-banana,KDVI,banana,48,w2,0.4361379444599152
uiy3e7gb,KDVI-banana-seed48,KDVI-banana,KDVI,banana,48,elbo,-0.042639270424842834
v1bxzh83,DSIVI-banana-seed0,DSIVI-banana,DSIVI,banana,0,kl_ite,-0.001148031234720897
v1bxzh83,DSIVI-banana-seed0,DSIVI-banana,DSIVI,banana,0,w2,0.19073788821697235
v1bxzh83,DSIVI-banana-seed0,DSIVI-banana,DSIVI,banana,0,elbo,-0.03127158805727959
aqhtdhxe,DSIVI-banana-seed1,DSIVI-banana,DSIVI,banana,1,kl_ite,-0.011338191049718064
aqhtdhxe,DSIVI-banana-seed1,DSIVI-banana,DSIVI,banana,1,w2,0.05222075805068016
aqhtdhxe,DSIVI-banana-seed1,DSIVI-banana,DSIVI,banana,1,elbo,-0.007781419903039932
ofky7kdt,DSIVI-banana-seed7,DSIVI-banana,DSIVI,banana,7,kl_ite,0.012570187173232925
ofky7kdt,DSIVI-banana-seed7,DSIVI-banana,DSIVI,banana,7,w2,0.09823210537433624
ofky7kdt,DSIVI-banana-seed7,DSIVI-banana,DSIVI,banana,7,elbo,-0.04091855138540268
lc73m52n,DSIVI-banana-seed42,DSIVI-banana,DSIVI,banana,42,kl_ite,-0.011461916585417304
lc73m52n,DSIVI-banana-seed42,DSIVI-banana,DSIVI,banana,42,w2,0.08064720779657364
lc73m52n,DSIVI-banana-seed42,DSIVI-banana,DSIVI,banana,42,elbo,-0.01814380474388599
59i1x8hc,DSIVI-banana-seed43,DSIVI-banana,DSIVI,banana,43,kl_ite,-0.005837895320779789
59i1x8hc,DSIVI-banana-seed43,DSIVI-banana,DSIVI,banana,43,w2,0.1166938692331314
59i1x8hc,DSIVI-banana-seed43,DSIVI-banana,DSIVI,banana,43,elbo,-0.023921124637126923
zguzkwxa,DSIVI-banana-seed44,DSIVI-banana,DSIVI,banana,44,kl_ite,-0.003794295567953644
zguzkwxa,DSIVI-banana-seed44,DSIVI-banana,DSIVI,banana,44,w2,0.06528379768133163
zguzkwxa,DSIVI-banana-seed44,DSIVI-banana,DSIVI,banana,44,elbo,-0.011984932236373425
pni47n4w,DSIVI-banana-seed45,DSIVI-banana,DSIVI,banana,45,kl_ite,0.005336179448142947
pni47n4w,DSIVI-banana-seed45,DSIVI-banana,DSIVI,banana,45,w2,0.12929533421993256
pni47n4w,DSIVI-banana-seed45,DSIVI-banana,DSIVI,banana,45,elbo,-0.028178762644529343
ybwqilew,DSIVI-banana-seed46,DSIVI-banana,DSIVI,banana,46,kl_ite,0.008329454020698073
ybwqilew,DSIVI-banana-seed46,DSIVI-banana,DSIVI,banana,46,w2,0.08925709128379822
ybwqilew,DSIVI-banana-seed46,DSIVI-banana,DSIVI,banana,46,elbo,-0.009181143715977669
roi4414m,DSIVI-banana-seed47,DSIVI-banana,DSIVI,banana,47,kl_ite,0.01607405132230192
roi4414m,DSIVI-banana-seed47,DSIVI-banana,DSIVI,banana,47,w2,0.05336666852235794
roi4414m,DSIVI-banana-seed47,DSIVI-banana,DSIVI,banana,47,elbo,-0.011347617022693155
gu6cmf9i,DSIVI-banana-seed48,DSIVI-banana,DSIVI,banana,48,kl_ite,0.0008231049033591285
gu6cmf9i,DSIVI-banana-seed48,DSIVI-banana,DSIVI,banana,48,w2,0.12164720147848128
gu6cmf9i,DSIVI-banana-seed48,DSIVI-banana,DSIVI,banana,48,elbo,-0.029797827824950215
g76uk92z,KDVI-x_shaped-seed0,KDVI-x_shaped,KDVI,x_shaped,0,kl_ite,0.007453109258483151
g76uk92z,KDVI-x_shaped-seed0,KDVI-x_shaped,KDVI,x_shaped,0,w2,0.030902620404958725
g76uk92z,KDVI-x_shaped-seed0,KDVI-x_shaped,KDVI,x_shaped,0,elbo,-0.03740236163139343
nftelnhc,KDVI-x_shaped-seed1,KDVI-x_shaped,KDVI,x_shaped,1,kl_ite,-0.00014515309669764972
nftelnhc,KDVI-x_shaped-seed1,KDVI-x_shaped,KDVI,x_shaped,1,w2,0.02568107098340988
nftelnhc,KDVI-x_shaped-seed1,KDVI-x_shaped,KDVI,x_shaped,1,elbo,-0.03607954829931259
tda6opjv,KDVI-x_shaped-seed7,KDVI-x_shaped,KDVI,x_shaped,7,kl_ite,0.013534538116509242
tda6opjv,KDVI-x_shaped-seed7,KDVI-x_shaped,KDVI,x_shaped,7,w2,0.030238816514611244
tda6opjv,KDVI-x_shaped-seed7,KDVI-x_shaped,KDVI,x_shaped,7,elbo,-0.05658365413546562
8btq2xlq,KDVI-x_shaped-seed42,KDVI-x_shaped,KDVI,x_shaped,42,kl_ite,-0.0010906511782996391
8btq2xlq,KDVI-x_shaped-seed42,KDVI-x_shaped,KDVI,x_shaped,42,w2,0.037443481385707855
8btq2xlq,KDVI-x_shaped-seed42,KDVI-x_shaped,KDVI,x_shaped,42,elbo,-0.06716561317443848
