group,method,target,run_count,w2_final_mean,w2_final_std,w2_final_count,kde_expected_log_marginal_final_mean,kde_expected_log_marginal_final_std,kde_expected_log_marginal_final_count,elbo_final_mean,elbo_final_std,elbo_final_count,kl_ite_final_mean,kl_ite_final_std,kl_ite_final_count
KDVI-banana,KDVI-MMD,banana,10,0.42586514353752136,0.015446790296748246,10,,,0,-0.04586486201733351,0.006915144875307982,10,0.028728597685858958,0.005481166077016458,10
KDVI-W2-banana,KDVI-W2,banana,10,0.43403691053390503,0.15550773952051486,10,,,0,-21.716168312728406,45.868062638632736,10,0.4358334129458271,0.8653247041298491,10
DSIVI-banana,DSIVI,banana,10,0.09973819218575955,0.042155777919768135,10,,,0,-0.02125267721712589,0.01123535663453631,10,0.0009552647109145298,0.009519087995010639,10
KDVI-x_shaped,KDVI-MMD,x_shaped,10,0.06440603379160166,0.06614784333795799,10,,,0,-0.10024043843150139,0.12673592063694938,10,0.04329616880613872,0.0857829149680653,10
KDVI-W2-x_shaped,KDVI-W2,x_shaped,10,0.33507589139044286,0.10585554077017138,10,,,0,-0.4324012821540236,0.15002052318820563,10,0.3249579134976144,0.11052410514166375,10
DSIVI-x_shaped,DSIVI,x_shaped,10,0.07255202382802964,0.028407185029247536,10,,,0,-0.027150201424956322,0.009690023349678176,10,-0.00027993562554934413,0.009681880209773291,10
KDVI-multimodal,KDVI-MMD,multimodal,10,0.03254094887524843,0.009138826614849323,10,,,0,-0.006530957017093897,0.0013019710192714816,10,0.0010649451375686532,0.0075395739633798455,10
KDVI-W2-multimodal,KDVI-W2,multimodal,10,0.060063230246305464,0.09021759373144779,10,,,0,-0.0319626591168344,0.0688206592463913,10,0.027473099374220683,0.06505326618510425,10
DSIVI-multimodal,DSIVI,multimodal,10,0.036476316303014754,0.013187087517263083,10,,,0,-0.0010097802907694132,0.00035965789406921584,10,0.00024501590422300253,0.010782559863095642,10
KDVI-8_gaussians,KDVI-MMD,8_gaussians,10,0.20773080959916115,0.08743812662581141,10,,,0,-0.22187667936086655,0.01568690622125212,10,0.03946017147552926,0.014713314646178501,10
KDVI-W2-8_gaussians,KDVI-W2,8_gaussians,10,0.8166323699057102,0.5503956730302011,10,,,0,-1.7585535287857055,2.2576149590080203,10,0.9398570634152719,0.8972151112854133,10
DSIVI-8_gaussians,DSIVI,8_gaussians,10,0.28431541919708253,0.19764797104875886,10,,,0,-0.4630494982004166,0.40971501704767677,10,0.2674044903026282,0.200184757177782,10
KDVI-8_gaussians_small,KDVI-MMD,8_gaussians_small,10,0.13777673318982125,0.09179730116380722,10,,,0,-0.3284903772175312,0.6087902004822147,10,0.17223712256575427,0.3567511448914118,10
KDVI-W2-8_gaussians_small,KDVI-W2,8_gaussians_small,10,0.02975429706275463,0.007388178960039667,10,,,0,-0.30126984417438507,0.01717658118225742,10,0.16699108402082916,0.013428729011648847,10
DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,10,0.24101483821868896,0.049597391341285525,10,,,0,-0.8400871932506562,0.15929056522919502,10,0.6449293509282585,0.15827749421336434,10
KDVI-student_uc,KDVI-MMD,student_uc,10,0.5877405166625976,0.013635522747568058,10,,,0,-2.6978663921356203,0.004064808882636235,10,0.020038015297745255,0.007058761352515799,10
KDVI-W2-student_uc,KDVI-W2,student_uc,10,0.5807371139526367,0.00734011226420927,10,,,0,-2.7032074213027952,0.006386580409535184,10,0.021046781121950183,0.0110518413752186,10
DSIVI-student_uc,DSIVI,student_uc,10,0.556532496213913,0.011264991726956105,10,,,0,-2.6870822668075562,0.0062625861724787055,10,0.008403725848210666,0.012328469666632206,10
KDVI-Langevin_post,KDVI-MMD,Langevin_post,10,0.011831674259155989,0.0003053139879890668,10,74.75597076416015,0.03649637445868599,10,-190.87147064208983,0.2657287478269518,10,,,0
KDVI-W2-Langevin_post,KDVI-W2,Langevin_post,10,0.009796887449920178,0.0002642550877934182,10,,,0,-194.28049011230468,0.9833134227989453,10,3.1129032211664645,0.14245217384279954,10
DSIVI-Langevin_post,DSIVI,Langevin_post,10,0.009032762330025434,0.0005320738809641356,10,75.15112228393555,0.054733941090367624,10,-196.21236114501954,1.0679647922483684,10,,,0
