group,method,target,run_count,kde_expected_log_marginal_final_mean,kde_expected_log_marginal_final_std,kde_expected_log_marginal_final_count,elbo_final_mean,elbo_final_std,elbo_final_count,kl_ite_final_mean,kl_ite_final_std,kl_ite_final_count,w2_final_mean,w2_final_std,w2_final_count
KDVI-banana,KDVI,banana,5,,,0,-39.92622548043728,88.04070393580423,5,0.6976167360545142,1.1404044665623125,5,0.8713322281837463,0.06070588475518452,5
DSIVI-banana,DSIVI,banana,5,,,0,-0.02440729774534702,0.012605827037034976,5,-0.006650211707305266,0.006427975208513492,5,0.10770636573433875,0.052143123330454136,5
KDVI-x_shaped,KDVI,x_shaped,5,,,0,-0.13633236289024353,0.006837821043947402,5,0.01932135905632168,0.012523842011345635,5,0.08116084486246108,0.007964275330950999,5
DSIVI-x_shaped,DSIVI,x_shaped,5,,,0,-0.026654189825057982,0.01047436473685653,5,-0.005344055060031658,0.0053046904417289225,5,0.07378673329949378,0.03071486465317069,5
KDVI-multimodal,KDVI,multimodal,5,,,0,-0.13977850675582887,0.00773713933723563,5,0.020315807538312868,0.019388248153635535,5,0.06379985585808753,0.011173781713406782,5
DSIVI-multimodal,DSIVI,multimodal,5,,,0,-0.0009727346710860729,0.00025153057949185226,5,-0.007689841955990167,0.0073026103157078056,5,0.030482224747538568,0.008188322049196835,5
KDVI-8_gaussians,KDVI,8_gaussians,5,,,0,-0.2632293224334717,0.011241594434422086,5,0.07071936408745792,0.01834687684099926,5,0.12902387082576752,0.0405157687435405,5
DSIVI-8_gaussians,DSIVI,8_gaussians,5,,,0,-0.19034963548183442,0.12296024274375975,5,0.108566429720508,0.06534715058893391,5,0.1833883434534073,0.1010823753571991,5
KDVI-8_gaussians_small,KDVI,8_gaussians_small,5,,,0,-18.229685592651368,0.46262334954054457,5,2.9647635829148618,0.00735881519004034,5,0.3063842117786407,0.004402155327021147,5
DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,5,,,0,-0.8397123456001282,0.21995314046348427,5,0.6594388519049424,0.24575240769696258,5,0.24329432249069213,0.04085696323886589,5
KDVI-student_uc,KDVI,student_uc,1,,,0,,,0,6.7923951493892565,,1,,,0
DSIVI-student_uc,DSIVI,student_uc,5,,,0,-2.6851217269897463,0.006588137471975024,5,0.011187222533138802,0.0141382534437228,5,0.5551249146461487,0.0067566957139868,5
KDVI-Langevin_post,KDVI,Langevin_post,5,-108898.975,238145.03164788373,5,,,0,,,0,37677494272000.0,40663640543489.19,4
DSIVI-Langevin_post,DSIVI,Langevin_post,5,75.17808685302734,0.024222805227819035,5,-196.7777130126953,1.0243901295293538,5,,,0,0.008801714144647121,0.000156619647340549,5
