2026-03-28 21:49:50 | INFO | sivi:base_runner.py:074| __init__ | Artifacts will be saved to: results/AISIVI/Langevin_post/20260328_214950
2026-03-28 21:49:51 | WARNING | sivi:base_runner.py:261| _load_baseline_samples | baseline_path not found, using default: baselines/hmc/Langevin_post.pt
2026-03-28 21:49:51 | INFO | sivi:base_runner.py:268| _load_baseline_samples | Loaded baseline samples from baselines/hmc/Langevin_post.pt, shape: torch.Size([1000, 100])
2026-03-28 21:49:51 | INFO | sivi:base_runner.py:123| __init__ | VI model type: ConditionalGaussian
2026-03-28 21:49:51 | WARNING | sivi:base_runner.py:127| __init__ | 'vi_model_config_path' not found in main_config; using default: configs/vi_models/ConditionalGaussian.yaml
2026-03-28 21:49:51 | INFO | sivi:base_runner.py:132| __init__ | Using VI model config path: configs/vi_models/ConditionalGaussian.yaml
2026-03-28 21:49:51 | INFO | sivi:base_reverse_runner.py:036| __init__ | Reverse model type: ConditionalRealNVP
2026-03-28 21:49:51 | INFO | sivi:base_reverse_runner.py:045| __init__ | Using reverse model config path: configs/reverse_models/ConditionalRealNVP-CondDiff.yaml
2026-03-28 21:49:52 | INFO | sivi:base_reverse_runner.py:123| __init__ | Using reverse scheduler StepLR(step_size=2000, gamma=0.1).
2026-03-28 21:49:52 | INFO | sivi:base_runner.py:247| log_config | Saved full configuration to results/AISIVI/Langevin_post/20260328_214950/full_config.yaml.
2026-03-28 21:49:52 | INFO | sivi:base_reverse_runner.py:407| warmup | Starting reverse model warmup...
2026-03-28 21:49:56 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 100, W2 Dist: 0.0253
2026-03-28 21:49:56 | DEBUG | sivi:base_reverse_runner.py:392| _warmup_log_func | Warmup Epoch 100, Average Reverse Model Loss: 141.9858, Avg Step Time: 0.0439s, Avg Steps: 1.0000
2026-03-28 21:50:01 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 200, W2 Dist: 0.0262
2026-03-28 21:50:01 | DEBUG | sivi:base_reverse_runner.py:392| _warmup_log_func | Warmup Epoch 200, Average Reverse Model Loss: 141.8829, Avg Step Time: 0.0453s, Avg Steps: 2.0000
2026-03-28 21:50:05 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 300, W2 Dist: 0.0259
2026-03-28 21:50:05 | DEBUG | sivi:base_reverse_runner.py:392| _warmup_log_func | Warmup Epoch 300, Average Reverse Model Loss: 141.8455, Avg Step Time: 0.0473s, Avg Steps: 3.0000
2026-03-28 21:50:10 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 400, W2 Dist: 0.0251
2026-03-28 21:50:10 | DEBUG | sivi:base_reverse_runner.py:392| _warmup_log_func | Warmup Epoch 400, Average Reverse Model Loss: 141.8135, Avg Step Time: 0.0475s, Avg Steps: 4.0000
2026-03-28 21:50:14 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 500, W2 Dist: 0.0260
