2026-03-28 22:25:15 | INFO | sivi:base_runner.py:074| __init__ | Artifacts will be saved to: results/AISIVI/multimodal/20260328_222515
2026-03-28 22:25:15 | WARNING | sivi:base_runner.py:261| _load_baseline_samples | baseline_path not found, using default: baselines/hmc/multimodal.pt
2026-03-28 22:25:15 | INFO | sivi:base_runner.py:268| _load_baseline_samples | Loaded baseline samples from baselines/hmc/multimodal.pt, shape: torch.Size([100000, 2])
2026-03-28 22:25:15 | INFO | sivi:base_runner.py:123| __init__ | VI model type: ConditionalGaussian
2026-03-28 22:25:15 | WARNING | sivi:base_runner.py:127| __init__ | 'vi_model_config_path' not found in main_config; using default: configs/vi_models/ConditionalGaussian.yaml
2026-03-28 22:25:15 | INFO | sivi:base_runner.py:132| __init__ | Using VI model config path: configs/vi_models/ConditionalGaussian.yaml
2026-03-28 22:25:16 | INFO | sivi:base_reverse_runner.py:036| __init__ | Reverse model type: ConditionalRealNVP
2026-03-28 22:25:16 | WARNING | sivi:base_reverse_runner.py:040| __init__ | 'reverse_model_config_path' not found in main_config; using default: configs/reverse_models/ConditionalRealNVP.yaml
2026-03-28 22:25:16 | INFO | sivi:base_reverse_runner.py:045| __init__ | Using reverse model config path: configs/reverse_models/ConditionalRealNVP.yaml
2026-03-28 22:25:16 | INFO | sivi:base_reverse_runner.py:123| __init__ | Using reverse scheduler StepLR(step_size=2000, gamma=0.1).
2026-03-28 22:25:16 | INFO | sivi:base_runner.py:247| log_config | Saved full configuration to results/AISIVI/multimodal/20260328_222515/full_config.yaml.
2026-03-28 22:25:16 | INFO | sivi:base_reverse_runner.py:407| warmup | Starting reverse model warmup...
2026-03-28 22:25:16 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 10, KL Divergence: 0.0206
2026-03-28 22:25:16 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 10, W2 Dist: 0.0737
2026-03-28 22:25:17 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 20, KL Divergence: 0.0054
2026-03-28 22:25:17 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 20, W2 Dist: 0.0378
2026-03-28 22:25:17 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 30, KL Divergence: 0.0022
2026-03-28 22:25:17 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 30, W2 Dist: 0.0246
2026-03-28 22:25:17 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 40, KL Divergence: -0.0057
2026-03-28 22:25:17 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 40, W2 Dist: 0.0312
2026-03-28 22:25:18 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 50, KL Divergence: -0.0017
2026-03-28 22:25:18 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 50, W2 Dist: 0.0333
2026-03-28 22:25:18 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 60, KL Divergence: 0.0140
2026-03-28 22:25:18 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 60, W2 Dist: 0.0294
2026-03-28 22:25:19 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 70, KL Divergence: 0.0004
2026-03-28 22:25:19 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 70, W2 Dist: 0.0266
2026-03-28 22:25:19 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 80, KL Divergence: 0.0028
