run_id,run_name,group,method,target,seed,metric,value
20ced8nb,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,kl_ite,0.03013135086705842
20ced8nb,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,w2,0.4478781521320343
20ced8nb,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,elbo,-0.048402339220047
twhakml6,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,kl_ite,0.04198865461697744
twhakml6,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,w2,0.3932201862335205
twhakml6,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,elbo,-0.052981894463300705
gzjgod57,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,kl_ite,0.036628631070674954
gzjgod57,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,w2,0.4195018410682678
gzjgod57,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,elbo,-0.030499780550599095
g9jvjyq0,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,kl_ite,0.027332791724067024
g9jvjyq0,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,w2,0.4253530502319336
g9jvjyq0,KDVI-banana-seed42,KDVI-banana,KDVI,banana,42,elbo,-0.04532700031995773
qm1gl3uv,KDVI-banana-seed43,KDVI-banana,KDVI,banana,43,kl_ite,0.026514601508431733
qm1gl3uv,KDVI-banana-seed43,KDVI-banana,KDVI,banana,43,w2,0.4236353039741516
qm1gl3uv,KDVI-banana-seed43,KDVI-banana,KDVI,banana,43,elbo,-0.046218954026699066
n03gckio,KDVI-banana-seed44,KDVI-banana,KDVI,banana,44,kl_ite,0.020189232151243065
n03gckio,KDVI-banana-seed44,KDVI-banana,KDVI,banana,44,w2,0.4264303147792816
n03gckio,KDVI-banana-seed44,KDVI-banana,KDVI,banana,44,elbo,-0.042043983936309814
40czxa5b,KDVI-banana-seed45,KDVI-banana,KDVI,banana,45,kl_ite,0.03737737856945769
40czxa5b,KDVI-banana-seed45,KDVI-banana,KDVI,banana,45,w2,0.4260505437850952
40czxa5b,KDVI-banana-seed45,KDVI-banana,KDVI,banana,45,elbo,-0.050792038440704346
e5dggwwc,KDVI-banana-seed46,KDVI-banana,KDVI,banana,46,kl_ite,0.035702710034100145
e5dggwwc,KDVI-banana-seed46,KDVI-banana,KDVI,banana,46,w2,0.4444977045059204
e5dggwwc,KDVI-banana-seed46,KDVI-banana,KDVI,banana,46,elbo,-0.05513437464833259
yzdwdns0,KDVI-banana-seed47,KDVI-banana,KDVI,banana,47,kl_ite,0.025021259736601353
yzdwdns0,KDVI-banana-seed47,KDVI-banana,KDVI,banana,47,w2,0.4159463942050934
yzdwdns0,KDVI-banana-seed47,KDVI-banana,KDVI,banana,47,elbo,-0.044608984142541885
5nni5rcs,KDVI-banana-seed48,KDVI-banana,KDVI,banana,48,kl_ite,0.01858987775387833
5nni5rcs,KDVI-banana-seed48,KDVI-banana,KDVI,banana,48,w2,0.4361379444599152
5nni5rcs,KDVI-banana-seed48,KDVI-banana,KDVI,banana,48,elbo,-0.042639270424842834
uv4u1i8g,DSIVI-banana-seed0,DSIVI-banana,DSIVI,banana,0,kl_ite,0.010259261828474366
uv4u1i8g,DSIVI-banana-seed0,DSIVI-banana,DSIVI,banana,0,w2,0.19073788821697235
uv4u1i8g,DSIVI-banana-seed0,DSIVI-banana,DSIVI,banana,0,elbo,-0.03127158805727959
4y1jganp,DSIVI-banana-seed1,DSIVI-banana,DSIVI,banana,1,kl_ite,-0.011829331231196493
4y1jganp,DSIVI-banana-seed1,DSIVI-banana,DSIVI,banana,1,w2,0.05222075805068016
4y1jganp,DSIVI-banana-seed1,DSIVI-banana,DSIVI,banana,1,elbo,-0.007781419903039932
9wxgqm2f,DSIVI-banana-seed7,DSIVI-banana,DSIVI,banana,7,kl_ite,-0.001128804293763123
9wxgqm2f,DSIVI-banana-seed7,DSIVI-banana,DSIVI,banana,7,w2,0.09823210537433624
9wxgqm2f,DSIVI-banana-seed7,DSIVI-banana,DSIVI,banana,7,elbo,-0.04091855138540268
r5pmsl3k,DSIVI-banana-seed42,DSIVI-banana,DSIVI,banana,42,kl_ite,-0.014882137980134786
r5pmsl3k,DSIVI-banana-seed42,DSIVI-banana,DSIVI,banana,42,w2,0.08064720779657364
r5pmsl3k,DSIVI-banana-seed42,DSIVI-banana,DSIVI,banana,42,elbo,-0.01814380474388599
0jqg0e3l,DSIVI-banana-seed43,DSIVI-banana,DSIVI,banana,43,kl_ite,-0.0034372493235426717
0jqg0e3l,DSIVI-banana-seed43,DSIVI-banana,DSIVI,banana,43,w2,0.1166938692331314
0jqg0e3l,DSIVI-banana-seed43,DSIVI-banana,DSIVI,banana,43,elbo,-0.023921124637126923
ws32pii0,DSIVI-banana-seed44,DSIVI-banana,DSIVI,banana,44,kl_ite,0.007739901699172206
ws32pii0,DSIVI-banana-seed44,DSIVI-banana,DSIVI,banana,44,w2,0.06528379768133163
ws32pii0,DSIVI-banana-seed44,DSIVI-banana,DSIVI,banana,44,elbo,-0.011984932236373425
l9f0yfyl,DSIVI-banana-seed45,DSIVI-banana,DSIVI,banana,45,kl_ite,0.006110631550573249
l9f0yfyl,DSIVI-banana-seed45,DSIVI-banana,DSIVI,banana,45,w2,0.12929533421993256
l9f0yfyl,DSIVI-banana-seed45,DSIVI-banana,DSIVI,banana,45,elbo,-0.028178762644529343
fub4el6s,DSIVI-banana-seed46,DSIVI-banana,DSIVI,banana,46,kl_ite,0.013164062365276495
fub4el6s,DSIVI-banana-seed46,DSIVI-banana,DSIVI,banana,46,w2,0.08925709128379822
fub4el6s,DSIVI-banana-seed46,DSIVI-banana,DSIVI,banana,46,elbo,-0.009181143715977669
96xno67o,DSIVI-banana-seed47,DSIVI-banana,DSIVI,banana,47,kl_ite,0.018841258289560583
