group,method,target,run_count,elbo_final_mean,elbo_final_std,elbo_final_count,kl_ite_final_mean,kl_ite_final_std,kl_ite_final_count,kde_expected_log_marginal_final_mean,kde_expected_log_marginal_final_std,kde_expected_log_marginal_final_count,w2_final_mean,w2_final_std,w2_final_count
KDVI-banana,KDVI,banana,10,-0.04586486201733351,0.006915144875307982,10,0.029947648803249016,0.007782422965710317,10,,,0,0.42586514353752136,0.015446790296748246,10
DSIVI-banana,DSIVI,banana,10,-0.02125267721712589,0.01123535663453631,10,0.0036695118011291585,0.011111713663079966,10,,,0,0.09973819218575955,0.042155777919768135,10
KDVI-x_shaped,KDVI,x_shaped,10,-0.10024043843150139,0.12673592063694938,10,0.0434982326547951,0.07966353299205968,10,,,0,0.06440603379160166,0.06614784333795799,10
DSIVI-x_shaped,DSIVI,x_shaped,10,-0.027150201424956322,0.009690023349678176,10,0.0020109483976450985,0.010174806539727197,10,,,0,0.07255202382802964,0.028407185029247536,10
KDVI-multimodal,KDVI,multimodal,10,-0.006530957017093897,0.0013019710192714816,10,0.0005604978444867342,0.00778305982912143,10,,,0,0.03254094887524843,0.009138826614849323,10
DSIVI-multimodal,DSIVI,multimodal,10,-0.0010097802907694132,0.00035965789406921584,10,0.0028941369543586553,0.011169178843606969,10,,,0,0.036476316303014754,0.013187087517263083,10
KDVI-8_gaussians,KDVI,8_gaussians,10,-0.22187667936086655,0.01568690622125212,10,0.0383234356930451,0.0164631428324206,10,,,0,0.20773080959916115,0.08743812662581141,10
DSIVI-8_gaussians,DSIVI,8_gaussians,10,-0.4630494982004166,0.40971501704767677,10,0.25866505907102416,0.20320057532859845,10,,,0,0.28431541919708253,0.19764797104875886,10
KDVI-8_gaussians_small,KDVI,8_gaussians_small,10,-0.3284903772175312,0.6087902004822147,10,0.17582161876264485,0.3619706286960462,10,,,0,0.13777673318982125,0.09179730116380722,10
DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,10,-0.8400871932506562,0.15929056522919502,10,0.6456744135847103,0.17040911657661276,10,,,0,0.24101483821868896,0.049597391341285525,10
KDVI-student_uc,KDVI,student_uc,10,-2.6978663921356203,0.004064808882636235,10,0.015693126937081414,0.013584221149497333,10,,,0,0.5877405166625976,0.013635522747568058,10
DSIVI-student_uc,DSIVI,student_uc,10,-2.6870822668075562,0.0062625861724787055,10,0.011255988500338408,0.008982586284192216,10,,,0,0.556532496213913,0.011264991726956105,10
KDVI-Langevin_post,KDVI,Langevin_post,10,-190.87147064208983,0.2657287478269518,10,,,0,74.75597076416015,0.03649637445868599,10,0.011831674259155989,0.0003053139879890668,10
DSIVI-Langevin_post,DSIVI,Langevin_post,10,-196.21236114501954,1.0679647922483684,10,,,0,75.15112228393555,0.054733941090367624,10,0.009032762330025434,0.0005320738809641356,10
