run_id,run_name,group,method,target,seed,step,plot_step,metric,value
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,5000,5000,kl_ite,1.9313631697775757
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,10000,10000,kl_ite,1.882773459156222
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,15000,15000,kl_ite,1.912672910186902
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,20000,20000,kl_ite,1.9124929086476439
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,25000,25000,kl_ite,1.9278523565890178
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,30000,30000,kl_ite,0.1188356202670625
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,35000,35000,kl_ite,0.13002120050572405
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,40000,40000,kl_ite,0.045269126328624065
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,45000,45000,kl_ite,0.03447241142303146
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,50000,50000,kl_ite,0.04033043120869618
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,55000,55000,kl_ite,0.04443835171861428
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,60000,60000,kl_ite,0.05148191626478809
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,65000,65000,kl_ite,0.05085258345063991
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,70000,70000,kl_ite,0.04158013358600943
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,75000,75000,kl_ite,0.04157120259847711
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,80000,80000,kl_ite,0.05185643316529443
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,85000,85000,kl_ite,0.03503315922559531
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,90000,90000,kl_ite,0.03464090250244719
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,95000,95000,kl_ite,0.038906047929724116
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,100000,100000,kl_ite,0.03007460884887186
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,5000,5000,w2,0.6745007634162903
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,10000,10000,w2,0.6644441485404968
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,15000,15000,w2,0.6780996322631836
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,20000,20000,w2,0.6592840552330017
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,25000,25000,w2,0.6634538769721985
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,30000,30000,w2,0.4856468141078949
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,35000,35000,w2,0.4893937408924103
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,40000,40000,w2,0.43321534991264343
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,45000,45000,w2,0.3415582478046417
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,50000,50000,w2,0.45694300532341003
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,55000,55000,w2,0.47899001836776733
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,60000,60000,w2,0.5474925637245178
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,65000,65000,w2,0.49853256344795227
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,70000,70000,w2,0.5299538969993591
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,75000,75000,w2,0.46164852380752563
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,80000,80000,w2,0.5046095848083496
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,85000,85000,w2,0.4889102578163147
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,90000,90000,w2,0.48769208788871765
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,95000,95000,w2,0.469096302986145
