run_id,name,group,method,target,seed,state,created_at,url
0j2pp8hj,KDVI-banana-seed46,KDVI-banana,KDVI-MMD,banana,46,finished,2026-07-03T08:12:07Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/0j2pp8hj
33ocld4m,KDVI-banana-seed45,KDVI-banana,KDVI-MMD,banana,45,finished,2026-07-03T08:12:07Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/33ocld4m
cf49ri31,KDVI-banana-seed1,KDVI-banana,KDVI-MMD,banana,1,finished,2026-07-03T08:12:07Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/cf49ri31
cqio7j2a,KDVI-banana-seed47,KDVI-banana,KDVI-MMD,banana,47,finished,2026-07-03T08:12:07Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/cqio7j2a
cz7en1e0,KDVI-banana-seed44,KDVI-banana,KDVI-MMD,banana,44,finished,2026-07-03T08:12:07Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/cz7en1e0
jfy0kied,KDVI-banana-seed0,KDVI-banana,KDVI-MMD,banana,0,finished,2026-07-03T08:12:07Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/jfy0kied
oznejyyg,KDVI-banana-seed43,KDVI-banana,KDVI-MMD,banana,43,finished,2026-07-03T08:12:07Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/oznejyyg
rr4ese8w,KDVI-banana-seed7,KDVI-banana,KDVI-MMD,banana,7,finished,2026-07-03T08:12:07Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/rr4ese8w
swq2wrtq,KDVI-banana-seed42,KDVI-banana,KDVI-MMD,banana,42,finished,2026-07-03T08:12:07Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/swq2wrtq
uiy3e7gb,KDVI-banana-seed48,KDVI-banana,KDVI-MMD,banana,48,finished,2026-07-03T08:12:08Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/uiy3e7gb
g76uk92z,KDVI-x_shaped-seed0,KDVI-x_shaped,KDVI-MMD,x_shaped,0,finished,2026-07-03T08:23:38Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/g76uk92z
nftelnhc,KDVI-x_shaped-seed1,KDVI-x_shaped,KDVI-MMD,x_shaped,1,finished,2026-07-03T08:23:45Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/nftelnhc
tda6opjv,KDVI-x_shaped-seed7,KDVI-x_shaped,KDVI-MMD,x_shaped,7,finished,2026-07-03T08:24:04Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/tda6opjv
8btq2xlq,KDVI-x_shaped-seed42,KDVI-x_shaped,KDVI-MMD,x_shaped,42,finished,2026-07-03T08:24:05Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/8btq2xlq
k1y6ksd6,KDVI-x_shaped-seed43,KDVI-x_shaped,KDVI-MMD,x_shaped,43,finished,2026-07-03T08:24:05Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/k1y6ksd6
31dnxzuv,KDVI-x_shaped-seed44,KDVI-x_shaped,KDVI-MMD,x_shaped,44,finished,2026-07-03T08:24:14Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/31dnxzuv
gco82fc4,KDVI-x_shaped-seed45,KDVI-x_shaped,KDVI-MMD,x_shaped,45,finished,2026-07-03T08:24:16Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/gco82fc4
imsl9w1a,KDVI-x_shaped-seed46,KDVI-x_shaped,KDVI-MMD,x_shaped,46,finished,2026-07-03T08:24:24Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/imsl9w1a
huq2u8rr,KDVI-x_shaped-seed47,KDVI-x_shaped,KDVI-MMD,x_shaped,47,finished,2026-07-03T08:24:25Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/huq2u8rr
ns7ri3wr,KDVI-x_shaped-seed48,KDVI-x_shaped,KDVI-MMD,x_shaped,48,finished,2026-07-03T08:24:31Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/ns7ri3wr
k4f4hgai,KDVI-multimodal-seed0,KDVI-multimodal,KDVI-MMD,multimodal,0,finished,2026-07-03T08:36:18Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/k4f4hgai
